Samples	Data Label	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J	SBS96K
TCGA-3N-A9WB-06	SKCM	0.43891402714932126	0.19457013574660634	0.0	0.167420814479638	0.0	0.004524886877828055	0.03167420814479638	0.15384615384615385	0.00904977375565611	0.0	0.0
TCGA-3N-A9WC-06	SKCM	0.3954387321221492	0.32006184770003865	0.0	0.19984538074990335	0.0	0.0	0.0	0.08465403942790878	0.0	0.0	0.0
TCGA-3N-A9WD-06	SKCM	0.4512291831879461	0.26804123711340205	0.0	0.1823949246629659	0.0	0.0	0.01586042823156225	0.07850911974623315	0.003965107057890563	0.0	0.0
TCGA-BF-A1PU-01	SKCM	0.33035714285714285	0.35714285714285715	0.07142857142857142	0.017857142857142856	0.0	0.0	0.0625	0.16071428571428573	0.0	0.0	0.0
TCGA-BF-A1PV-01	SKCM	0.4629156010230179	0.2659846547314578	0.0	0.12020460358056266	0.0	0.0	0.020460358056265986	0.1278772378516624	0.0	0.0025575447570332483	0.0
TCGA-BF-A1PX-01	SKCM	0.4638949671772429	0.3588621444201313	0.0	0.08315098468271334	0.0	0.0	0.0	0.09409190371991247	0.0	0.0	0.0
TCGA-BF-A1PZ-01	SKCM	0.38738738738738737	0.45345345345345345	0.003003003003003003	0.05405405405405406	0.0	0.0	0.015015015015015015	0.08708708708708708	0.0	0.0	0.0
TCGA-BF-A1Q0-01	SKCM	0.38784067085953877	0.28721174004192873	0.0	0.18238993710691823	0.0	0.0	0.008385744234800839	0.11425576519916142	0.005241090146750524	0.0	0.014675052410901468
TCGA-BF-A3DJ-01	SKCM	0.42424242424242425	0.20707070707070707	0.025252525252525252	0.16666666666666666	0.0	0.0	0.03535353535353535	0.1414141414141414	0.0	0.0	0.0
TCGA-BF-A3DL-01	SKCM	0.41089108910891087	0.2524752475247525	0.0	0.2145214521452145	0.0	0.0	0.0049504950495049506	0.11221122112211221	0.0049504950495049506	0.0	0.0
TCGA-BF-A3DM-01	SKCM	0.3646153846153846	0.3446153846153846	0.0	0.16307692307692306	0.0	0.0	0.026153846153846153	0.10153846153846154	0.0	0.0	0.0
TCGA-BF-A3DN-01	SKCM	0.3486238532110092	0.22935779816513763	0.0	0.1926605504587156	0.0	0.0	0.0	0.11009174311926606	0.0	0.11926605504587157	0.0
TCGA-BF-A5EO-01	SKCM	0.3981373690337602	0.26775320139697323	0.0	0.1979045401629802	0.0	0.0	0.027939464493597205	0.10826542491268917	0.0	0.0	0.0
TCGA-BF-A5EP-01	SKCM	0.32589285714285715	0.3705357142857143	0.008928571428571428	0.10714285714285714	0.0	0.04017857142857143	0.05357142857142857	0.049107142857142856	0.013392857142857142	0.0	0.03125
TCGA-BF-A5EQ-01	SKCM	0.41656365883807167	0.315203955500618	0.0	0.1619283065512979	0.0	0.0012360939431396785	0.0	0.10259579728059333	0.002472187886279357	0.0	0.0
TCGA-BF-A5ER-01	SKCM	0.38405797101449274	0.31521739130434784	0.010869565217391304	0.12681159420289856	0.0	0.010869565217391304	0.028985507246376812	0.12318840579710146	0.0	0.0	0.0
TCGA-BF-A5ES-01	SKCM	0.37675070028011204	0.3487394957983193	0.0	0.14285714285714285	0.0	0.0	0.036414565826330535	0.09523809523809523	0.0	0.0	0.0
TCGA-BF-A9VF-01	SKCM	0.36	0.384	0.0	0.12	0.0	0.024	0.056	0.04	0.0	0.016	0.0
TCGA-BF-AAOU-01	SKCM	0.45132743362831856	0.26991150442477874	0.0	0.09292035398230089	0.0	0.0	0.028761061946902654	0.1504424778761062	0.00663716814159292	0.0	0.0
TCGA-BF-AAOX-01	SKCM	0.40466472303206996	0.3043731778425656	0.0	0.15685131195335278	0.0	0.0	0.0058309037900874635	0.1282798833819242	0.0	0.0	0.0
TCGA-BF-AAP0-06	SKCM	0.40031152647975077	0.3037383177570093	0.0	0.15109034267912771	0.0	0.0	0.004672897196261682	0.13707165109034267	0.003115264797507788	0.0	0.0
TCGA-BF-AAP1-01	SKCM	0.3937653814602133	0.2534864643150123	0.0	0.20016406890894176	0.0	0.0	0.011484823625922888	0.14109926168990977	0.0	0.0	0.0
