Samples	DBS78A	DBS78B	DBS78C	DBS78D	DBS78E	DBS78F	DBS78G	DBS78H	DBS78I	DBS78J
PD3851a	0	0	0	0	0	9	0	0	2	0
PD3890a	0	2	5	0	0	0	0	0	27	0
PD3904a	0	0	0	5	59	0	0	0	0	0
PD3905a	1	0	0	0	0	31	0	0	0	0
PD3945a	0	24	0	8	3	40	0	33	0	0
PD4005a	0	0	5	0	0	0	45	0	0	0
PD4006a	0	0	9	18	31	0	3	0	0	3
PD4085a	2	0	0	0	0	0	2	1	0	3
PD4086a	0	0	0	0	0	2	0	0	1	2
PD4088a	0	1	0	0	0	0	0	0	5	0
PD4103a	0	0	0	0	0	0	0	26	0	0
PD4107a	0	0	91	2	0	0	0	0	0	0
PD4109a	8	0	0	1	0	0	22	3	5	0
PD4115a	0	92	5	1	0	0	0	0	0	0
PD4116a	1	0	0	76	0	0	0	2	0	0
PD4120a	110	0	0	0	0	2	0	0	1	0
PD4192a	0	0	0	0	0	0	0	0	0	18
PD4194a	0	0	0	0	0	0	3	0	4	2
PD4198a	3	0	0	2	0	0	0	2	1	6
PD4199a	13	0	1	0	1	0	1	0	1	4
PD4248a	0	12	0	0	1	0	3	0	3	0
