Samples	DBS78A	DBS78B	DBS78C	DBS78D	DBS78E	DBS78F	DBS78G	DBS78H	DBS78I	DBS78J
PD3851a	9.21E-02	0.00E+00	2.72E-01	3.15E-01	2.91E-01	4.72E-01	9.99E-02	2.52E-01	2.97E-01	2.33E-01
PD3890a	1.97E-01	7.26E-01	7.93E-01	1.44E-01	6.22E-01	6.64E-01	5.46E-01	3.65E-01	1.51E+00	1.02E+00
PD3904a	2.30E-01	3.36E-01	1.36E+00	1.40E+00	2.72E+00	1.83E+00	9.42E-01	8.27E-01	7.48E-01	7.99E-01
PD3905a	1.58E-01	3.41E-01	3.64E-01	7.02E-01	2.61E-01	1.19E+00	2.86E-01	3.15E-01	6.27E-01	3.46E-01
PD3945a	1.94E-01	2.38E+00	2.00E+00	2.03E+00	4.10E+00	3.79E+00	1.76E+00	2.72E+00	1.34E+00	6.73E-01
PD4005a	1.82E-01	1.91E-01	9.36E-01	7.40E-01	8.67E-01	6.30E-01	1.86E+00	9.79E-01	2.41E-01	2.23E-01
PD4006a	2.00E-02	7.00E-02	1.63E+00	2.25E+00	2.74E+00	1.97E+00	1.33E+00	4.11E-01	3.95E-01	1.16E+00
PD4085a	1.64E-01	6.01E-02	2.56E-01	1.33E-01	2.02E-01	1.79E-01	2.28E-01	2.69E-01	2.02E-01	2.20E-01
PD4086a	0.00E+00	8.09E-02	1.00E-01	7.44E-02	1.45E-01	1.95E-01	1.38E-01	6.75E-02	1.39E-01	1.49E-01
PD4088a	1.29E-01	2.11E-01	0.00E+00	7.77E-02	9.13E-02	7.21E-02	5.49E-02	1.38E-01	2.51E-01	1.21E-01
PD4103a	3.08E-01	3.66E-01	2.86E-01	4.00E-02	1.41E-01	2.80E-01	4.09E-01	9.87E-01	3.99E-01	3.30E-01
PD4107a	2.82E-01	4.00E-02	2.86E+00	1.71E+00	1.81E-01	1.36E+00	7.43E-01	8.57E-01	4.22E-02	1.43E-01
PD4109a	5.50E-01	4.42E-01	4.09E-01	4.05E-01	9.16E-01	5.51E-01	1.53E+00	1.17E+00	1.22E+00	1.05E+00
PD4115a	0.00E+00	2.92E+00	4.01E-01	1.07E+00	9.49E-01	1.04E+00	1.55E+00	3.64E-01	7.01E-01	1.11E+00
PD4116a	2.16E-01	3.51E-01	1.25E+00	2.21E+00	7.60E-01	1.31E+00	6.72E-01	3.53E-01	3.48E-01	1.90E-01
PD4120a	1.43E+00	0.00E+00	0.00E+00	1.00E-01	8.00E-02	2.97E-01	0.00E+00	1.39E+00	2.66E-01	0.00E+00
PD4192a	0.00E+00	4.43E-01	1.81E-01	0.00E+00	1.82E-01	4.73E-01	3.68E-01	4.69E-01	3.55E-01	8.42E-01
PD4194a	7.00E-02	2.20E-01	9.09E-02	1.15E-01	2.05E-01	9.00E-02	3.27E-01	2.83E-01	3.86E-01	3.80E-01
PD4198a	3.56E-01	3.43E-02	2.75E-01	3.41E-01	2.70E-01	2.00E-02	2.89E-01	4.37E-01	4.28E-01	5.06E-01
PD4199a	6.55E-01	1.57E-01	3.15E-01	1.46E-01	3.98E-01	1.36E-01	3.19E-01	4.50E-01	6.93E-01	3.86E-01
PD4248a	0.00E+00	5.48E-01	8.44E-02	6.01E-02	6.23E-01	4.30E-01	5.05E-01	3.69E-01	5.97E-01	4.39E-01
