MutationType	DBS78A	DBS78B	DBS78C	DBS78D	DBS78E	DBS78F	DBS78G	DBS78H	DBS78I	DBS78J
AC>CA	0.0008176621289968011	0.0006293151366084259	0.004401746621483582	0.002454844691044116	0.012086939894845727	0.0029856549764054117	0.0042260106802456225	0.003232580808175172	0.01891367576513858	0.01060624127781125
AC>CG	0.008127924926698142	0.0075373457318140425	1.154639622029663e-06	0.00012825904012288446	0.0001716854634676679	8.19128532705804e-05	0.00032637780635255356	0.0003472379399977399	4.550717332563181e-06	0.0009736718022094237
AC>CT	0.00012954465477090337	0.009945821146171098	0.0012271890732639434	0.0012652324333421738	0.006229903793293658	0.004333549463223107	0.006706594631644407	0.004784357472528029	0.0048289804424993575	0.004444464802178345
AC>GA	4.6725789921708837e-07	0.0006025704971844447	0.001815025560777741	0.029525914299691182	0.010481584731090976	0.020527663352580702	0.003923797311906086	0.005678953126078312	0.006308812934721572	0.003923286858604626
AC>GG	1.0296363478090597e-06	0.0010321382314796778	0.00018144651918298394	1.2375847136292251e-06	1.8900443851066483e-06	0.001426439949024001	0.0007707654110816975	0.0007406397367313389	0.0005282028768263735	0.020847265376205543
AC>GT	1.1282093393560898e-06	1.5104910525565173e-06	0.0004066516343922544	0.0004661756669869277	0.0070319617441566605	0.0012173775585988267	0.000754526679449512	0.00045889535226848464	0.0002468938808408438	0.002304502445459775
AC>TA	6.07767921501079e-07	0.0198666738989688	0.0013890082004380134	0.008003576761315988	0.0007140328788861438	0.005185048705505295	0.026404615819275678	0.036354560852447725	0.0028071967316031965	0.027341269081197196
AC>TG	1.0130833877042277e-06	1.2253700848674499e-06	0.0022505305149432076	0.0022777979657678314	0.008543063213159457	0.003463216852820494	0.0024352545803594692	3.3128531435977495e-06	0.0010726937293202355	0.002397322552689047
AC>TT	0.0136186455067633	0.008930826750034893	0.002371571899847762	0.0010263405015049898	0.011533115624234752	0.004260138881512603	0.0034457070123336563	0.004667311941889807	0.016647710168999196	0.0055975572574756514
AT>CA	8.275860394135747e-07	0.0016865861285866402	0.0002574729804686626	5.7739473837870034e-05	0.0019293186600350509	0.00439629828915713	0.0016829344649779898	0.01957850782339108	0.001959821867602758	0.01836004670576699
AT>CC	1.261433291119829e-06	1.6631141170364572e-06	1.5829155625368686e-06	1.4469837031505505e-06	2.348322353213916e-06	3.040738590129877e-06	2.9583468904093026e-06	4.0516745335139605e-06	6.293742289358306e-06	6.455891370933386e-06
AT>CG	1.261433291119829e-06	1.6631141170364572e-06	1.5829155625368686e-06	1.4469837031505505e-06	2.348322353213916e-06	3.040738590129877e-06	2.9583468904093026e-06	4.0516745335139605e-06	6.293742289358306e-06	6.455891370933386e-06
AT>GA	1.0649576768173573e-06	0.0009886141280315997	0.010859961583521737	0.0007082203694881884	0.003277377933654275	0.0033845251757288965	0.002707338147229663	0.0041164203360948195	0.0037636161920812585	0.003968362621828874
AT>GC	1.261433291119829e-06	1.6631141170364572e-06	1.5829155625368686e-06	1.4469837031505505e-06	2.348322353213916e-06	3.040738590129877e-06	2.9583468904093026e-06	4.0516745335139605e-06	6.293742289358306e-06	6.455891370933386e-06
AT>TA	1.0008651460680085e-06	0.00879625643237489	0.0099683856143011	0.0002988390157926801	0.0012746017181866876	0.002287322938086618	0.000634331544227571	0.002609176786431533	0.0005867953409789095	0.00046696273861016377
CC>AA	0.024881059609451767	0.12370228833384317	0.2172377102434666	0.27209240064024925	0.16491404068801785	0.2542958501099201	0.04115437274903911	0.012440039622736307	0.034265914971347226	0.05306153822937193
CC>AG	0.008700584436107448	0.028812854954135787	0.05329936882570564	0.023960341006925602	0.029623632469872804	0.03360189571909927	0.0762395214376113	0.009140742960628927	0.029750827928012882	0.010312677847095273
CC>AT	0.028977980488731417	0.026202307594940067	0.10089798325239827	0.1122773827984929	0.05639910933610736	0.019387116772188052	0.045141381475966684	0.013168852749815869	0.03440921037754947	0.025015609570391648
CC>GA	2.809046649332458e-07	0.0354061069207728	0.03989856710698916	0.011177467715662885	0.02375451646386864	0.00785229074459437	0.02787087095865999	0.010384068534890361	0.01783917558476617	0.03880641080222233
CC>GG	1.0137592033743204e-06	0.008698009956808618	0.000179089719562171	0.00031196652237419186	2.577076130805267e-06	0.0002042058302743044	0.00994612004421299	0.0017729012158875434	0.0004765089170683723	0.0004998149751088476
CC>GT	0.03486360933959077	0.004224493322813103	0.010398190437702723	0.00257985792065881	0.009154698162471036	0.021946040479250258	0.007585185899958341	0.03199953405037377	0.1192594893008635	0.030834149488941875
CC>TA	0.05256310736760497	0.00048000025986880243	0.010246316808239514	0.031116361940048024	0.006758675907294389	0.003001045461163159	0.023761597132554116	0.003718439429503917	0.004388944798582273	0.0006928028129397035
