MutationType	DBS78A
AC>CA	0.004534837741834963
AC>CG	0.002274050231951605
AC>CT	0.004249495324677355
AC>GA	0.008562660024035723
AC>GG	0.0011107476821462115
AC>GT	0.0012424454512006378
AC>TA	0.009221154195256532
AC>TG	0.0021533794608080826
AC>TT	0.007179755550157552
AT>CA	0.0032617731087407264
AT>CC	2.3048225989441562e-06
AT>CG	2.3048225875754723e-06
AT>GA	0.0031300780463766388
AT>GC	2.304822592122946e-06
AT>TA	0.0032727526403959926
CC>AA	0.13965097181499003
CC>AG	0.03159926394000649
CC>AT	0.0525291084498167
CC>GA	0.020064280899241567
CC>GG	0.00215332757911483
CC>GT	0.019537371965125203
CC>TA	0.0166403497941792
CC>TG	0.0033605400756823657
CC>TT	0.06807000171393156
CG>AT	0.0008583226271730382
CG>GC	2.3048225853017356e-06
CG>GT	0.002427705922407313
CG>TA	0.004567804041153067
CG>TC	2.304822601217893e-06
CG>TT	2.304822580754262e-06
CT>AA	0.022906767753884196
CT>AC	0.0029654552737633823
CT>AG	0.015729348389431835
CT>GA	0.004304407847619132
CT>GC	0.004172664245124906
CT>GG	0.004282415488594324
CT>TA	0.02217171823605895
CT>TC	0.005632404199866414
CT>TG	0.005786010076990351
GC>AA	0.046481478679925206
GC>AG	0.02317035266198218
GC>AT	0.009747924613766373
GC>CA	0.007926046103239059
GC>CG	2.3048225853017356e-06
GC>TA	0.0031739779120107414
TA>AT	0.008233313225209713
TA>CG	0.0022521048393559797
TA>CT	0.011822232902050018
TA>GC	2.304822594396683e-06
TA>GG	0.0010778197506806464
TA>GT	0.005412859511868646
TC>AA	0.07519282631576062
TC>AG	0.0183086078800261
TC>AT	0.06585296183824539
TC>CA	0.026177649088203907
TC>CG	0.00452390491993583
TC>CT	0.01740843308158219
TC>GA	0.017375597059726716
TC>GG	0.003580047180053043
TC>GT	0.007706516131293029
TG>AA	0.005621380787342787
TG>AC	0.0011875731580812498
TG>AT	0.02265447558835149
TG>CA	0.019855702770873906
TG>CC	0.008364996660966427
TG>CT	0.04607545236125588
TG>GA	0.001999683732881294
TG>GC	0.0031629993631418075
TG>GT	0.009791775981429964
TT>AA	0.012283152570016682
TT>AC	0.000990024468833326
TT>AG	0.004282454881190461
TT>CA	0.0010668452007780616
TT>CC	0.0023618561645821503
TT>CG	0.002153373782921335
TT>GA	2.3048225966704195e-06
TT>GC	0.002109475664974525
TT>GG	0.0009900147054304398
