Samples	DBS78A	DBS78B
PD3851a	3.97E-01	3.97E-01
PD3890a	1.10E+00	1.10E+00
PD3904a	1.04E+00	1.04E+00
PD3905a	8.39E-01	8.39E-01
PD3945a	2.04E+00	2.04E+00
PD4005a	1.18E+00	1.18E+00
PD4006a	1.43E+00	1.43E+00
PD4085a	3.16E-01	3.16E-01
PD4086a	1.62E-01	1.62E-01
PD4088a	2.27E-01	2.27E-01
PD4103a	8.55E-01	8.56E-01
PD4107a	2.52E+00	2.52E+00
PD4109a	1.00E+00	1.00E+00
PD4115a	1.96E+00	1.96E+00
PD4116a	2.35E+00	2.35E+00
PD4120a	2.86E-01	2.86E-01
PD4192a	7.79E-01	7.79E-01
PD4194a	3.97E-01	3.97E-01
PD4198a	4.52E-01	4.52E-01
PD4199a	3.27E-01	3.27E-01
PD4248a	3.26E-01	3.26E-01
