MutationType	DBS78A	DBS78B
AC>CA	0.003492345299634394	0.006964773121660812
AC>CG	0.0010716123682242796	0.0047295091092624374
AC>CT	0.005394370120289125	0.0023120134610485365
AC>GA	0.00988543925974966	0.004572731614572092
AC>GG	0.0009591454244679198	0.0015991679350945275
AC>GT	0.0017960935701376002	0.00026783144247986
AC>TA	0.011615356312121676	0.00525710693702095
AC>TG	0.0027853955450774493	0.000873506601987799
AC>TT	0.004515716846573881	0.013070584266186245
AT>CA	0.003719801159579106	0.002883597718606552
AT>CC	2.1317559924227682e-06	2.818024872794922e-06
AT>CG	2.1317559924227682e-06	2.818024872794922e-06
AT>GA	0.003146816668342112	0.002980116362506351
AT>GC	2.1317559924227682e-06	2.818024872794922e-06
AT>TA	0.004441323240711768	0.0007635648241071636
CC>AA	0.18325204707682133	0.044036693048708456
CC>AG	0.03945256544277072	0.01452207843333781
CC>AT	0.058148095467273606	0.035558464670108376
CC>GA	0.027242786366440442	0.00592903364415136
CC>GG	0.002985333523466238	0.0006382325882125883
CC>GT	0.007708196692109086	0.044999682274647054
CC>TA	0.007045336158874005	0.035598599629011005
CC>TG	0.0029166127993751445	0.004438781507586214
CC>TT	0.012438218828534728	0.17864271603524684
CG>AT	0.0012352065495923625	0.00013797759045161228
CG>GC	2.1317559924227682e-06	2.818024872794922e-06
CG>GT	0.0025830935790489206	0.0022522331502810287
CG>TA	0.0034703483253119495	0.008413758281382683
CG>TC	2.1317559924227682e-06	2.818024872794922e-06
CG>TT	2.1317559924227682e-06	2.818024872794922e-06
CT>AA	0.025624500698359042	0.016789503568514875
CT>AC	0.003608251080513725	0.0011660145321971526
CT>AG	0.020217852498160483	0.006906825574224058
CT>GA	0.006010234285143952	0.0011732304274727312
CT>GC	0.002608761213260351	0.00790826056951829
CT>GG	0.003108352955004108	0.006799714598308526
CT>TA	0.0066233457012793906	0.052402031775563955
CT>TC	0.003800676217973287	0.00917298767426928
CT>TG	0.005712615622080648	0.007460202984079416
GC>AA	0.05310777283516927	0.030333087739264002
GC>AG	0.0212970052944182	0.024157501802117735
GC>AT	0.011395562987292465	0.006346647521739328
GC>CA	0.0068376705261121275	0.011048013902347619
GC>CG	2.1317559924227682e-06	2.818024872794922e-06
GC>TA	0.003309167273331184	0.0029669845568224672
TA>AT	0.00871967781247406	0.008383893190867867
TA>CG	0.002510525473519749	0.002032606718955776
TA>CT	0.01385403552303174	0.009203407211518808
TA>GC	2.1317559924227682e-06	2.818024872794922e-06
TA>GG	0.0007520866192759001	0.0019980602874815644
TA>GT	0.005791377768033499	0.004233519286941316
TC>AA	0.10355223301798105	0.021756723896497424
TC>AG	0.007327702293544172	0.04022465033922344
TC>AT	0.02823042118579225	0.1379600189626217
TC>CA	0.03511110488325357	0.009257389701064999
TC>CG	0.004578252591045669	0.0046291970177699685
TC>CT	0.014026093778678046	0.023650988184381275
TC>GA	0.02318387726086712	0.004414238316047589
TC>GG	0.0025942900437121354	0.005523021489017879
TC>GT	0.004652798295497859	0.014682928578482973
TG>AA	0.007605931988739485	0.00140491645792153
TG>AC	0.001330749865663279	0.0006287262365117385
TG>AT	0.032767375288531186	0.0037243601059770803
TG>CA	0.024818625557236372	0.011867478230843886
TG>CC	0.006922618868715631	0.012502631137695062
TG>CT	0.06380666121840477	0.014299209705311473
TG>GA	0.0022698108899382417	0.0017103040368512269
TG>GC	0.0032046793607747757	0.003491213580270198
TG>GT	0.006500754635620894	0.01657078663735092
TT>AA	0.010790797695153103	0.017052980498199588
TT>AC	0.00137855041367402	0.0004987367609943761
TT>AG	0.004084482760032593	0.005235095617063923
TT>CA	1.126252281693496e-06	0.003242196380367659
TT>CC	0.0009760168062753394	0.005095420972807006
TT>CG	0.0019330800284370752	0.0032945229508705154
TT>GA	2.131755970822269e-06	2.8180248659737116e-06
TT>GC	0.0009327138879250185	0.0048532905853966215
TT>GG	0.0012093387292588886	0.0004783553141669472
