Samples	DBS78A	DBS78B	DBS78C
PD3851a	3.96E-01	3.13E-01	3.15E-01
PD3890a	9.89E-01	1.17E+00	8.72E-01
PD3904a	1.80E+00	1.79E+00	6.15E-01
PD3905a	1.16E+00	1.13E+00	5.54E-01
PD3945a	3.50E+00	3.32E+00	9.42E-01
PD4005a	1.94E+00	1.90E+00	5.55E-01
PD4006a	2.06E+00	1.98E+00	3.28E-01
PD4085a	3.26E-01	2.51E-01	2.60E-01
PD4086a	2.12E-01	2.23E-01	1.30E-01
PD4088a	1.57E-01	2.28E-01	1.98E-01
PD4103a	8.62E-01	9.39E-01	6.92E-01
PD4107a	2.17E+00	1.82E+00	8.53E-01
PD4109a	8.36E-01	1.04E+00	7.53E-01
PD4115a	3.40E+00	3.44E+00	2.61E-01
PD4116a	1.77E+00	1.45E+00	1.14E+00
PD4120a	9.00E-02	0.00E+00	9.00E-02
PD4192a	6.80E-01	8.14E-01	6.04E-01
PD4194a	3.58E-01	4.08E-01	3.22E-01
PD4198a	4.21E-01	4.70E-01	5.06E-01
PD4199a	3.45E-01	3.64E-01	3.93E-01
PD4248a	7.25E-01	7.20E-01	1.99E-01
