Samples	DBS78A	DBS78B	DBS78C	DBS78D
PD3851a	4.35E-01	2.69E-01	2.24E-01	4.15E-01
PD3890a	6.87E-01	1.25E+00	7.33E-01	1.25E+00
PD3904a	1.84E+00	1.63E+00	4.58E-01	2.01E+00
PD3905a	1.18E+00	9.34E-01	4.29E-01	1.06E+00
PD3945a	3.50E+00	3.02E+00	6.41E-01	3.50E+00
PD4005a	1.49E+00	1.83E+00	4.26E-01	1.82E+00
PD4006a	2.36E+00	1.17E+00	1.96E-01	2.43E+00
PD4085a	3.14E-01	1.70E-01	2.34E-01	2.53E-01
PD4086a	1.96E-01	1.93E-01	1.15E-01	2.20E-01
PD4088a	4.98E-02	2.14E-01	1.86E-01	1.46E-01
PD4103a	5.59E-01	9.48E-01	5.15E-01	1.06E+00
PD4107a	2.61E+00	1.29E+00	8.16E-01	2.35E+00
PD4109a	6.96E-01	1.19E+00	7.16E-01	1.39E+00
PD4115a	2.53E+00	3.50E+00	2.13E-01	2.93E+00
PD4116a	1.89E+00	6.64E-01	8.12E-01	1.76E+00
PD4120a	2.60E-01	0.00E+00	2.60E-01	0.00E+00
PD4192a	5.11E-01	8.49E-01	4.45E-01	8.43E-01
PD4194a	2.59E-01	4.02E-01	2.40E-01	4.15E-01
PD4198a	3.32E-01	3.21E-01	4.72E-01	5.33E-01
PD4199a	2.49E-01	3.31E-01	4.10E-01	3.25E-01
PD4248a	4.60E-01	7.12E-01	1.25E-01	6.36E-01
