NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	29.359	99.377	6.715	64.212	0.925	0.672	30000.0
2	31.372	100.92	7.276	66.353	0.957	0.668	20000.0
3	29.068	97.448	6.803	64.523	0.912	0.686	20000.0
4	29.507	94.275	6.933	62.53	0.81	0.716	20000.0
5	29.583	99.925	7.031	66.824	0.933	0.633	20000.0
6	29.874	97.35	7.173	63.364	0.871	0.695	30000.0
7	28.403	95.174	6.988	64.576	0.834	0.69	20000.0
8	28.977	96.576	7.021	65.196	0.918	0.662	30000.0
9	28.316	94.059	6.644	62.748	0.846	0.697	30000.0
10	27.865	95.641	6.565	62.807	0.9	0.689	20000.0
11	28.603	97.039	6.804	63.684	0.902	0.685	30000.0
12	30.52	97.494	7.22	66.068	0.863	0.682	20000.0
13	27.843	98.323	6.512	64.715	0.973	0.655	40000.0
14	29.391	94.703	6.522	63.174	0.833	0.695	20000.0
15	29.207	98.754	6.542	62.805	0.961	0.676	30000.0
16	29.023	98.413	6.686	65.099	0.875	0.666	30000.0
17	29.049	99.562	6.639	64.821	0.933	0.654	30000.0
18	30.243	95.808	7.127	63.236	0.89	0.701	20000.0
19	29.04	100.713	6.851	65.548	0.989	0.646	30000.0
20	25.619	92.382	6.191	60.197	0.851	0.711	20000.0
21	29.176	101.173	6.871	66.682	1.013	0.63	30000.0
22	27.803	95.87	6.383	61.246	0.865	0.718	20000.0
23	27.667	95.736	6.557	65.418	0.91	0.668	20000.0
24	29.447	100.48	7.005	66.102	0.942	0.654	20000.0
25	29.986	96.751	7.167	64.025	0.871	0.697	20000.0
26	28.513	98.458	6.837	64.113	0.944	0.662	40000.0
27	28.186	95.663	6.418	62.321	0.873	0.697	30000.0
28	29.188	99.728	6.906	66.087	0.95	0.643	20000.0
29	30.332	98.59	7.119	65.014	0.907	0.68	40000.0
30	28.775	98.468	6.791	65.34	0.899	0.674	30000.0
31	28.637	96.688	7.114	67.609	0.924	0.645	30000.0
32	30.533	99.752	7.328	67.354	0.892	0.668	30000.0
33	30.916	100.459	7.075	67.006	0.925	0.656	20000.0
34	28.181	94.618	6.692	64.026	0.879	0.681	30000.0
35	27.808	96.297	6.396	63.312	0.878	0.686	30000.0
36	28.501	95.776	6.738	63.402	0.908	0.686	40000.0
37	28.286	94.584	6.59	61.976	0.91	0.707	20000.0
38	27.886	93.068	6.643	61.722	0.824	0.715	20000.0
39	29.005	101.189	6.707	67.443	0.967	0.632	30000.0
40	28.603	90.673	6.58	60.888	0.801	0.733	40000.0
41	28.957	98.453	6.796	65.946	0.919	0.646	20000.0
42	29.043	99.239	7.182	66.543	0.963	0.652	20000.0
43	31.198	99.851	7.366	68.19	0.896	0.659	30000.0
44	29.145	99.695	6.861	65.922	0.921	0.661	20000.0
45	28.063	97.037	6.49	63.612	0.884	0.678	20000.0
46	29.145	93.767	6.501	61.227	0.839	0.722	20000.0
