Samples	DBS78A	DBS78B	DBS78C	DBS78D	DBS78E
PD3851a	4.49E-01	1.86E-01	1.39E-01	4.83E-01	2.98E-01
PD3890a	5.32E-01	7.45E-01	1.09E+00	1.04E+00	1.33E+00
PD3904a	1.87E+00	4.44E-01	1.60E+00	2.33E+00	1.41E+00
PD3905a	1.30E+00	3.33E-01	8.67E-01	1.38E+00	5.54E-01
PD3945a	3.21E+00	5.64E-01	3.00E+00	4.18E+00	1.80E+00
PD4005a	1.35E+00	3.35E-01	1.45E+00	1.55E+00	1.89E+00
PD4006a	2.39E+00	1.00E-01	8.35E-01	2.40E+00	1.52E+00
PD4085a	2.71E-01	2.24E-01	1.94E-01	2.75E-01	2.48E-01
PD4086a	1.70E-01	7.69E-02	1.42E-01	2.20E-01	2.03E-01
PD4088a	0.00E+00	1.84E-01	2.33E-01	1.10E-01	1.95E-01
PD4103a	4.95E-01	5.08E-01	8.86E-01	9.03E-01	1.04E+00
PD4107a	3.25E+00	6.44E-01	7.68E-01	2.99E+00	1.63E+00
PD4109a	4.94E-01	7.45E-01	1.12E+00	9.77E-01	1.43E+00
PD4115a	1.51E+00	1.14E-01	3.59E+00	2.66E+00	2.17E+00
PD4116a	2.63E+00	5.71E-01	8.71E-01	2.53E+00	7.58E-01
PD4120a	2.63E-01	4.35E-01	0.00E+00	3.46E-01	6.00E-02
PD4192a	4.19E-01	2.58E-01	8.15E-01	7.61E-01	8.24E-01
PD4194a	1.92E-01	2.05E-01	3.28E-01	2.80E-01	4.28E-01
PD4198a	3.07E-01	4.73E-01	2.40E-01	3.99E-01	4.73E-01
PD4199a	2.56E-01	4.91E-01	2.01E-01	3.40E-01	4.61E-01
PD4248a	3.54E-01	1.06E-01	7.14E-01	6.45E-01	6.61E-01
