MutationType	DBS78A	DBS78B	DBS78C	DBS78D	DBS78E
AC>CA	0.0027111637081187467	0.004409909150757585	0.001841151378568391	0.0060620747811980635	0.01166693505798321
AC>CG	7.216364805628928e-07	0.006463837307974813	0.00546598184430934	0.00026776275547049975	0.000560773018195846
AC>CT	0.0017440597223914267	0.000568301993366731	0.009577224732605315	0.00503903095901407	0.007229477961905246
AC>GA	0.015551695461562076	0.00011464872254620672	0.00444556869834571	0.012921885303714617	0.0043767819982025455
AC>GG	0.0002820430245776606	0.00025627236803302364	0.0018774205468832861	0.002703007734286018	0.003842122457815549
AC>GT	0.0005089356446393367	0.000210742130408903	0.001025542168491711	0.0027764324296882135	0.0017747731505005505
AC>TA	0.004375977877182678	0.0006713882708926633	0.020407240321951292	0.009761899775478753	0.021537723611490662
AC>TG	0.004136748555058318	1.2402916388509767e-06	0.00019261947717438943	0.003596248544702547	0.0019480182082861576
AC>TT	0.0007822087760548869	0.013190440777424045	0.010327989857949547	0.005531193205005991	0.010641026485013114
AT>CA	0.0007249983724054231	0.0006036018204092386	0.005936206855534465	0.0061131243709294835	0.006455960056408472
AT>CC	1.5655941689374231e-06	1.9126134424141127e-06	2.395247607296369e-06	2.932801303359156e-06	4.355950504759676e-06
AT>CG	1.5655941689374231e-06	1.9126134424141127e-06	2.395247607296369e-06	2.932801303359156e-06	4.355950504759676e-06
AT>GA	0.003763674890374773	0.0012502299167832121	0.0014515285885681095	0.005198731948881629	0.004091701902367362
AT>GC	1.5655941689374231e-06	1.9126134424141127e-06	2.395247607296369e-06	2.932801303359156e-06	4.355950504759676e-06
AT>TA	0.0045081788929880965	1.0001722671404424e-06	0.005869861863207006	0.0038655630562369936	0.0011334123702985012
CC>AA	0.26823384121060373	0.024751953640952708	0.09282395791746638	0.15447558213086438	0.03398433802071111
CC>AG	0.0384210774337771	0.00923017032867186	0.033173563851476046	0.027373225794665928	0.046072463977702684
CC>AT	0.100377443858888	0.031164969460159283	0.02094465441716693	0.04306828673843711	0.03175357764441628
CC>GA	0.02464680200362807	4.620976027425172e-07	0.03161820924080019	0.021972440354034006	0.024601299601356173
CC>GG	0.0005144844856280884	1.0602564384498691e-06	0.006481009153135347	0.001619857378051618	0.0038933512053648655
CC>GT	0.0041087356288315394	0.04689743508411084	0.009941151414158272	0.017555009804244577	0.038139899765477596
CC>TA	0.018070036732566096	0.0458959998562932	0.0004396637083335975	0.00797478183480166	0.007333785388822136
CC>TG	0.00281952029757619	0.005584210869430137	0.005859882386195494	0.0019972197243986224	0.0009469269814776737
CC>TT	0.02758417155270365	0.2588988000154495	0.015523462545113489	0.02418751447623265	0.021562203682901925
CG>AT	0.0005940056920971415	1.5818247237575632e-06	0.0009927619607685756	0.0018287651608562784	0.0004610634681523607
CG>GC	1.5655941689374231e-06	1.9126134424141127e-06	2.395247607296369e-06	2.932801303359156e-06	4.355950504759676e-06
CG>GT	0.003529148258536168	0.00046304268573322817	0.001465487623862245	0.0027383137370264876	0.005548107787485748
CG>TA	0.001032430844359098	0.003530798329513516	0.005517834448280112	0.006731312586950651	0.016305334688803158
CG>TC	1.5655941689374231e-06	1.9126134424141127e-06	2.395247607296369e-06	2.932801303359156e-06	4.355950504759676e-06
CG>TT	1.5655941689374231e-06	1.9126134424141127e-06	2.395247607296369e-06	2.932801303359156e-06	4.355950504759676e-06
CT>AA	0.02958311047670037	0.01303308902171551	0.011187095483766712	0.03149886054804678	0.022995607032553878
CT>AC	0.0069037429626561675	1.213586186388227e-06	0.0009815617596602522	0.002980238297470237	0.0007025466358719257
CT>AG	0.008569395537018578	0.0008248444685411638	0.02863329389595236	0.017384835015481458	0.03085504524450471
CT>GA	0.0036625163011981955	8.506893439985674e-07	0.0114784904381321	0.004548822314011147	0.0024933046227909018
CT>GC	0.0007024326245060309	0.010473847427892907	0.005328503709880152	0.0014115142108833646	0.005863480434248061
CT>GG	0.0029951490457979448	0.00664874371393438	0.007395890416337352	0.0021385760570856683	0.00408344506275725
CT>TA	0.008685180016518919	0.07043930064886808	0.00686643858703519	0.01550724200328848	0.011838494584246746
CT>TC	0.003826853420055727	0.008254705883469455	0.0038047005035632252	0.007858307060851928	0.0068801159888728595
CT>TG	0.001126413288058643	0.003023850265486225	0.01260708519877113	0.012583352781657418	0.010881732270272977
GC>AA	0.06475105577635987	0.022247103470096476	0.028165099084746414	0.06989037347127805	0.027847231032713752
GC>AG	0.037747261197123405	0.02034837902430681	0.004786862883273671	0.021076143267218867	0.024783821279968733
GC>AT	0.008418830910400459	0.000204923684477194	0.008016249533085044	0.007569850913849195	0.03514294366147432
GC>CA	0.0004875865953284375	0.008172581057849158	0.022247344205151762	0.0077769693933885265	0.009582032792220616
GC>CG	1.5655941689374231e-06	1.9126134424141127e-06	2.395247607296369e-06	2.932801303359156e-06	4.355950504759676e-06
GC>TA	0.0037622755970699016	0.001472237571729238	0.005682870969752685	0.00306711673044191	0.003363821753926359
TA>AT	0.004709179895870292	0.006111569672034491	0.007896939051728396	0.012592644779833507	0.017288459300102657
TA>CG	0.0001580474540773924	0.00010367945313987547	0.0067963690533053974	0.002914687890073395	0.005244429487057119
TA>CT	0.0021799671997589343	0.0015662652885401584	0.028855938579832242	0.012525061429666806	0.025818636543802426
TA>GC	1.5655941689374231e-06	1.9126134424141127e-06	2.395247607296369e-06	2.932801303359156e-06	4.355950504759676e-06
TA>GG	0.00023691706112416	0.00023145305147295403	0.0022559569931969747	0.0026231616476763975	0.0031973772902580324
TA>GT	0.009573015517429723	0.0018329030237853772	0.0007636385972983106	0.007712765350716211	0.005805045367037707
TC>AA	0.0466171052587606	0.01012003281541638	0.15224772423505784	0.08634327359801773	0.07963155755765002
TC>AG	0.008658175118442841	0.051282529658956265	0.010519627416030035	0.010105226836292723	0.01827152327638416
TC>AT	0.041334474863251675	0.18305971302092075	0.02069228301914734	0.041655438833616214	0.043381613751172166
TC>CA	0.021910686919935786	0.007250829341658935	0.043791539928027985	0.034135224427461426	0.013166935409229837
TC>CG	0.0033742996156467292	0.0036502192003732502	0.012620714936454079	0.003448000840588463	0.002363826383967956
TC>CT	0.023229545659257837	0.027667006331216725	0.010700523973203176	0.013367622724198896	0.00547464031234334
TC>GA	0.024000757169109193	0.0005071080960206941	0.012195593532790667	0.025154985696409254	0.01803263438234467
TC>GG	0.0029839344488802057	0.00635894376293578	0.005187481494122608	0.0019156181047073418	0.0015475323880123426
TC>GT	0.002456933645254216	0.011906608321395801	0.006676039738123549	0.013487239524653347	0.011844951664307258
TG>AA	0.006891459267901041	7.207980445400608e-07	0.012550857582506438	0.004512845970107832	0.0028546798601151125
TG>AC	0.0030724511010447484	1.6556320241534195e-06	0.00011888958606562028	0.0011955110478231745	0.00048696584722677014
TG>AT	0.021573517069542164	0.0001376374760204735	0.044652041960838315	0.022660055020726873	0.022853903246816572
TG>CA	0.015871488455561147	0.008570648954736075	0.020294100625056898	0.03344988552866567	0.02556252509585647
TG>CC	0.0032468458877680643	0.009893269336930927	0.005735999341880387	0.010519077501741733	0.021728934122220666
TG>CT	0.034862429365630165	0.00021118794940319318	0.06651776198038988	0.04888342257623265	0.0990101668745001
TG>GA	9.717469349368457e-07	0.000519695945627916	0.006109179136679756	0.0019869454043521272	0.004343480309563575
TG>GC	0.0006880060941406185	0.0009472375917476939	0.008547271382545319	0.002520507962017717	0.006444988753455902
TG>GT	0.0029181847704170673	0.016823040045151387	0.013928727735142843	0.006423521088146522	0.014119111996948562
TT>AA	0.002132342763978343	0.015354480037417488	0.03549842671497117	0.006515464980445813	0.013409464913171404
TT>AC	0.000110908826101479	1.4654816138204296e-06	0.004953419515641713	0.0003005577585474839	0.0006306963526168375
TT>AG	0.0017404807875719187	0.0012927569025637808	0.004199673885515552	0.005416873760033952	0.015790122654792214
TT>CA	1.1040480131896402e-06	0.005694824890547352	1.7904247206956825e-06	2.2548559419988123e-06	3.243636659249205e-06
TT>CC	0.002673485161546765	0.006607871549698529	0.00026464386395431917	0.0008620911715833302	0.0007509158788529646
TT>CG	0.0005992823513561518	0.00103896192903278	0.0021281868239752554	0.002867680404034445	0.00878797082061169
TT>GA	1.5655941655268179e-06	1.9126134503721914e-06	2.395247607296369e-06	2.9328012868745644e-06	4.355950486569782e-06
TT>GC	0.000130312218325912	0.0019292757397786887	0.0028003189478850122	0.0013033848102980982	0.00818296670962468
TT>GG	0.0018056808246257106	1.4239596731613346e-06	9.531023842612285e-05	0.001921101976712407	0.0007568241136857523
