Samples	DBS78A	DBS78B	DBS78C	DBS78D	DBS78E	DBS78F
PD3851a	3.89E-01	2.04E-01	4.34E-01	1.79E-01	2.78E-01	3.48E-01
PD3890a	5.10E-01	5.75E-01	1.13E+00	1.19E+00	1.19E+00	1.33E+00
PD3904a	1.82E+00	3.40E-01	2.25E+00	2.05E+00	1.23E+00	1.32E+00
PD3905a	1.02E+00	3.33E-01	1.40E+00	9.26E-01	5.04E-01	7.17E-01
PD3945a	2.75E+00	4.84E-01	3.83E+00	3.25E+00	1.19E+00	3.18E+00
PD4005a	1.36E+00	2.85E-01	1.43E+00	1.23E+00	1.95E+00	1.50E+00
PD4006a	2.34E+00	1.09E-01	2.24E+00	1.17E+00	1.91E+00	9.66E-01
PD4085a	2.78E-01	1.99E-01	2.14E-01	1.47E-01	2.24E-01	2.89E-01
PD4086a	1.56E-01	4.98E-02	1.79E-01	1.53E-01	1.59E-01	1.92E-01
PD4088a	6.37E-02	1.77E-01	1.41E-01	2.24E-01	1.68E-01	2.36E-01
PD4103a	3.43E-01	4.61E-01	5.48E-01	5.08E-01	8.96E-01	1.13E+00
PD4107a	3.16E+00	6.45E-01	2.73E+00	1.13E+00	1.16E+00	7.57E-01
PD4109a	4.02E-01	7.32E-01	1.05E+00	7.17E-01	1.46E+00	1.07E+00
PD4115a	1.35E+00	6.68E-02	1.56E+00	4.01E+00	2.64E+00	1.84E+00
PD4116a	3.22E+00	5.61E-01	3.45E+00	1.25E+00	7.93E-01	5.37E-01
PD4120a	1.20E-01	1.78E-01	1.31E-01	0.00E+00	0.00E+00	3.00E-02
PD4192a	2.58E-01	1.80E-01	6.25E-01	6.04E-01	7.72E-01	8.75E-01
PD4194a	1.01E-01	1.96E-01	2.43E-01	2.89E-01	4.16E-01	3.04E-01
PD4198a	3.43E-01	4.24E-01	4.04E-01	2.85E-01	4.75E-01	4.82E-01
PD4199a	2.87E-01	5.26E-01	2.65E-01	2.81E-01	4.07E-01	4.65E-01
PD4248a	2.98E-01	8.73E-02	5.59E-01	7.03E-01	6.23E-01	6.28E-01
