MutationType	DBS78A	DBS78B	DBS78C	DBS78D	DBS78E	DBS78F
AC>CA	0.00265558729291512	0.002648381775912938	0.008651756081317786	0.004483728027738323	0.009367163768503417	0.006063045526616833
AC>CG	5.553911125364408e-05	0.006925629172480399	0.0001663387929329474	0.005421717027362192	0.0007023269862963399	0.0005124107899266051
AC>CT	0.0020160647640691566	0.00024556850445506484	0.004321945347791036	0.00796816821711971	0.009292366620752262	0.004988175402255024
AC>GA	0.012492605431875034	0.00010892179239345267	0.020385813685984147	0.0029931336517794982	0.0031762646485006484	0.0067488492213320225
AC>GG	1.092820940442607e-06	0.00011832598848087627	0.0011012508195503302	0.0013054270674678038	0.004764335745011863	0.004774010653349592
AC>GT	0.0006286398943658611	1.3618205582588417e-06	0.0029817135107430203	0.0018307696151481424	0.0012558115124181768	0.0006916753898474326
AC>TA	0.003037162634825563	0.00018243474045460674	0.006774654378506852	0.013477438104664827	0.020606833552797924	0.028217854965354974
AC>TG	0.0030615879789002774	1.1190628541157821e-06	0.004583010343917521	0.00043406793021603105	0.004412953198972502	0.0009590396101444298
AC>TT	0.001369924421118256	0.013724178753990941	0.006068503433602181	0.010931557690467173	0.0072951102174499734	0.007186920561125589
AT>CA	0.0007213585935907929	0.000512841729391198	0.0022853315483087754	0.0018358913405069188	0.005899519838971657	0.01470108555199431
AT>CC	1.4670027300667242e-06	1.6807207123292756e-06	2.6310140245300316e-06	2.1057189940165698e-06	4.315547862461244e-06	4.340162442986184e-06
AT>CG	1.4670027300667242e-06	1.6807207123292756e-06	2.6310140245300316e-06	2.1057189940165698e-06	4.315547862461244e-06	4.340162442986184e-06
AT>GA	0.0058150308469248554	0.0007032126719293785	0.0032684894509636565	0.001257966699845543	0.0033189623716531	0.004979717686088491
AT>GC	1.4670027300667242e-06	1.6807207123292756e-06	2.6310140245300316e-06	2.1057189940165698e-06	4.315547862461244e-06	4.340162442986184e-06
AT>TA	0.0055603453911840005	1.0086415274201954e-06	0.0020226650010051373	0.005850559643883457	0.0011069202515145093	0.0032028982863613466
CC>AA	0.2705827563256025	0.026218660759532213	0.1915225568397318	0.13046918834210827	0.039619006115050294	0.03320406649053467
CC>AG	0.04232591199482613	0.009162802037634919	0.0345767131915909	0.02879152320143987	0.04896890763388342	0.021067723225158375
CC>AT	0.1054828929901123	0.030489240421105707	0.05742104873786559	0.03043528897361739	0.030001254213150422	0.015924019639270454
CC>GA	0.0310302726656397	0.0003897614111129499	0.014269317227642943	0.03016977955114271	0.030115983883947487	0.020243231435182453
CC>GG	0.0005152254003900225	1.0702893163738735e-06	0.0013607927681383459	0.0072323994336976226	0.0037824980754066926	0.0019197922228102015
CC>GT	0.004733859955527677	0.041677701551683696	0.013863871469233686	0.007534703832321164	0.03372086710212784	0.04477895540831696
CC>TA	0.014554034502495768	0.04964022295549512	0.011253854868661222	0.0021960428849885716	0.00712815876063587	0.005812469166302208
CC>TG	0.0025977317066876535	0.005948638097088548	0.002834921349810884	0.005723564011639298	0.0011635584948604817	0.0010115275085064467
CC>TT	0.037130658098058905	0.26783796042203906	0.019649022194548137	0.01726520040863761	0.015197892204346032	0.03391676350551037
CG>AT	0.0002425655814603722	1.4136996901470412e-06	0.000614945253360304	0.0006206248723424324	0.0004925885009618014	0.0030623388692356457
CG>GC	1.4670027300667242e-06	1.6807207123292756e-06	2.6310140245300316e-06	2.1057189940165698e-06	4.315547862461244e-06	4.340162442986184e-06
CG>GT	0.002870734620674398	0.0005162744721395995	0.0040593596319257585	0.001133539334427276	0.007074617578897744	0.0021218906025214325
CG>TA	0.0005572298135203368	0.0020014421152689723	0.0074598808475423795	0.002779629473287244	0.015972005589677662	0.01475968237419238
CG>TC	1.4670027300667242e-06	1.6807207123292756e-06	2.6310140245300316e-06	2.1057189940165698e-06	4.315547862461244e-06	4.340162442986184e-06
CG>TT	1.4670027300667242e-06	1.6807207123292756e-06	2.6310140245300316e-06	2.1057189940165698e-06	4.315547862461244e-06	4.340162442986184e-06
CT>AA	0.022678446112630864	0.013430017560412183	0.03416139946117852	0.013969773514720502	0.028055494992836147	0.021715602840077394
CT>AC	0.006813904186055169	1.0783269999592448e-06	0.00435047133490059	0.00043798705052317644	0.0002884837779895122	0.002713346744067735
CT>AG	0.01121871185250214	0.00015053870774224266	0.00945783331977335	0.02285554523185084	0.026756197231568423	0.03133560258921626
CT>GA	0.004724821346876382	8.362063407929555e-07	0.0022951508114523378	0.012330062568119544	0.001398184629691741	0.0034128453618927778
CT>GC	0.000462079037127836	0.010643861307834044	0.002100799768419659	0.005739709968392077	0.006455984286940577	0.002655635543749213
CT>GG	0.004147933592498454	0.0065542338665494524	0.0018850093958490532	0.009073817201118288	0.002689563171405638	0.0028405740470225285
CT>TA	0.00667437895950183	0.07298476291820406	0.015922119928759457	0.005016717566429137	0.013498956548156115	0.016383617428675733
CT>TC	0.0018217441594282136	0.008144901906256052	0.01156425466422334	0.00532810198346894	0.0035132385688993397	0.009564253537368757
CT>TG	0.001284218070291434	0.0017307027649533068	0.006831845173463052	0.010245570115127976	0.0132359047131213	0.0168498110972736
GC>AA	0.061425027255900204	0.02356306909583509	0.06370495084983588	0.02765471416366495	0.022287083895135708	0.06184404330576854
GC>AG	0.036156205235274685	0.01897658151093907	0.022834323738625244	0.004228142868248597	0.025101132896166972	0.0270496866323343
GC>AT	0.009106559708404233	0.0009382398501793787	0.010311807637518768	0.005793195081802503	0.03545164967645178	0.011639416697090042
GC>CA	0.0007781684737209638	0.008087434290631279	0.003994358515321607	0.020640630501507645	0.006920748067966791	0.017244016425523655
GC>CG	1.4670027300667242e-06	1.6807207123292756e-06	2.6310140245300316e-06	2.1057189940165698e-06	4.315547862461244e-06	4.340162442986184e-06
GC>TA	0.0031034697404233925	0.0006621083078258039	0.004973014932243878	0.00664050165259269	0.0028478242752996152	0.0025862415685959663
TA>AT	0.0034745797110477383	0.005574317969796852	0.01073043621455014	0.00737766677186654	0.014393128595706343	0.021202563418531703
TA>CG	9.167009908139789e-07	0.00017650181608459549	0.0014816007797148244	0.007923117430560324	0.003442951336467317	0.005103385114480545
TA>CT	0.002342239021533672	0.0010109512666223175	0.012440900786122882	0.02621097832335636	0.023459441815381083	0.01838151933773979
TA>GC	1.4670027300667242e-06	1.6807207123292756e-06	2.6310140245300316e-06	2.1057189940165698e-06	4.315547862461244e-06	4.340162442986184e-06
TA>GG	4.3104970407199515e-05	1.3507714092497735e-06	0.0014681696665502387	0.0010967311754080812	0.0035961655129017347	0.005281926177573269
TA>GT	0.00846279032515369	0.0005746390245454789	0.009315203820252407	0.002138329532362988	0.00916517500808979	0.0040961855332467675
TC>AA	0.032832697737656534	0.009680899585247111	0.08641016321256757	0.13066553054377436	0.07426743295970027	0.12741384735796601
TC>AG	0.006211808722321237	0.05189592707436532	0.01708312180661835	0.008665866447501624	0.022076043344906395	0.010150621744854291
TC>AT	0.039607027660667884	0.18391935326159	0.041974507190466	0.018541584744762928	0.037711498998188514	0.06202067451712196
TC>CA	0.018238308041684092	0.007467696228251199	0.031050804484024183	0.04859702128237586	0.012331068217676737	0.029872656630570874
TC>CG	0.003330460568881541	0.002684224742451562	0.0037776302310780353	0.013109889501781992	0.0029727540656928754	0.0032280237055790904
TC>CT	0.025996149413966805	0.029332932168617844	0.013598475780962786	0.012348780682707776	0.009007790925875553	0.0020472107332084022
TC>GA	0.02690280877672535	0.0002138080165915568	0.01608619320176011	0.014101392254648744	0.010463088810736636	0.026176584260294646
TC>GG	0.004374697499721378	0.006587637408851492	0.0009011839247833109	0.006324789597753551	0.0008743798254678836	0.0008117234771430665
TC>GT	0.0017085673988425753	0.010445845750242811	0.01005730407179179	0.005890534510103933	0.010306889216268544	0.02061480909838821
TG>AA	0.0077871485182793255	6.839439209649356e-07	0.004822331467052514	0.012969987096669798	0.0022759693082177535	0.002445273160771535
TG>AC	0.004373984678798593	1.4830815956656807e-06	0.0010107139641323216	3.190696981967278e-05	3.858948472839074e-06	3.6136124694507996e-06
TG>AT	0.023487061534288214	1.414762391860336e-07	0.024122772953715278	0.04062797882728802	0.028176463633607228	0.018862184642505043
TG>CA	0.013543632328390913	0.008856639454960203	0.027340312684482983	0.02032260072483126	0.027605470985561594	0.03017501283659996
