Samples	DBS78A	DBS78B	DBS78C	DBS78D	DBS78E	DBS78F	DBS78G
PD3851a	1	0	7	0	0	0	3
PD3890a	3	0	0	0	0	0	31
PD3904a	6	2	27	16	13	0	0
PD3905a	0	0	32	0	0	0	0
PD3945a	0	3	69	0	0	36	0
PD4005a	0	0	0	28	0	22	0
PD4006a	23	0	9	32	0	0	0
PD4085a	0	2	0	4	0	2	0
PD4086a	0	0	2	2	0	0	1
PD4088a	0	1	0	0	1	0	4
PD4103a	0	6	0	0	0	20	0
PD4107a	65	7	0	21	0	0	0
PD4109a	0	8	0	11	0	19	1
PD4115a	4	0	0	0	94	0	0
PD4116a	76	0	0	0	1	2	0
PD4120a	0	112	1	0	0	0	0
PD4192a	0	0	2	0	0	0	16
PD4194a	0	0	0	4	0	1	4
PD4198a	0	4	0	6	0	0	4
PD4199a	0	15	0	4	2	0	0
PD4248a	0	0	0	0	12	7	0
