Samples	DBS78A	DBS78B	DBS78C	DBS78D	DBS78E	DBS78F	DBS78G
PD3851a	3.71E-01	1.50E-01	4.46E-01	3.65E-01	8.52E-02	2.01E-01	3.26E-01
PD3890a	2.98E-01	4.96E-01	8.08E-01	7.37E-01	9.39E-01	5.66E-01	1.41E+00
PD3904a	1.69E+00	3.07E-01	2.29E+00	1.96E+00	1.52E+00	1.12E+00	9.08E-01
PD3905a	1.05E+00	2.54E-01	1.33E+00	3.36E-01	4.60E-01	5.76E-01	5.65E-01
PD3945a	2.45E+00	4.05E-01	4.24E+00	2.21E+00	2.38E+00	3.14E+00	1.04E+00
PD4005a	6.60E-01	2.48E-01	7.71E-01	1.97E+00	1.06E+00	2.01E+00	7.10E-01
PD4006a	2.35E+00	5.03E-02	2.19E+00	2.41E+00	7.17E-01	1.07E+00	6.97E-01
PD4085a	2.53E-01	1.91E-01	2.24E-01	2.76E-01	1.47E-01	2.61E-01	2.02E-01
PD4086a	1.07E-01	5.52E-02	2.01E-01	1.67E-01	1.37E-01	1.61E-01	1.58E-01
PD4088a	3.00E-02	1.55E-01	7.75E-02	6.65E-02	2.23E-01	1.57E-01	2.63E-01
PD4103a	3.00E-02	4.17E-01	5.48E-01	6.45E-01	4.40E-01	1.15E+00	9.52E-01
PD4107a	4.05E+00	5.07E-01	2.37E+00	4.01E+00	1.06E+00	7.78E-01	7.19E-01
PD4109a	2.64E-01	6.41E-01	3.18E-01	1.36E+00	8.37E-01	1.38E+00	1.19E+00
PD4115a	1.07E+00	3.00E-02	1.15E+00	9.42E-01	3.24E+00	2.16E+00	1.10E+00
PD4116a	3.09E+00	3.18E-01	2.62E+00	1.40E+00	1.32E+00	9.39E-01	3.78E-01
PD4120a	1.21E-01	6.22E-01	8.00E-02	9.00E-02	0.00E+00	0.00E+00	6.03E-01
PD4192a	2.41E-01	2.65E-01	5.11E-01	4.08E-01	6.32E-01	6.71E-01	8.71E-01
PD4194a	8.57E-02	1.23E-01	1.98E-01	3.76E-01	2.59E-01	3.54E-01	3.66E-01
PD4198a	2.79E-01	3.84E-01	1.59E-01	4.65E-01	2.42E-01	4.34E-01	5.19E-01
PD4199a	2.20E-01	5.62E-01	2.56E-01	4.84E-01	2.53E-01	2.80E-01	4.90E-01
PD4248a	1.84E-01	6.44E-02	6.29E-01	5.23E-01	6.62E-01	6.64E-01	3.79E-01
