Samples	DBS78A	DBS78B	DBS78C	DBS78D	DBS78E	DBS78F	DBS78G	DBS78H
PD3851a	0	0	0	1	7	0	0	3
PD3890a	1	0	2	2	0	0	0	29
PD3904a	3	24	5	0	23	9	0	0
PD3905a	0	0	0	0	32	0	0	0
PD3945a	0	4	10	2	51	0	41	0
PD4005a	0	0	0	5	0	43	2	0
PD4006a	0	40	0	8	4	12	0	0
PD4085a	3	0	0	0	0	5	0	0
PD4086a	0	0	0	0	2	2	0	1
PD4088a	1	0	1	0	0	0	0	4
PD4103a	2	0	0	0	0	0	24	0
PD4107a	4	0	0	87	0	2	0	0
PD4109a	9	0	4	0	0	20	5	1
PD4115a	0	0	89	9	0	0	0	0
PD4116a	0	70	0	9	0	0	0	0
PD4120a	111	0	0	0	2	0	0	0
PD4192a	0	0	0	0	1	0	0	17
PD4194a	0	0	0	0	0	9	0	0
PD4198a	4	3	0	0	0	3	1	3
PD4199a	13	1	0	1	0	4	0	2
PD4248a	0	0	14	0	0	3	2	0
