Samples	DBS78A	DBS78B	DBS78C	DBS78D	DBS78E	DBS78F	DBS78G	DBS78H
PD3851a	1.03E-01	2.94E-01	1.44E-01	3.42E-01	4.50E-01	1.84E-01	2.93E-01	3.11E-01
PD3890a	2.89E-01	8.65E-01	8.06E-01	3.04E-01	8.40E-01	7.52E-01	5.39E-01	1.50E+00
PD3904a	3.57E-01	2.21E+00	1.53E+00	1.55E+00	2.26E+00	1.34E+00	1.12E+00	9.72E-01
PD3905a	2.22E-01	8.03E-01	5.19E-01	7.10E-01	1.28E+00	3.53E-01	3.81E-01	3.18E-01
PD3945a	3.21E-01	2.17E+00	2.70E+00	2.13E+00	4.25E+00	9.13E-01	3.72E+00	8.05E-01
PD4005a	2.31E-01	8.71E-01	1.09E+00	1.10E+00	8.93E-01	2.10E+00	1.18E+00	3.95E-01
PD4006a	8.38E-02	2.78E+00	3.91E-01	2.08E+00	2.13E+00	1.81E+00	4.18E-01	9.15E-01
PD4085a	1.79E-01	2.07E-01	1.69E-01	2.66E-01	2.02E-01	2.36E-01	2.54E-01	1.83E-01
PD4086a	2.78E-02	1.27E-01	7.47E-02	1.34E-01	2.00E-01	1.77E-01	1.20E-01	1.68E-01
PD4088a	1.61E-01	5.80E-02	2.22E-01	4.00E-02	1.06E-01	8.20E-02	1.55E-01	2.56E-01
PD4103a	3.95E-01	8.03E-02	4.24E-01	3.08E-01	3.72E-01	4.83E-01	1.03E+00	2.40E-01
PD4107a	3.07E-01	9.32E-01	9.83E-01	2.07E+00	9.06E-01	6.39E-01	9.85E-01	2.58E-01
PD4109a	5.84E-01	1.04E+00	7.92E-01	1.42E-01	6.95E-01	1.46E+00	1.29E+00	1.21E+00
PD4115a	0.00E+00	1.79E+00	3.86E+00	1.27E+00	2.38E+00	1.81E+00	7.11E-01	1.48E+00
PD4116a	3.68E-01	3.56E+00	6.37E-01	3.05E+00	1.73E+00	7.73E-01	5.66E-01	0.00E+00
PD4120a	6.69E-01	6.38E-01	0.00E+00	0.00E+00	2.07E-01	0.00E+00	0.00E+00	8.00E-02
PD4192a	1.70E-01	4.19E-01	4.51E-01	3.09E-01	4.40E-01	6.73E-01	6.03E-01	8.82E-01
PD4194a	2.00E-02	2.08E-01	2.27E-01	6.37E-02	1.25E-01	4.10E-01	3.35E-01	3.75E-01
PD4198a	3.99E-01	2.79E-01	5.77E-02	2.86E-01	1.90E-01	4.66E-01	4.72E-01	4.39E-01
PD4199a	5.79E-01	3.29E-01	2.75E-01	1.56E-01	2.56E-01	3.43E-01	4.50E-01	5.24E-01
PD4248a	5.80E-02	3.61E-01	6.38E-01	1.43E-01	6.11E-01	6.02E-01	5.42E-01	4.35E-01
