Samples	DBS78A	DBS78B	DBS78C	DBS78D	DBS78E	DBS78F	DBS78G	DBS78H	DBS78I
PD3851a	0	0	0	0	6	0	0	0	5
PD3890a	2	2	0	4	0	0	7	0	19
PD3904a	1	9	6	5	14	3	26	0	0
PD3905a	0	0	0	0	32	0	0	0	0
PD3945a	0	0	9	12	47	0	0	40	0
PD4005a	0	7	0	0	0	43	0	0	0
PD4006a	0	14	25	0	1	7	17	0	0
PD4085a	2	1	0	0	0	4	0	0	1
PD4086a	0	0	0	0	2	0	0	0	3
PD4088a	1	0	0	2	0	0	0	0	3
PD4103a	1	0	0	0	0	0	0	25	0
PD4107a	4	89	0	0	0	0	0	0	0
PD4109a	8	0	3	0	0	25	0	2	1
PD4115a	0	9	0	89	0	0	0	0	0
PD4116a	0	0	79	0	0	0	0	0	0
PD4120a	110	0	0	0	1	1	0	0	1
PD4192a	0	0	0	0	0	0	18	0	0
PD4194a	0	0	0	0	0	4	0	0	5
PD4198a	3	0	3	0	0	0	0	1	7
PD4199a	13	1	0	0	0	2	4	0	1
PD4248a	0	0	0	11	1	3	0	1	3
