Samples	DBS78A	DBS78B	DBS78C	DBS78D	DBS78E	DBS78F	DBS78G	DBS78H	DBS78I
PD3851a	7.82E-02	3.13E-01	3.14E-01	0.00E+00	4.48E-01	8.57E-02	3.03E-01	1.60E-01	4.14E-01
PD3890a	3.01E-01	3.78E-01	4.68E-01	5.97E-01	6.83E-01	7.94E-01	1.37E+00	6.65E-01	1.51E+00
PD3904a	2.36E-01	1.70E+00	1.54E+00	5.80E-01	2.32E+00	1.23E+00	2.32E+00	1.17E+00	6.25E-01
PD3905a	2.12E-01	5.37E-01	8.01E-01	3.43E-01	1.28E+00	2.55E-01	6.66E-01	4.75E-01	4.18E-01
PD3945a	2.76E-01	2.39E+00	2.41E+00	2.40E+00	4.16E+00	1.02E+00	3.11E+00	3.00E+00	7.88E-01
PD4005a	1.56E-01	9.72E-01	9.27E-01	6.48E-01	5.22E-01	2.10E+00	8.03E-01	1.24E+00	5.44E-01
PD4006a	1.30E-01	2.10E+00	2.46E+00	0.00E+00	2.03E+00	1.00E+00	2.37E+00	5.46E-01	3.32E-01
PD4085a	1.46E-01	2.59E-01	1.98E-01	4.98E-02	2.20E-01	2.00E-01	2.28E-01	2.39E-01	2.49E-01
PD4086a	5.00E-02	1.04E-01	8.04E-02	5.80E-02	2.03E-01	1.60E-01	1.28E-01	1.04E-01	1.48E-01
PD4088a	1.44E-01	5.00E-02	0.00E+00	2.09E-01	1.14E-01	1.06E-01	1.28E-01	1.63E-01	2.49E-01
PD4103a	3.16E-01	2.81E-01	2.02E-01	3.78E-01	2.58E-01	3.76E-01	1.61E-01	1.00E+00	4.84E-01
PD4107a	4.57E-01	2.43E+00	1.22E+00	3.00E-02	1.26E+00	6.47E-01	2.89E-01	1.01E+00	3.36E-01
PD4109a	5.01E-01	1.73E-01	8.85E-01	5.13E-01	5.26E-01	1.62E+00	9.52E-01	1.15E+00	1.30E+00
PD4115a	3.59E-02	1.11E+00	1.33E+00	2.58E+00	9.14E-01	1.05E+00	1.13E+00	5.51E-01	2.50E-01
PD4116a	2.26E-01	2.29E+00	3.34E+00	5.42E-01	2.03E+00	3.56E-01	2.93E-01	3.05E-01	3.26E-01
PD4120a	1.04E+00	0.00E+00	8.00E-02	0.00E+00	2.28E-01	5.35E-01	0.00E+00	0.00E+00	8.82E-01
PD4192a	1.20E-01	1.00E-02	1.80E-01	5.14E-01	4.21E-01	4.35E-01	8.39E-01	6.71E-01	7.65E-01
PD4194a	1.20E-01	1.73E-01	1.82E-01	2.15E-01	1.23E-01	3.71E-01	2.45E-01	2.57E-01	3.91E-01
PD4198a	3.36E-01	2.61E-01	3.14E-01	4.00E-02	5.22E-02	3.50E-01	4.11E-01	3.83E-01	5.13E-01
PD4199a	5.99E-01	1.69E-01	3.69E-01	1.27E-01	2.37E-01	3.31E-01	3.92E-01	3.97E-01	5.60E-01
PD4248a	0.00E+00	1.58E-01	9.54E-02	6.02E-01	5.20E-01	6.09E-01	6.17E-01	4.41E-01	4.59E-01
