Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J
TCGA-3C-AAAU-01	3	2	13	0	5	5	7	10	0	0
TCGA-3C-AALI-01	238	322	17	29	11	139	14	0	0	38
TCGA-3C-AALJ-01	0	6	6	19	0	4	0	14	16	1
TCGA-3C-AALK-01	6	5	12	0	0	1	2	15	13	10
TCGA-4H-AAAK-01	0	0	6	0	0	10	4	10	3	0
TCGA-5L-AAT0-01	81	48	0	85	0	62	0	3	0	0
TCGA-5L-AAT1-01	725	605	0	350	0	251	0	0	0	55
TCGA-5T-A9QA-01	2	0	19	10	0	0	2	12	8	0
TCGA-A1-A0SB-01	0	0	2	0	0	2	4	0	8	0
TCGA-A1-A0SD-01	2	1	8	0	0	2	1	0	26	0
TCGA-A1-A0SE-01	4	0	0	5	0	8	3	9	0	7
TCGA-A1-A0SF-01	29	3	6	15	0	5	0	6	0	0
TCGA-A1-A0SG-01	0	1	5	0	0	15	2	1	11	0
TCGA-A1-A0SH-01	37	24	7	45	4	0	5	2	0	14
TCGA-A1-A0SI-01	80	111	3	55	0	24	5	0	0	0
TCGA-A1-A0SJ-01	5	5	14	0	3	0	1	8	0	4
TCGA-A1-A0SK-01	1	1	11	6	23	4	0	0	36	2
TCGA-A1-A0SM-01	0	0	7	0	0	12	6	0	0	7
TCGA-A1-A0SN-01	5	18	11	0	10	17	1	12	0	2
TCGA-A1-A0SO-01	12	15	5	0	101	12	12	36	64	96
TCGA-A1-A0SP-01	1	0	10	19	13	0	1	26	0	0
TCGA-A2-A04N-01	4	1	8	0	5	15	5	0	12	3
TCGA-A2-A04R-01	2	7	8	0	24	8	6	8	7	32
TCGA-A2-A04U-01	0	1	10	10	18	7	5	0	16	0
TCGA-A2-A04W-01	36	46	9	53	0	32	11	0	0	0
TCGA-A2-A0CK-01	4	0	10	2	0	0	1	0	10	0
TCGA-A2-A0CL-01	62	65	23	30	0	17	3	0	0	0
TCGA-A2-A0CR-01	90	72	4	30	0	8	4	0	2	0
TCGA-A2-A0CS-01	1	0	16	0	1	0	3	9	13	5
TCGA-A2-A0CV-01	0	2	9	0	2	6	1	4	0	0
TCGA-A2-A0CW-01	15	12	12	0	8	8	0	0	15	14
TCGA-A2-A0D3-01	2	0	20	3	0	1	0	2	0	4
TCGA-A2-A0EN-01	1	0	4	0	0	6	2	0	26	0
TCGA-A2-A0EP-01	1	3	0	3	0	0	3	3	3	0
TCGA-A2-A0ES-01	0	0	1	4	0	2	0	7	5	0
TCGA-A2-A0EW-01	0	1	4	0	6	3	6	0	0	0
TCGA-A2-A0ST-01	2	2	4	1	0	2	4	0	13	0
TCGA-A2-A0SU-01	1	1	6	3	8	0	1	13	0	2
TCGA-A2-A0SX-01	4	2	8	5	0	0	4	4	0	14
TCGA-A2-A0SY-01	44	63	8	19	0	36	2	0	5	0
TCGA-A2-A0T0-01	9	13	10	12	84	3	37	20	0	29
TCGA-A2-A0T1-01	0	0	5	0	0	7	5	0	15	0
TCGA-A2-A0T3-01	1	0	12	3	1	2	1	1	0	23
TCGA-A2-A0T4-01	4	6	8	0	11	0	4	8	0	0
TCGA-A2-A0T5-01	2	0	5	0	2	0	0	0	4	0
TCGA-A2-A0T6-01	3	0	15	0	3	1	0	0	6	0
TCGA-A2-A0T7-01	3	0	9	0	6	4	2	0	5	0
TCGA-A2-A0YC-01	4	2	8	0	10	0	1	3	0	4
TCGA-A2-A0YD-01	24	19	9	4	0	27	0	0	4	0
TCGA-A2-A0YE-01	7	0	14	5	0	1	1	0	0	15
