Samples	SBS96A	SBS96B	SBS96C	SBS96D
TCGA-3C-AAAU-01	3	21	3	18
TCGA-3C-AALI-01	646	79	72	11
TCGA-3C-AALJ-01	9	18	30	9
TCGA-3C-AALK-01	9	24	17	14
TCGA-4H-AAAK-01	0	19	4	10
TCGA-5L-AAT0-01	195	84	0	0
TCGA-5L-AAT1-01	1733	253	0	0
TCGA-5T-A9QA-01	0	30	8	15
TCGA-A1-A0SB-01	0	6	1	9
TCGA-A1-A0SD-01	0	23	9	8
TCGA-A1-A0SE-01	6	17	12	1
TCGA-A1-A0SF-01	39	25	0	0
TCGA-A1-A0SG-01	0	29	6	0
TCGA-A1-A0SH-01	79	17	36	6
TCGA-A1-A0SI-01	239	5	18	16
TCGA-A1-A0SJ-01	7	15	5	13
TCGA-A1-A0SK-01	0	31	48	5
TCGA-A1-A0SM-01	0	18	8	6
TCGA-A1-A0SN-01	23	24	23	6
TCGA-A1-A0SO-01	24	31	264	34
TCGA-A1-A0SP-01	0	22	32	16
TCGA-A2-A04N-01	4	32	16	1
TCGA-A2-A04R-01	8	14	67	13
TCGA-A2-A04U-01	0	27	31	9
TCGA-A2-A04W-01	122	38	15	12
TCGA-A2-A0CK-01	1	20	0	6
TCGA-A2-A0CL-01	148	40	0	12
TCGA-A2-A0CR-01	190	20	0	0
TCGA-A2-A0CS-01	0	19	12	17
TCGA-A2-A0CV-01	0	14	4	6
TCGA-A2-A0CW-01	26	32	26	0
TCGA-A2-A0D3-01	0	25	0	7
TCGA-A2-A0EN-01	0	21	13	5
TCGA-A2-A0EP-01	6	0	5	5
TCGA-A2-A0ES-01	0	8	9	2
TCGA-A2-A0EW-01	1	6	6	7
TCGA-A2-A0ST-01	4	10	6	8
TCGA-A2-A0SU-01	1	7	17	10
TCGA-A2-A0SX-01	7	9	12	13
TCGA-A2-A0SY-01	127	37	13	0
TCGA-A2-A0T0-01	25	0	136	56
TCGA-A2-A0T1-01	0	17	4	11
TCGA-A2-A0T3-01	0	19	21	4
TCGA-A2-A0T4-01	8	5	13	15
TCGA-A2-A0T5-01	0	9	1	3
TCGA-A2-A0T6-01	0	22	0	6
TCGA-A2-A0T7-01	1	20	5	3
TCGA-A2-A0YC-01	4	12	12	4
TCGA-A2-A0YD-01	49	38	0	0
TCGA-A2-A0YE-01	6	26	8	3
TCGA-A2-A0YF-01	0	16	20	3
TCGA-A2-A0YG-01	6	37	27	8
TCGA-A2-A0YH-01	45	19	27	9
TCGA-A2-A0YI-01	1	7	9	1
TCGA-A2-A0YJ-01	1	29	44	24
TCGA-A2-A0YK-01	462	3	0	13
TCGA-A2-A0YL-01	27	10	4	2
TCGA-A2-A0YM-01	35	44	12	18
TCGA-A2-A0YT-01	16	54	9	2
TCGA-A2-A1FV-01	6	28	9	7
TCGA-A2-A1FW-01	2	43	35	15
TCGA-A2-A1FX-01	0	14	13	1
TCGA-A2-A1FZ-01	1	8	6	14
TCGA-A2-A1G0-01	2	8	13	0
TCGA-A2-A1G1-01	2	13	21	3
TCGA-A2-A1G6-01	1	0	4	5
TCGA-A2-A259-01	4	15	10	0
TCGA-A2-A25A-01	81	25	21	2
TCGA-A2-A25B-01	7	32	78	11
TCGA-A2-A25C-01	3	0	27	9
TCGA-A2-A25D-01	8	15	28	13
TCGA-A2-A25E-01	8	6	30	17
TCGA-A2-A25F-01	0	0	6	0
TCGA-A2-A3KD-01	0	13	0	5
TCGA-A2-A3XT-01	28	0	71	23
TCGA-A2-A3XU-01	0	14	5	12
TCGA-A2-A3XV-01	0	14	18	16
TCGA-A2-A3XW-01	1	11	3	2
TCGA-A2-A3XX-01	2	21	19	10
TCGA-A2-A3XZ-01	22	19	6	5
TCGA-A2-A3Y0-01	49	0	133	61
TCGA-A2-A4S1-01	4	19	52	23
TCGA-A2-A4S2-01	6	11	12	14
TCGA-A2-A4S3-01	15	24	41	27
TCGA-A7-A0CE-01	7	9	32	13
TCGA-A7-A0CH-01	0	8	9	0
TCGA-A7-A0D9-01	4	5	1	2
TCGA-A7-A0DA-01	16	21	136	14
TCGA-A7-A0DB-01	18	16	8	11
TCGA-A7-A13D-01	15	24	86	15
TCGA-A7-A13E-01	0	45	8	27
TCGA-A7-A13F-01	2	29	5	9
TCGA-A7-A13G-01	9	9	4	10
TCGA-A7-A26E-01	19	48	0	0
TCGA-A7-A26F-01	1	30	15	0
TCGA-A7-A26G-01	17	8	34	9
