NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	68.836	104.43	12.343	68.526	1.019	0.614	40000.0
2	69.013	104.417	12.411	68.806	1.016	0.612	20000.0
3	68.33	103.534	12.243	68.174	1.009	0.619	20000.0
4	68.98	104.519	12.384	68.558	1.012	0.615	20000.0
5	68.714	104.274	12.333	68.401	1.015	0.618	40000.0
6	68.878	104.442	12.335	68.562	1.015	0.615	30000.0
7	68.56	104.348	12.208	68.541	1.018	0.615	20000.0
8	69.166	104.707	12.449	68.767	1.018	0.612	30000.0
9	68.255	104.018	12.164	68.251	1.01	0.618	40000.0
10	68.449	104.213	12.2	68.164	1.022	0.617	40000.0
11	68.977	104.856	12.319	68.802	1.02	0.612	20000.0
12	69.101	104.008	12.464	68.315	1.012	0.618	40000.0
13	69.027	104.368	12.415	68.763	1.02	0.612	50000.0
14	69.216	104.79	12.42	68.789	1.025	0.611	20000.0
15	68.715	103.953	12.349	68.268	1.009	0.618	50000.0
16	68.951	104.639	12.396	68.461	1.02	0.617	20000.0
17	68.736	104.523	12.338	68.498	1.02	0.611	20000.0
18	68.562	104.056	12.37	68.281	1.013	0.618	30000.0
19	69.304	105.839	12.378	69.326	1.039	0.602	20000.0
20	68.928	104.007	12.408	68.566	1.01	0.616	30000.0
21	69.068	105.119	12.128	67.802	1.031	0.624	30000.0
22	68.885	104.334	12.377	68.346	1.017	0.617	40000.0
23	68.94	104.63	12.401	68.649	1.024	0.614	40000.0
24	68.704	104.717	12.289	68.774	1.025	0.611	60000.0
25	69.028	104.389	12.431	68.792	1.018	0.611	30000.0
26	68.764	104.153	12.4	68.438	1.015	0.616	30000.0
27	68.346	104.265	12.312	68.375	1.016	0.616	30000.0
28	68.963	104.845	12.086	67.663	1.024	0.625	20000.0
29	69.013	104.555	12.383	68.848	1.017	0.611	30000.0
30	68.697	104.199	12.264	68.448	1.014	0.616	30000.0
31	69.141	104.922	12.374	68.836	1.025	0.61	30000.0
32	68.587	104.238	12.252	68.354	1.018	0.616	30000.0
33	69.147	104.824	12.382	68.909	1.022	0.609	30000.0
34	69.129	104.976	12.091	68.129	1.029	0.618	30000.0
35	69.191	104.991	12.179	68.005	1.026	0.622	20000.0
36	68.658	104.221	12.41	68.436	1.018	0.616	20000.0
37	69.044	105.143	12.425	68.971	1.03	0.61	30000.0
38	68.573	103.796	12.359	68.296	1.008	0.619	40000.0
39	68.457	104.184	12.257	68.473	1.017	0.614	20000.0
40	69.104	104.064	12.425	68.53	1.009	0.616	20000.0
41	68.404	104.134	12.249	68.408	1.018	0.615	30000.0
42	69.077	104.086	12.416	68.521	1.016	0.614	30000.0
43	68.922	104.417	12.379	68.66	1.021	0.613	20000.0
44	68.958	104.18	12.399	68.354	1.019	0.618	30000.0
45	68.565	104.311	12.268	68.57	1.013	0.616	40000.0
