Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E
TCGA-3C-AAAU-01	7	2	5	18	13
TCGA-3C-AALI-01	307	450	0	51	0
TCGA-3C-AALJ-01	0	13	28	21	4
TCGA-3C-AALK-01	9	8	15	22	10
TCGA-4H-AAAK-01	2	0	5	19	7
TCGA-5L-AAT0-01	177	85	0	17	0
TCGA-5L-AAT1-01	1092	894	0	0	0
TCGA-5T-A9QA-01	3	0	10	32	8
TCGA-A1-A0SB-01	1	0	1	6	8
TCGA-A1-A0SD-01	2	1	10	23	4
TCGA-A1-A0SE-01	15	0	8	6	7
TCGA-A1-A0SF-01	51	7	0	3	3
TCGA-A1-A0SG-01	6	1	6	21	1
TCGA-A1-A0SH-01	59	44	21	4	10
TCGA-A1-A0SI-01	102	168	0	6	2
TCGA-A1-A0SJ-01	5	7	4	17	7
TCGA-A1-A0SK-01	2	2	49	31	0
TCGA-A1-A0SM-01	3	0	8	16	5
TCGA-A1-A0SN-01	7	23	19	26	1
TCGA-A1-A0SO-01	26	14	252	28	33
TCGA-A1-A0SP-01	5	0	34	19	12
TCGA-A2-A04N-01	13	1	14	22	3
TCGA-A2-A04R-01	5	8	63	15	11
TCGA-A2-A04U-01	0	4	32	26	5
TCGA-A2-A04W-01	65	86	0	25	11
TCGA-A2-A0CK-01	7	0	0	17	3
TCGA-A2-A0CL-01	75	96	0	29	0
TCGA-A2-A0CR-01	113	97	0	0	0
TCGA-A2-A0CS-01	0	0	13	25	10
TCGA-A2-A0CV-01	0	2	4	15	3
TCGA-A2-A0CW-01	25	16	20	23	0
TCGA-A2-A0D3-01	1	0	0	30	1
TCGA-A2-A0EN-01	4	0	13	18	4
TCGA-A2-A0EP-01	2	5	3	0	6
TCGA-A2-A0ES-01	1	0	9	7	2
TCGA-A2-A0EW-01	1	1	5	6	7
TCGA-A2-A0ST-01	4	3	5	10	6
TCGA-A2-A0SU-01	1	2	16	9	7
TCGA-A2-A0SX-01	6	5	10	9	11
TCGA-A2-A0SY-01	64	89	0	24	0
TCGA-A2-A0T0-01	11	18	128	8	52
TCGA-A2-A0T1-01	3	0	4	16	9
