Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F
TCGA-3C-AAAU-01	5	1	19	9	0	11
TCGA-3C-AALI-01	315	405	53	31	0	4
TCGA-3C-AALJ-01	0	10	13	0	41	2
TCGA-3C-AALK-01	7	7	20	5	17	8
TCGA-4H-AAAK-01	1	0	14	0	12	6
TCGA-5L-AAT0-01	141	75	16	0	47	0
TCGA-5L-AAT1-01	1056	857	23	0	50	0
TCGA-5T-A9QA-01	2	0	27	6	11	7
TCGA-A1-A0SB-01	1	0	6	2	0	7
TCGA-A1-A0SD-01	1	1	19	0	17	2
TCGA-A1-A0SE-01	8	0	3	0	21	4
TCGA-A1-A0SF-01	45	7	7	0	0	5
TCGA-A1-A0SG-01	4	1	14	0	15	1
TCGA-A1-A0SH-01	49	38	5	27	10	9
TCGA-A1-A0SI-01	106	149	7	0	10	6
TCGA-A1-A0SJ-01	5	6	16	7	0	6
TCGA-A1-A0SK-01	1	2	24	35	22	0
TCGA-A1-A0SM-01	1	0	12	0	15	4
TCGA-A1-A0SN-01	9	20	22	16	8	1
TCGA-A1-A0SO-01	12	17	16	153	129	26
TCGA-A1-A0SP-01	4	0	18	37	0	11
TCGA-A2-A04N-01	9	1	17	0	23	3
TCGA-A2-A04R-01	2	8	11	36	37	8
TCGA-A2-A04U-01	1	3	21	27	11	4
TCGA-A2-A04W-01	59	73	21	0	23	11
TCGA-A2-A0CK-01	5	0	15	0	4	3
TCGA-A2-A0CL-01	79	87	31	0	0	3
TCGA-A2-A0CR-01	112	92	0	0	0	6
TCGA-A2-A0CS-01	0	0	21	0	19	8
TCGA-A2-A0CV-01	0	2	13	6	0	3
TCGA-A2-A0CW-01	21	14	20	17	12	0
TCGA-A2-A0D3-01	1	0	27	0	4	0
TCGA-A2-A0EN-01	2	0	13	0	22	2
TCGA-A2-A0EP-01	2	4	0	0	5	5
TCGA-A2-A0ES-01	1	0	5	0	12	1
TCGA-A2-A0EW-01	1	1	6	6	0	6
TCGA-A2-A0ST-01	3	3	8	0	9	5
