Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G
TCGA-3C-AAAU-01	4	1	17	7	6	10	0
TCGA-3C-AALI-01	290	370	43	0	99	6	0
TCGA-3C-AALJ-01	0	10	8	0	11	0	37
TCGA-3C-AALK-01	7	6	16	5	0	6	24
TCGA-4H-AAAK-01	1	0	10	0	2	4	16
TCGA-5L-AAT0-01	101	56	3	0	119	0	0
TCGA-5L-AAT1-01	899	741	4	0	342	0	0
TCGA-5T-A9QA-01	2	0	24	5	6	6	10
TCGA-A1-A0SB-01	1	0	5	0	1	5	4
TCGA-A1-A0SD-01	2	1	14	0	0	0	23
TCGA-A1-A0SE-01	5	0	1	0	19	5	6
TCGA-A1-A0SF-01	37	6	7	0	10	4	0
TCGA-A1-A0SG-01	2	0	10	0	15	1	7
TCGA-A1-A0SH-01	45	35	5	25	20	8	0
TCGA-A1-A0SI-01	95	134	4	0	40	5	0
TCGA-A1-A0SJ-01	5	5	18	8	0	4	0
TCGA-A1-A0SK-01	2	2	19	30	4	0	27
TCGA-A1-A0SM-01	0	0	10	0	15	5	2
TCGA-A1-A0SN-01	7	18	17	8	23	2	1
TCGA-A1-A0SO-01	10	18	10	160	47	22	86
TCGA-A1-A0SP-01	2	0	16	31	12	9	0
TCGA-A2-A04N-01	7	1	13	0	11	3	18
TCGA-A2-A04R-01	1	8	9	41	24	9	10
TCGA-A2-A04U-01	0	3	18	21	15	5	5
TCGA-A2-A04W-01	46	61	13	0	57	10	0
TCGA-A2-A0CK-01	5	0	14	0	0	2	6
TCGA-A2-A0CL-01	77	84	31	0	5	3	0
TCGA-A2-A0CR-01	110	89	4	0	0	6	1
TCGA-A2-A0CS-01	1	0	17	0	0	5	25
TCGA-A2-A0CV-01	0	2	13	2	5	2	0
TCGA-A2-A0CW-01	21	13	17	17	2	0	14
TCGA-A2-A0D3-01	2	0	24	1	0	0	5
TCGA-A2-A0EN-01	2	0	8	0	0	0	29
TCGA-A2-A0EP-01	2	4	0	0	3	3	4
TCGA-A2-A0ES-01	0	0	3	0	5	0	11
TCGA-A2-A0EW-01	0	1	5	4	4	6	0
TCGA-A2-A0ST-01	2	3	7	0	3	5	8
TCGA-A2-A0SU-01	1	2	9	15	0	5	3
TCGA-A2-A0SX-01	4	4	10	5	8	8	2
TCGA-A2-A0SY-01	53	69	16	0	39	0	0
TCGA-A2-A0T0-01	11	18	10	111	0	44	23
TCGA-A2-A0T1-01	1	0	8	0	3	5	15
TCGA-A2-A0T3-01	0	1	14	11	13	1	4
