Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H
TCGA-3C-AAAU-01	1	3	17	7	8	9	0	0
TCGA-3C-AALI-01	359	264	16	147	13	9	0	0
TCGA-3C-AALJ-01	10	0	5	11	0	1	2	37
TCGA-3C-AALK-01	6	7	15	0	0	4	6	26
TCGA-4H-AAAK-01	0	0	7	12	0	5	0	9
TCGA-5L-AAT0-01	66	95	0	118	0	0	0	0
TCGA-5L-AAT1-01	732	839	0	344	0	0	71	0
TCGA-5T-A9QA-01	0	3	21	0	1	3	0	25
TCGA-A1-A0SB-01	0	0	4	3	2	6	0	1
TCGA-A1-A0SD-01	1	2	13	0	0	0	0	24
TCGA-A1-A0SE-01	0	4	0	16	0	5	6	5
TCGA-A1-A0SF-01	5	34	6	10	0	2	7	0
TCGA-A1-A0SG-01	1	0	7	21	0	2	0	4
TCGA-A1-A0SH-01	32	44	8	0	2	6	46	0
TCGA-A1-A0SI-01	135	92	0	45	0	6	0	0
TCGA-A1-A0SJ-01	5	5	16	0	6	3	5	0
TCGA-A1-A0SK-01	2	2	17	4	32	0	4	23
TCGA-A1-A0SM-01	0	0	6	14	0	6	3	3
TCGA-A1-A0SN-01	19	5	11	25	13	2	0	1
TCGA-A1-A0SO-01	14	14	16	5	105	19	142	38
TCGA-A1-A0SP-01	0	2	14	10	27	8	5	4
TCGA-A2-A04N-01	1	5	9	16	4	3	1	14
TCGA-A2-A04R-01	7	2	10	8	23	8	44	0
TCGA-A2-A04U-01	3	0	14	15	26	5	0	4
TCGA-A2-A04W-01	64	42	4	63	1	13	0	0
TCGA-A2-A0CK-01	0	5	13	0	0	1	1	7
TCGA-A2-A0CL-01	80	73	28	16	0	3	0	0
TCGA-A2-A0CR-01	84	104	5	2	0	4	0	11
TCGA-A2-A0CS-01	0	1	16	0	2	4	2	23
TCGA-A2-A0CV-01	2	0	10	6	1	2	3	0
TCGA-A2-A0CW-01	11	19	17	4	6	0	24	3
TCGA-A2-A0D3-01	0	2	21	0	0	0	5	4
TCGA-A2-A0EN-01	0	1	6	6	0	1	0	25
TCGA-A2-A0EP-01	4	2	0	2	0	4	0	4
TCGA-A2-A0ES-01	0	0	1	5	0	0	0	13
TCGA-A2-A0EW-01	1	0	4	3	5	7	0	0
TCGA-A2-A0ST-01	3	2	7	3	1	4	1	7
TCGA-A2-A0SU-01	1	1	8	0	12	4	9	0
TCGA-A2-A0SX-01	3	4	8	0	0	5	21	0
TCGA-A2-A0SY-01	71	47	6	53	0	0	0	0
TCGA-A2-A0T0-01	15	10	12	2	91	42	42	3
TCGA-A2-A0T1-01	0	0	6	8	0	5	0	13
TCGA-A2-A0T3-01	0	2	13	0	0	0	29	0
