Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I
TCGA-3C-AAAU-01	2	2	14	10	7	0	0	10	0
TCGA-3C-AALI-01	330	243	23	112	0	85	0	8	7
TCGA-3C-AALJ-01	7	1	3	2	0	28	22	0	3
TCGA-3C-AALK-01	5	7	14	1	0	5	18	3	11
TCGA-4H-AAAK-01	0	0	7	2	0	15	5	4	0
TCGA-5L-AAT0-01	63	81	5	116	0	0	14	0	0
TCGA-5L-AAT1-01	704	750	11	444	0	29	0	0	48
TCGA-5T-A9QA-01	0	2	22	5	2	0	18	2	2
TCGA-A1-A0SB-01	0	0	3	1	0	7	0	5	0
TCGA-A1-A0SD-01	0	1	10	0	2	24	0	3	0
TCGA-A1-A0SE-01	0	3	1	13	0	2	8	3	6
TCGA-A1-A0SF-01	6	29	6	18	0	0	4	1	0
TCGA-A1-A0SG-01	0	0	7	10	0	16	0	2	0
TCGA-A1-A0SH-01	32	38	5	12	0	0	20	2	29
TCGA-A1-A0SI-01	124	80	3	50	0	16	0	5	0
TCGA-A1-A0SJ-01	5	5	14	0	4	0	8	2	2
TCGA-A1-A0SK-01	0	1	11	0	30	40	0	0	2
TCGA-A1-A0SM-01	0	0	8	5	0	6	0	6	7
TCGA-A1-A0SN-01	18	6	15	15	13	1	5	2	1
TCGA-A1-A0SO-01	14	11	10	9	120	33	27	18	111
TCGA-A1-A0SP-01	0	2	10	6	15	0	37	0	0
TCGA-A2-A04N-01	0	6	10	5	5	20	0	4	3
TCGA-A2-A04R-01	7	1	10	10	32	2	0	8	32
TCGA-A2-A04U-01	1	0	9	4	17	31	0	5	0
TCGA-A2-A04W-01	56	38	9	42	0	31	0	11	0
TCGA-A2-A0CK-01	0	4	12	3	1	3	1	2	1
TCGA-A2-A0CL-01	70	62	21	19	0	26	0	2	0
TCGA-A2-A0CR-01	82	94	5	18	0	4	1	6	0
TCGA-A2-A0CS-01	0	1	17	0	2	8	11	4	5
TCGA-A2-A0CV-01	2	0	11	2	2	0	1	2	4
TCGA-A2-A0CW-01	12	18	16	3	11	4	0	0	20
TCGA-A2-A0D3-01	0	2	22	0	0	0	2	0	6
