Signatures,Stability (Avg Silhouette),Minimum Stability,Considerable Solution,P-value,Matrix Frobenius%,Mean Sample L1%,Maximum Sample L1%,Mean Sample L2%,Maximum Sample L2%,Mean Sample KL,Maximum Sample KL,Mean Cosine Distance,Max Cosine Distance,Mean Correlation,Minimum Correlation
1,1.0,1.0,NO,N/A,58.88%,107.61%,192.8%,85.8%,122.16,0.9691,3.4812,0.365,0.926,0.531,-0.066
2,1.0,1.0,YES,1.13e-12,19.34%,96.55%,187.27%,65.77%,101.16,0.812,3.6474,0.232,0.836,0.694,0.004
3*,0.97,0.91,YES,9.91e-02,18.12%,91.59%,187.9%,61.52%,97.82,0.7869,3.2484,0.216,0.779,0.706,0.012
4,0.86,0.67,YES,Most Stab Sigs,14.06%,88.38%,186.33%,60.27%,98.38,0.7742,3.3323,0.207,0.789,0.718,0.048
5,0.73,0.15,NO,N/A,19.19%,85.52%,182.4%,58.65%,96.7,0.7523,3.0096,0.196,0.742,0.734,0.081
6,0.67,0.0,NO,N/A,13.18%,84.89%,180.4%,58.24%,96.42,0.7358,2.9477,0.191,0.733,0.741,0.099
7,0.56,-0.16,NO,N/A,11.6%,84.39%,180.82%,57.68%,95.8,0.7273,3.3528,0.185,0.712,0.751,0.144
8,0.49,-0.11,NO,N/A,10.97%,82.96%,180.82%,56.63%,96.13,0.7121,3.0014,0.178,0.7,0.76,0.18
9,0.42,-0.14,NO,N/A,12.32%,82.18%,180.7%,55.18%,95.08,0.7082,3.069,0.171,0.69,0.77,0.182
10,0.4,-0.16,NO,N/A,12.99%,81.55%,183.63%,53.86%,96.48,0.6989,2.8482,0.163,0.734,0.782,0.201
