Samples	SBS96A	SBS96B	SBS96C	SBS96D
TCGA-3C-AAAU-01	4	3	22	16
TCGA-3C-AALI-01	651	78	64	15
TCGA-3C-AALJ-01	9	30	20	7
TCGA-3C-AALK-01	10	17	25	12
TCGA-4H-AAAK-01	0	4	20	9
TCGA-5L-AAT0-01	208	0	71	0
TCGA-5L-AAT1-01	1800	0	186	0
TCGA-5T-A9QA-01	0	8	33	12
TCGA-A1-A0SB-01	0	1	7	8
TCGA-A1-A0SD-01	0	9	25	6
TCGA-A1-A0SE-01	8	11	14	3
TCGA-A1-A0SF-01	43	0	21	0
TCGA-A1-A0SG-01	2	6	27	0
TCGA-A1-A0SH-01	81	36	13	8
TCGA-A1-A0SI-01	239	21	2	16
TCGA-A1-A0SJ-01	8	5	16	11
TCGA-A1-A0SK-01	0	49	33	2
TCGA-A1-A0SM-01	0	8	19	5
TCGA-A1-A0SN-01	24	23	25	4
TCGA-A1-A0SO-01	25	264	31	33
TCGA-A1-A0SP-01	1	32	23	14
TCGA-A2-A04N-01	6	16	29	2
TCGA-A2-A04R-01	8	67	15	12
TCGA-A2-A04U-01	1	31	28	7
TCGA-A2-A04W-01	125	15	34	13
TCGA-A2-A0CK-01	2	0	21	4
TCGA-A2-A0CL-01	152	0	37	11
TCGA-A2-A0CR-01	195	0	12	3
TCGA-A2-A0CS-01	0	12	22	14
TCGA-A2-A0CV-01	0	4	15	5
TCGA-A2-A0CW-01	28	26	30	0
TCGA-A2-A0D3-01	0	0	28	4
TCGA-A2-A0EN-01	0	14	22	3
TCGA-A2-A0EP-01	6	5	0	5
TCGA-A2-A0ES-01	0	9	9	1
TCGA-A2-A0EW-01	1	5	6	8
TCGA-A2-A0ST-01	4	6	11	7
TCGA-A2-A0SU-01	2	16	8	9
TCGA-A2-A0SX-01	8	12	9	12
TCGA-A2-A0SY-01	129	14	34	0
TCGA-A2-A0T0-01	25	134	1	57
TCGA-A2-A0T1-01	0	5	17	10
