Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E
TCGA-3C-AAAU-01	6	2	5	19	13
TCGA-3C-AALI-01	317	439	0	52	0
TCGA-3C-AALJ-01	0	12	29	21	4
TCGA-3C-AALK-01	8	7	15	24	10
TCGA-4H-AAAK-01	2	0	6	17	8
TCGA-5L-AAT0-01	173	86	0	20	0
TCGA-5L-AAT1-01	1095	891	0	0	0
TCGA-5T-A9QA-01	3	0	10	32	8
TCGA-A1-A0SB-01	1	0	1	6	8
TCGA-A1-A0SD-01	2	2	10	23	3
TCGA-A1-A0SE-01	12	0	11	6	7
TCGA-A1-A0SF-01	49	7	0	4	4
TCGA-A1-A0SG-01	6	1	7	20	1
TCGA-A1-A0SH-01	55	42	27	4	10
TCGA-A1-A0SI-01	105	162	0	6	5
TCGA-A1-A0SJ-01	5	6	4	18	7
TCGA-A1-A0SK-01	2	2	50	30	0
TCGA-A1-A0SM-01	2	0	9	16	5
TCGA-A1-A0SN-01	8	22	19	26	1
TCGA-A1-A0SO-01	21	17	254	29	32
TCGA-A1-A0SP-01	5	0	34	19	12
TCGA-A2-A04N-01	11	1	16	22	3
TCGA-A2-A04R-01	4	8	65	15	10
TCGA-A2-A04U-01	1	4	31	26	5
TCGA-A2-A04W-01	64	82	3	25	13
TCGA-A2-A0CK-01	6	0	0	18	3
TCGA-A2-A0CL-01	76	93	0	30	1
TCGA-A2-A0CR-01	114	96	0	0	0
TCGA-A2-A0CS-01	0	0	14	25	9
TCGA-A2-A0CV-01	0	2	4	15	3
TCGA-A2-A0CW-01	24	15	22	23	0
TCGA-A2-A0D3-01	1	0	0	31	0
TCGA-A2-A0EN-01	4	0	14	17	4
TCGA-A2-A0EP-01	2	5	4	0	5
TCGA-A2-A0ES-01	1	0	9	7	2
TCGA-A2-A0EW-01	1	1	5	6	7
TCGA-A2-A0ST-01	3	3	6	10	6
TCGA-A2-A0SU-01	1	2	17	9	6
TCGA-A2-A0SX-01	6	5	10	10	10
TCGA-A2-A0SY-01	65	87	0	25	0
TCGA-A2-A0T0-01	10	18	128	9	52
TCGA-A2-A0T1-01	3	0	5	15	9
TCGA-A2-A0T3-01	1	1	22	19	1
TCGA-A2-A0T4-01	2	8	11	11	9
TCGA-A2-A0T5-01	2	0	1	9	1
TCGA-A2-A0T6-01	4	0	0	23	1
TCGA-A2-A0T7-01	5	0	5	17	2
TCGA-A2-A0YC-01	5	2	12	11	2
TCGA-A2-A0YD-01	38	26	0	23	0
TCGA-A2-A0YE-01	12	1	9	19	2
TCGA-A2-A0YF-01	4	0	20	13	2
TCGA-A2-A0YG-01	16	0	27	25	10
TCGA-A2-A0YH-01	21	36	20	21	2
TCGA-A2-A0YI-01	1	2	8	5	2
TCGA-A2-A0YJ-01	0	7	42	35	14
TCGA-A2-A0YK-01	207	271	0	0	0
TCGA-A2-A0YL-01	19	15	1	5	3
TCGA-A2-A0YM-01	24	25	11	38	11
TCGA-A2-A0YT-01	30	2	11	31	7
TCGA-A2-A1FV-01	13	0	10	21	6
TCGA-A2-A1FW-01	4	7	34	41	9
TCGA-A2-A1FX-01	2	0	15	11	0
TCGA-A2-A1FZ-01	1	1	6	10	11
TCGA-A2-A1G0-01	5	0	13	5	0
TCGA-A2-A1G1-01	6	0	21	9	3
TCGA-A2-A1G6-01	0	1	4	2	3
TCGA-A2-A259-01	8	1	11	9	0
TCGA-A2-A25A-01	62	40	12	7	8
TCGA-A2-A25B-01	14	3	76	21	14
TCGA-A2-A25C-01	4	1	24	0	10
TCGA-A2-A25D-01	8	5	27	12	12
TCGA-A2-A25E-01	9	2	29	5	16
TCGA-A2-A25F-01	0	0	6	0	0
TCGA-A2-A3KD-01	3	0	1	10	4
TCGA-A2-A3XT-01	0	32	64	5	21
TCGA-A2-A3XU-01	1	0	6	16	8
TCGA-A2-A3XV-01	1	0	19	15	13
TCGA-A2-A3XW-01	4	0	4	6	3
TCGA-A2-A3XX-01	6	1	20	18	7
TCGA-A2-A3XZ-01	11	18	3	18	2
TCGA-A2-A3Y0-01	0	51	123	25	44
TCGA-A2-A4S1-01	4	5	51	22	16
TCGA-A2-A4S2-01	9	1	12	9	12
TCGA-A2-A4S3-01	11	11	39	26	20
TCGA-A7-A0CE-01	8	2	31	7	13
TCGA-A7-A0CH-01	2	0	10	5	0
TCGA-A7-A0D9-01	4	2	1	3	2
TCGA-A7-A0DA-01	11	12	132	19	13
TCGA-A7-A0DB-01	14	12	5	14	8
TCGA-A7-A13D-01	5	16	84	27	8
TCGA-A7-A13E-01	0	6	9	54	11
TCGA-A7-A13F-01	3	5	5	27	5
TCGA-A7-A13G-01	10	3	4	8	7
TCGA-A7-A26E-01	31	4	0	28	4
TCGA-A7-A26F-01	7	1	15	23	0
TCGA-A7-A26G-01	10	11	32	8	7
TCGA-A7-A26H-01	41	61	8	40	0
TCGA-A7-A26I-01	9	3	21	8	5
TCGA-A7-A26J-01	4	2	26	10	0
TCGA-A7-A2KD-01	10	3	12	26	4
TCGA-A7-A3RF-01	3	1	16	10	10
TCGA-A7-A425-01	0	0	11	19	3
TCGA-A7-A4SC-01	5	0	15	18	0
TCGA-A7-A4SD-01	0	2	12	40	8
TCGA-A7-A4SE-01	12	35	74	3	22
TCGA-A7-A56D-01	91	59	22	42	11
TCGA-A7-A5ZV-01	4	35	149	48	32
TCGA-A7-A5ZW-01	6	10	0	9	11
TCGA-A7-A5ZX-01	11	0	16	10	5
TCGA-A7-A6VV-01	0	10	23	25	6
TCGA-A7-A6VW-01	6	6	48	15	17
TCGA-A7-A6VX-01	44	16	84	8	25
TCGA-A7-A6VY-01	11	16	74	13	22
TCGA-A8-A075-01	25	12	46	13	4
TCGA-AC-A23C-01	48	28	32	9	28
TCGA-AC-A23E-01	0	0	9	15	0
TCGA-AC-A23H-01	2693	3685	0	0	0
TCGA-AC-A2B8-01	62	53	0	9	4
TCGA-AC-A2BK-01	0	5	49	35	21
TCGA-AC-A2BM-01	0	3	10	8	5
TCGA-AC-A2FB-01	7	0	3	3	4
TCGA-AC-A2FF-01	4	3	3	1	0
TCGA-AC-A2FG-01	12	3	5	14	5
TCGA-AC-A2FK-01	2	0	1	0	0
TCGA-AC-A2FO-01	14	5	5	3	0
TCGA-AC-A2QH-01	1	3	3	13	7
TCGA-AC-A3HN-01	2	2	4	8	6
TCGA-AC-A3OD-01	14	0	5	14	6
TCGA-AC-A3QP-01	1	1	20	7	6
TCGA-AC-A3QQ-01	1	1	11	20	3
TCGA-AC-A3W5-01	24	52	92	27	16
TCGA-AC-A3YI-01	2	0	6	6	4
TCGA-AC-A3YJ-01	7	1	7	19	4
TCGA-AC-A4ZE-01	13	1	24	19	17
TCGA-AC-A5EH-01	19	17	118	22	29
TCGA-AC-A5EI-01	17	1	4	15	6
TCGA-AC-A5XS-01	365	345	0	5	0
TCGA-AC-A5XU-01	21	8	13	59	12
TCGA-AC-A62V-01	2	8	28	52	16
TCGA-AC-A62X-01	0	4	13	61	9
TCGA-AC-A62Y-01	17	21	13	21	17
TCGA-AC-A6IV-01	3	0	7	15	2
TCGA-AC-A6IW-01	30	79	60	44	18
TCGA-AC-A6IX-01	34	11	0	11	15
TCGA-AC-A6NO-01	5	1	6	19	12
TCGA-AC-A7VB-01	0	0	4	22	9
TCGA-AC-A7VC-01	1	0	7	15	3
TCGA-AC-A8OP-01	18	19	95	68	44
TCGA-AC-A8OQ-01	28	6	37	53	13
TCGA-AC-A8OR-01	0	0	14	12	6
TCGA-AC-A8OS-01	21	7	21	15	15
TCGA-AN-A0XL-01	4	0	14	16	6
TCGA-AN-A0XN-01	4	17	101	17	36
TCGA-AN-A0XO-01	16	3	6	8	10
TCGA-AN-A0XP-01	5	5	8	6	10
TCGA-AN-A0XR-01	5	3	18	11	1
TCGA-AN-A0XS-01	10	1	9	9	3
TCGA-AN-A0XT-01	0	1	3	16	2
TCGA-AN-A0XU-01	3	18	86	20	10
TCGA-AN-A0XV-01	0	7	11	15	11
TCGA-AN-A0XW-01	157	266	0	0	0
TCGA-AO-A03M-01	437	713	0	0	0
TCGA-AO-A03N-01	55	50	0	19	10
TCGA-AO-A03U-01	1	2	2	0	0
TCGA-AO-A03V-01	16	12	25	16	3
TCGA-AO-A0JG-01	3	0	14	0	4
TCGA-AO-A124-01	7	8	119	26	18
TCGA-AO-A125-01	5	2	12	22	4
TCGA-AO-A126-01	7	0	5	13	0
TCGA-AO-A128-01	0	22	0	429	759
TCGA-AO-A129-01	14	27	64	13	26
TCGA-AO-A12A-01	6	1	0	9	3
TCGA-AO-A12B-01	0	0	6	13	4
TCGA-AO-A12D-01	38	11	5	19	0
TCGA-AO-A12E-01	3	1	8	21	0
TCGA-AO-A12F-01	0	0	10	23	7
TCGA-AO-A12G-01	6	6	4	18	8
TCGA-AO-A12H-01	2	0	7	17	4
TCGA-AO-A1KO-01	1	0	5	0	4
TCGA-AO-A1KR-01	6	10	46	16	11
TCGA-AO-A1KT-01	6	0	11	17	17
TCGA-AQ-A04H-01	0	6	9	55	11
TCGA-AQ-A0Y5-01	13	14	6	32	5
TCGA-AQ-A1H2-01	3	0	7	18	6
TCGA-AQ-A1H3-01	0	0	0	26	1
TCGA-AQ-A54O-01	5	0	7	10	3
TCGA-AQ-A7U7-01	41	35	0	11	9
TCGA-AR-A0TP-01	5	5	43	2	16
TCGA-AR-A0TQ-01	19	2	12	12	4
TCGA-AR-A0TR-01	4	1	7	18	12
TCGA-AR-A0TS-01	5	10	47	21	7
TCGA-AR-A0TT-01	14	8	16	24	13
TCGA-AR-A0TU-01	2	11	51	15	11
TCGA-AR-A0TV-01	6	4	30	31	8
TCGA-AR-A0TW-01	2	4	27	28	6
TCGA-AR-A0TX-01	192	214	0	1	0
TCGA-AR-A0TZ-01	17	18	7	22	3
TCGA-AR-A0U0-01	3	10	22	12	3
TCGA-AR-A0U1-01	0	15	68	3	23
TCGA-AR-A0U2-01	0	0	15	27	14
TCGA-AR-A0U3-01	2	0	12	20	6
TCGA-AR-A0U4-01	14	52	108	13	14
TCGA-AR-A1AH-01	2	9	63	12	34
TCGA-AR-A1AI-01	7	19	24	30	9
