Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F
TCGA-3C-AAAU-01	6	1	18	9	11	0
TCGA-3C-AALI-01	313	411	49	29	6	0
TCGA-3C-AALJ-01	0	11	11	0	3	41
TCGA-3C-AALK-01	7	7	18	4	8	20
TCGA-4H-AAAK-01	1	0	13	0	6	13
TCGA-5L-AAT0-01	138	74	10	0	0	57
TCGA-5L-AAT1-01	1057	874	11	0	0	44
TCGA-5T-A9QA-01	2	0	26	2	7	16
TCGA-A1-A0SB-01	1	0	5	0	6	4
TCGA-A1-A0SD-01	1	2	17	0	2	18
TCGA-A1-A0SE-01	8	0	2	0	5	21
TCGA-A1-A0SF-01	46	7	6	1	4	0
TCGA-A1-A0SG-01	4	1	13	0	1	16
TCGA-A1-A0SH-01	48	39	5	30	9	7
TCGA-A1-A0SI-01	105	152	5	0	7	9
TCGA-A1-A0SJ-01	5	6	17	7	5	0
TCGA-A1-A0SK-01	1	3	22	29	0	29
TCGA-A1-A0SM-01	2	0	11	0	5	14
TCGA-A1-A0SN-01	9	21	19	10	1	16
TCGA-A1-A0SO-01	14	18	16	196	26	83
TCGA-A1-A0SP-01	4	0	17	33	10	6
TCGA-A2-A04N-01	9	1	15	1	4	23
TCGA-A2-A04R-01	3	8	10	43	9	29
TCGA-A2-A04U-01	1	4	20	25	4	13
TCGA-A2-A04W-01	60	74	20	5	13	15
TCGA-A2-A0CK-01	5	0	17	0	2	3
TCGA-A2-A0CL-01	78	90	30	0	2	0
TCGA-A2-A0CR-01	111	94	0	0	5	0
TCGA-A2-A0CS-01	0	0	20	2	8	18
TCGA-A2-A0CV-01	0	2	13	6	3	0
TCGA-A2-A0CW-01	21	14	18	17	0	14
TCGA-A2-A0D3-01	2	0	27	1	0	2
TCGA-A2-A0EN-01	2	0	10	0	2	25
TCGA-A2-A0EP-01	2	4	0	0	5	5
TCGA-A2-A0ES-01	0	0	4	0	1	14
TCGA-A2-A0EW-01	1	1	6	6	6	0
TCGA-A2-A0ST-01	3	3	8	0	5	9
TCGA-A2-A0SU-01	1	2	9	18	5	0
