Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G
TCGA-3C-AAAU-01	4	1	18	6	6	10	0
TCGA-3C-AALI-01	291	365	42	0	66	2	42
TCGA-3C-AALJ-01	0	10	7	0	16	2	31
TCGA-3C-AALK-01	7	6	16	4	3	7	21
TCGA-4H-AAAK-01	1	0	9	0	0	5	18
TCGA-5L-AAT0-01	99	56	6	0	118	0	0
TCGA-5L-AAT1-01	886	725	14	0	361	0	0
TCGA-5T-A9QA-01	1	0	27	5	12	7	1
TCGA-A1-A0SB-01	1	0	4	0	0	5	6
TCGA-A1-A0SD-01	2	1	12	0	0	1	24
TCGA-A1-A0SE-01	5	0	2	0	22	5	2
TCGA-A1-A0SF-01	36	5	7	0	13	3	0
TCGA-A1-A0SG-01	2	1	10	0	8	0	14
TCGA-A1-A0SH-01	43	34	5	16	32	8	0
TCGA-A1-A0SI-01	94	131	6	0	43	4	0
TCGA-A1-A0SJ-01	5	5	17	8	0	5	0
TCGA-A1-A0SK-01	2	3	15	24	0	0	40
TCGA-A1-A0SM-01	0	0	11	0	14	6	1
TCGA-A1-A0SN-01	8	18	18	9	17	2	4
TCGA-A1-A0SO-01	12	19	6	167	32	22	95
TCGA-A1-A0SP-01	1	0	15	24	21	9	0
TCGA-A2-A04N-01	7	1	12	3	4	3	23
TCGA-A2-A04R-01	2	8	7	37	18	8	22
TCGA-A2-A04U-01	0	3	16	17	11	4	16
TCGA-A2-A04W-01	45	59	15	0	59	9	0
TCGA-A2-A0CK-01	5	0	14	0	0	2	6
TCGA-A2-A0CL-01	77	83	32	0	5	3	0
TCGA-A2-A0CR-01	110	88	5	0	0	7	0
TCGA-A2-A0CS-01	1	0	17	1	0	6	23
TCGA-A2-A0CV-01	0	2	13	4	3	2	0
TCGA-A2-A0CW-01	20	13	16	14	0	0	21
TCGA-A2-A0D3-01	2	0	25	2	3	0	0
TCGA-A2-A0EN-01	2	0	6	0	0	1	30
TCGA-A2-A0EP-01	2	4	0	0	3	4	3
TCGA-A2-A0ES-01	0	0	3	0	7	1	8
TCGA-A2-A0EW-01	0	1	5	5	2	7	0
TCGA-A2-A0ST-01	3	3	6	0	0	4	12
TCGA-A2-A0SU-01	1	2	9	18	0	5	0
TCGA-A2-A0SX-01	4	4	9	1	14	9	0
TCGA-A2-A0SY-01	54	69	18	0	36	0	0
TCGA-A2-A0T0-01	10	17	12	119	13	46	0
TCGA-A2-A0T1-01	1	0	7	0	0	5	19
TCGA-A2-A0T3-01	0	1	15	12	15	1	0
TCGA-A2-A0T4-01	3	7	10	14	0	7	0
TCGA-A2-A0T5-01	2	0	7	2	0	0	2
TCGA-A2-A0T6-01	4	0	19	2	0	0	3
TCGA-A2-A0T7-01	4	0	14	7	0	2	2
TCGA-A2-A0YC-01	5	2	10	13	0	2	0
TCGA-A2-A0YD-01	30	21	16	0	10	0	10
TCGA-A2-A0YE-01	8	1	16	4	12	2	0
TCGA-A2-A0YF-01	1	0	7	0	18	2	11
TCGA-A2-A0YG-01	10	0	16	11	12	8	21
TCGA-A2-A0YH-01	19	30	11	1	8	0	31
TCGA-A2-A0YI-01	0	1	1	0	7	1	8
TCGA-A2-A0YJ-01	1	7	30	43	0	11	6
TCGA-A2-A0YK-01	215	249	7	0	3	1	3
TCGA-A2-A0YL-01	16	12	3	0	0	2	10
TCGA-A2-A0YM-01	18	20	31	5	26	9	0
TCGA-A2-A0YT-01	20	1	25	12	18	5	0
TCGA-A2-A1FV-01	10	0	15	6	0	4	15
TCGA-A2-A1FW-01	0	5	24	0	38	7	21
TCGA-A2-A1FX-01	0	0	8	5	15	0	0
TCGA-A2-A1FZ-01	0	1	7	0	2	8	11
TCGA-A2-A1G0-01	3	0	0	0	0	0	20
TCGA-A2-A1G1-01	4	0	4	9	0	1	21
TCGA-A2-A1G6-01	0	1	2	4	0	2	1
TCGA-A2-A259-01	3	0	5	1	17	0	3
TCGA-A2-A25A-01	50	34	11	23	6	5	0
TCGA-A2-A25B-01	4	2	14	47	49	12	0
TCGA-A2-A25C-01	1	1	0	8	16	10	3
TCGA-A2-A25D-01	6	5	4	4	1	8	36
TCGA-A2-A25E-01	7	2	4	25	0	12	11
TCGA-A2-A25F-01	0	0	0	4	0	0	2
TCGA-A2-A3KD-01	2	0	6	0	0	2	8
TCGA-A2-A3XT-01	2	30	2	46	0	17	25
TCGA-A2-A3XU-01	1	0	14	9	0	7	0
TCGA-A2-A3XV-01	0	0	8	3	7	10	20
TCGA-A2-A3XW-01	3	0	5	4	2	3	0
TCGA-A2-A3XX-01	5	1	14	20	0	5	7
TCGA-A2-A3XZ-01	10	15	14	2	8	2	1
TCGA-A2-A3Y0-01	9	46	22	113	0	39	14
TCGA-A2-A4S1-01	4	5	21	41	6	15	6
TCGA-A2-A4S2-01	7	0	5	0	0	8	23
TCGA-A2-A4S3-01	7	9	19	23	16	15	18
TCGA-A7-A0CE-01	4	2	5	23	17	10	0
TCGA-A7-A0CH-01	0	0	3	3	10	1	0
TCGA-A7-A0D9-01	2	1	2	0	6	1	0
TCGA-A7-A0DA-01	10	13	12	115	0	10	27
TCGA-A7-A0DB-01	12	10	11	0	0	5	15
TCGA-A7-A13D-01	5	14	21	82	11	7	0
TCGA-A7-A13E-01	0	6	44	7	7	7	9
TCGA-A7-A13F-01	0	3	19	0	18	4	1
TCGA-A7-A13G-01	8	2	9	9	0	4	0
TCGA-A7-A26E-01	21	2	18	0	0	2	24
TCGA-A7-A26F-01	4	1	10	0	0	0	31
TCGA-A7-A26G-01	9	9	7	29	7	7	0
TCGA-A7-A26H-01	37	50	30	0	22	0	11
TCGA-A7-A26I-01	6	2	5	14	9	5	5
TCGA-A7-A26J-01	1	2	3	3	15	0	18
TCGA-A7-A2KD-01	8	2	23	14	5	3	0
TCGA-A7-A3RF-01	2	1	3	0	0	5	29
TCGA-A7-A425-01	0	0	11	0	1	0	21
TCGA-A7-A4SC-01	2	0	13	2	20	1	0
TCGA-A7-A4SD-01	1	2	33	12	0	7	7
TCGA-A7-A4SE-01	14	32	1	57	0	17	25
TCGA-A7-A56D-01	71	47	39	24	37	7	0
TCGA-A7-A5ZV-01	7	32	39	131	22	29	8
TCGA-A7-A5ZW-01	5	7	6	0	0	8	10
TCGA-A7-A5ZX-01	6	0	7	10	13	5	1
TCGA-A7-A6VV-01	1	9	17	13	5	5	14
TCGA-A7-A6VW-01	5	5	6	28	0	13	35
TCGA-A7-A6VX-01	31	13	4	58	23	19	29
TCGA-A7-A6VY-01	7	14	11	68	18	18	0
TCGA-A8-A075-01	18	11	9	29	16	2	15
TCGA-AC-A23C-01	37	23	11	26	24	24	0
TCGA-AC-A23E-01	0	0	12	8	4	0	0
TCGA-AC-A23H-01	2843	3357	0	0	141	37	0
TCGA-AC-A2B8-01	55	44	8	0	0	1	20
TCGA-AC-A2BK-01	0	5	31	49	8	17	0
TCGA-AC-A2BM-01	0	3	7	8	0	4	4
TCGA-AC-A2FB-01	4	0	3	3	0	4	3
TCGA-AC-A2FF-01	1	2	0	0	8	0	0
TCGA-AC-A2FG-01	8	2	7	0	0	2	20
TCGA-AC-A2FK-01	1	0	0	0	1	0	1
TCGA-AC-A2FO-01	9	4	1	0	5	0	8
TCGA-AC-A2QH-01	2	2	13	5	0	5	0
TCGA-AC-A3HN-01	2	2	7	6	0	5	0
TCGA-AC-A3OD-01	9	0	10	2	2	4	12
TCGA-AC-A3QP-01	0	1	0	0	0	5	29
TCGA-AC-A3QQ-01	0	1	17	8	8	2	0
TCGA-AC-A3W5-01	26	46	25	100	1	13	0
TCGA-AC-A3YI-01	1	0	4	2	7	4	0
TCGA-AC-A3YJ-01	4	1	15	0	10	4	4
TCGA-AC-A4ZE-01	9	1	14	15	0	13	22
TCGA-AC-A5EH-01	13	16	13	80	24	24	35
TCGA-AC-A5EI-01	12	1	10	0	0	4	16
TCGA-AC-A5XS-01	255	250	0	0	210	0	0
TCGA-AC-A5XU-01	13	5	50	2	35	8	0
TCGA-AC-A62V-01	2	6	45	26	16	11	0
TCGA-AC-A62X-01	0	4	53	6	17	7	0
TCGA-AC-A62Y-01	15	18	16	6	0	13	21
TCGA-AC-A6IV-01	1	0	5	0	1	0	20
TCGA-AC-A6IW-01	29	65	34	35	53	15	0
TCGA-AC-A6IX-01	27	8	14	8	0	13	1
TCGA-AC-A6NO-01	2	1	10	0	7	7	16
TCGA-AC-A7VB-01	0	0	17	0	0	6	12
TCGA-AC-A7VC-01	0	0	9	0	4	2	11
TCGA-AC-A8OP-01	10	16	55	67	57	39	0
TCGA-AC-A8OQ-01	20	5	28	1	0	5	78
TCGA-AC-A8OR-01	1	0	11	15	0	5	0
TCGA-AC-A8OS-01	16	5	10	14	0	11	23
TCGA-AN-A0XL-01	0	0	8	0	20	5	7
TCGA-AN-A0XN-01	1	16	8	59	27	30	34
TCGA-AN-A0XO-01	10	2	5	1	10	9	6
TCGA-AN-A0XP-01	5	4	7	8	0	10	0
TCGA-AN-A0XR-01	5	3	6	7	0	0	17
TCGA-AN-A0XS-01	8	0	5	2	0	2	15
TCGA-AN-A0XT-01	0	1	11	0	0	1	9
TCGA-AN-A0XU-01	5	17	4	38	0	6	67
TCGA-AN-A0XV-01	0	5	11	4	15	9	0
TCGA-AN-A0XW-01	179	242	0	0	0	2	0
TCGA-AO-A03M-01	454	630	0	0	66	0	0
TCGA-AO-A03N-01	41	39	17	0	31	6	0
TCGA-AO-A03U-01	0	2	0	0	3	0	0
TCGA-AO-A03V-01	6	8	7	0	47	2	2
TCGA-AO-A0JG-01	1	0	0	8	8	4	0
TCGA-AO-A124-01	2	8	16	84	35	15	18
TCGA-AO-A125-01	5	2	18	15	0	3	2
TCGA-AO-A126-01	4	0	4	0	0	0	17
TCGA-AO-A128-01	17	19	471	0	0	703	0
TCGA-AO-A129-01	14	23	6	39	0	20	42
TCGA-AO-A12A-01	6	0	10	1	0	2	0
TCGA-AO-A12B-01	1	0	12	8	0	2	0
TCGA-AO-A12D-01	24	7	12	0	30	0	0
TCGA-AO-A12E-01	2	1	16	7	7	0	0
TCGA-AO-A12F-01	0	0	21	14	0	5	0
TCGA-AO-A12G-01	4	4	11	0	0	4	19
TCGA-AO-A12H-01	1	0	8	0	2	2	17
TCGA-AO-A1KO-01	0	0	0	3	0	4	3
TCGA-AO-A1KR-01	7	9	12	41	0	9	11
TCGA-AO-A1KT-01	5	0	15	12	0	15	4
TCGA-AQ-A04H-01	3	5	45	4	0	8	16
TCGA-AQ-A0Y5-01	12	11	29	14	0	4	0
TCGA-AQ-A1H2-01	3	0	13	3	0	4	11
TCGA-AQ-A1H3-01	0	0	24	3	0	0	0
TCGA-AQ-A54O-01	4	0	9	10	0	2	0
TCGA-AQ-A7U7-01	37	30	11	0	0	7	11
TCGA-AR-A0TP-01	4	5	0	32	0	13	17
TCGA-AR-A0TQ-01	13	1	11	9	12	3	0
TCGA-AR-A0TR-01	2	0	14	2	13	11	0
TCGA-AR-A0TS-01	6	10	19	43	5	7	0
TCGA-AR-A0TT-01	12	6	21	20	0	11	5
TCGA-AR-A0TU-01	3	10	12	45	0	7	13
TCGA-AR-A0TV-01	4	4	17	2	4	4	44
TCGA-AR-A0TW-01	1	3	21	13	9	4	16
TCGA-AR-A0TX-01	186	188	11	0	9	0	13
TCGA-AR-A0TZ-01	14	15	14	0	2	2	20
TCGA-AR-A0U0-01	1	8	8	9	19	2	3
TCGA-AR-A0U1-01	0	14	2	45	24	23	1
TCGA-AR-A0U2-01	0	0	22	8	7	11	8
TCGA-AR-A0U3-01	0	0	13	0	22	5	0
TCGA-AR-A0U4-01	14	47	9	80	38	13	0
TCGA-AR-A1AH-01	2	9	8	39	5	28	29
TCGA-AR-A1AI-01	2	14	18	0	43	8	4
TCGA-AR-A1AJ-01	19	9	15	0	0	4	6
TCGA-AR-A1AK-01	18	20	15	0	15	0	14
TCGA-AR-A1AL-01	5	3	6	3	4	9	0
TCGA-AR-A1AN-01	1	4	16	0	0	2	8
TCGA-AR-A1AO-01	13	16	15	52	21	5	0
TCGA-AR-A1AP-01	4	5	20	0	20	2	0
TCGA-AR-A1AQ-01	2	2	11	17	1	8	0
TCGA-AR-A1AR-01	3	8	16	25	1	3	7
TCGA-AR-A1AS-01	14	2	7	8	0	7	3
TCGA-AR-A1AT-01	1	1	9	18	0	3	0
TCGA-AR-A1AU-01	0	1	10	2	9	4	0
TCGA-AR-A1AV-01	3	1	20	0	19	5	1
