Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H
TCGA-3C-AAAU-01	4	1	16	5	9	10	0	0
TCGA-3C-AALI-01	262	353	17	154	14	8	0	0
TCGA-3C-AALJ-01	0	9	5	13	0	0	36	3
TCGA-3C-AALK-01	7	6	15	0	0	5	20	11
TCGA-4H-AAAK-01	0	0	7	12	0	5	9	0
TCGA-5L-AAT0-01	98	62	0	119	0	0	0	0
TCGA-5L-AAT1-01	847	724	0	369	0	0	0	46
TCGA-5T-A9QA-01	3	0	22	0	1	4	18	5
TCGA-A1-A0SB-01	0	0	4	3	0	5	4	0
TCGA-A1-A0SD-01	2	1	11	1	0	0	25	0
TCGA-A1-A0SE-01	4	0	0	15	0	5	4	8
TCGA-A1-A0SF-01	36	6	7	5	0	2	0	8
TCGA-A1-A0SG-01	0	0	7	20	0	1	7	0
TCGA-A1-A0SH-01	44	32	8	0	8	5	0	41
TCGA-A1-A0SI-01	90	133	0	50	0	5	0	0
TCGA-A1-A0SJ-01	5	5	17	0	8	3	0	2
TCGA-A1-A0SK-01	1	2	14	6	24	0	33	4
TCGA-A1-A0SM-01	0	0	8	12	1	6	0	5
TCGA-A1-A0SN-01	5	18	13	22	13	2	3	0
TCGA-A1-A0SO-01	14	15	15	5	103	20	29	152
TCGA-A1-A0SP-01	3	0	15	6	28	7	6	5
TCGA-A2-A04N-01	5	0	9	17	4	3	15	0
TCGA-A2-A04R-01	2	7	10	7	21	8	0	47
TCGA-A2-A04U-01	0	2	13	16	23	5	8	0
TCGA-A2-A04W-01	40	59	4	70	2	12	0	0
TCGA-A2-A0CK-01	5	0	14	0	0	1	7	0
TCGA-A2-A0CL-01	70	78	25	25	0	2	0	0
TCGA-A2-A0CR-01	105	84	4	0	0	3	14	0
TCGA-A2-A0CS-01	1	0	17	0	0	4	24	2
TCGA-A2-A0CV-01	0	2	11	5	4	2	0	0
TCGA-A2-A0CW-01	20	12	17	0	7	0	4	24
TCGA-A2-A0D3-01	2	0	23	0	0	0	0	7
TCGA-A2-A0EN-01	1	0	5	5	0	1	27	0
TCGA-A2-A0EP-01	2	4	0	1	0	4	5	0
TCGA-A2-A0ES-01	0	0	1	5	0	0	13	0
TCGA-A2-A0EW-01	0	1	5	3	5	6	0	0
TCGA-A2-A0ST-01	2	2	6	3	0	4	11	0
TCGA-A2-A0SU-01	1	1	8	0	13	4	0	8
TCGA-A2-A0SX-01	5	3	9	0	0	5	0	19
TCGA-A2-A0SY-01	49	70	9	49	0	0	0	0
TCGA-A2-A0T0-01	11	16	13	1	97	42	0	37
TCGA-A2-A0T1-01	0	0	6	8	0	5	13	0
TCGA-A2-A0T3-01	1	1	13	0	0	0	0	29
TCGA-A2-A0T4-01	4	7	11	0	13	6	0	0
