NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	62.522	96.649	10.901	63.947	0.911	0.672	80000.0
2	62.251	95.829	10.901	63.056	0.903	0.681	60000.0
3	62.967	97.264	11.024	64.201	0.91	0.666	50000.0
4	63.044	96.943	11.084	64.065	0.911	0.671	30000.0
5	63.553	97.849	11.232	64.834	0.909	0.658	60000.0
6	63.548	97.984	11.255	64.907	0.907	0.661	40000.0
7	64.009	98.086	11.336	64.975	0.915	0.658	40000.0
8	62.148	96.315	10.76	63.696	0.915	0.668	40000.0
9	63.602	97.828	11.081	64.317	0.909	0.664	30000.0
10	62.987	96.292	10.954	63.464	0.91	0.674	50000.0
11	62.423	96.156	10.823	63.328	0.907	0.678	80000.0
12	63.069	96.937	10.977	64.117	0.917	0.666	40000.0
13	62.836	96.887	11.006	63.929	0.91	0.672	80000.0
14	62.625	97.058	10.969	64.336	0.918	0.665	40000.0
15	62.161	96.204	10.885	63.663	0.899	0.677	30000.0
16	62.576	96.645	10.94	63.85	0.915	0.669	40000.0
17	63.908	97.665	11.389	64.86	0.903	0.661	40000.0
18	63.724	97.166	11.465	64.36	0.913	0.669	30000.0
19	63.22	97.409	11.26	64.709	0.904	0.662	60000.0
20	63.199	96.944	11.203	64.667	0.901	0.663	30000.0
21	63.913	97.666	11.349	64.882	0.908	0.662	30000.0
22	63.653	97.235	11.235	64.29	0.906	0.665	40000.0
23	63.494	97.575	11.211	64.444	0.898	0.663	40000.0
24	63.34	97.769	11.106	64.539	0.916	0.662	50000.0
25	62.402	96.629	10.834	63.827	0.911	0.669	60000.0
26	62.575	95.892	10.928	63.103	0.907	0.68	70000.0
27	62.823	96.38	11.03	63.627	0.901	0.674	70000.0
28	62.16	96.041	10.741	63.705	0.91	0.672	60000.0
29	62.09	95.786	10.837	63.373	0.907	0.674	60000.0
30	61.866	96.293	10.663	63.466	0.908	0.674	40000.0
31	63.501	97.73	11.341	65.004	0.91	0.657	40000.0
32	62.135	96.232	10.84	63.574	0.907	0.674	60000.0
33	65.298	99.439	11.842	65.887	0.917	0.651	40000.0
34	63.311	96.659	11.147	63.685	0.909	0.677	50000.0
35	64.085	98.179	11.347	65.102	0.905	0.659	30000.0
36	65.236	98.989	11.862	66.026	0.903	0.649	90000.0
37	62.954	96.941	10.987	63.894	0.909	0.67	70000.0
38	63.898	98.293	11.278	64.785	0.919	0.658	70000.0
39	63.49	97.636	11.276	64.632	0.904	0.662	60000.0
40	64.077	97.875	11.255	64.926	0.903	0.659	40000.0
41	62.163	96.203	10.785	63.974	0.914	0.667	40000.0
42	63.132	97.659	11.02	64.171	0.906	0.666	30000.0
43	63.847	98.215	11.317	65.031	0.911	0.66	50000.0
44	62.72	97.247	10.918	64.214	0.911	0.664	20000.0
45	63.301	97.399	11.065	64.191	0.916	0.667	30000.0
46	63.127	97.415	11.178	64.537	0.913	0.664	50000.0
47	62.242	95.668	10.742	63.033	0.901	0.679	50000.0
48	64.098	98.542	11.335	64.935	0.914	0.658	50000.0
49	63.7	97.683	11.288	64.573	0.906	0.665	40000.0
