Samples	SBS96A	SBS96B	SBS96C
TCGA-3C-AAAU-01	6	33	6
TCGA-3C-AALI-01	680	62	66
TCGA-3C-AALJ-01	11	21	34
TCGA-3C-AALK-01	12	31	21
TCGA-4H-AAAK-01	1	26	6
TCGA-5L-AAT0-01	211	39	29
TCGA-5L-AAT1-01	1850	70	66
TCGA-5T-A9QA-01	2	38	13
TCGA-A1-A0SB-01	0	16	0
TCGA-A1-A0SD-01	3	26	11
TCGA-A1-A0SE-01	9	12	15
TCGA-A1-A0SF-01	48	16	0
TCGA-A1-A0SG-01	5	23	7
TCGA-A1-A0SH-01	82	10	46
TCGA-A1-A0SI-01	248	8	22
TCGA-A1-A0SJ-01	9	24	7
TCGA-A1-A0SK-01	3	30	51
TCGA-A1-A0SM-01	1	22	9
TCGA-A1-A0SN-01	26	28	22
TCGA-A1-A0SO-01	29	30	294
TCGA-A1-A0SP-01	3	28	39
TCGA-A2-A04N-01	9	27	17
TCGA-A2-A04R-01	10	18	74
TCGA-A2-A04U-01	4	30	33
TCGA-A2-A04W-01	129	38	20
TCGA-A2-A0CK-01	4	22	1
TCGA-A2-A0CL-01	157	43	0
TCGA-A2-A0CR-01	210	0	0
TCGA-A2-A0CS-01	0	33	15
TCGA-A2-A0CV-01	2	19	3
TCGA-A2-A0CW-01	30	25	29
TCGA-A2-A0D3-01	0	32	0
TCGA-A2-A0EN-01	2	21	16
TCGA-A2-A0EP-01	6	2	8
TCGA-A2-A0ES-01	1	8	10
TCGA-A2-A0EW-01	2	11	7
TCGA-A2-A0ST-01	5	15	8
TCGA-A2-A0SU-01	2	13	20
TCGA-A2-A0SX-01	8	16	17
TCGA-A2-A0SY-01	132	28	17
TCGA-A2-A0T0-01	25	29	163
TCGA-A2-A0T1-01	1	23	8
TCGA-A2-A0T3-01	2	19	23
TCGA-A2-A0T4-01	9	17	15
TCGA-A2-A0T5-01	1	11	1
TCGA-A2-A0T6-01	3	25	0
TCGA-A2-A0T7-01	4	21	4
TCGA-A2-A0YC-01	6	13	13
TCGA-A2-A0YD-01	56	31	0
TCGA-A2-A0YE-01	10	23	10
TCGA-A2-A0YF-01	2	14	23
TCGA-A2-A0YG-01	12	34	32
TCGA-A2-A0YH-01	48	22	30
TCGA-A2-A0YI-01	2	5	11
TCGA-A2-A0YJ-01	5	47	46
