Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
TCGA-05-4244-01	260.0	0.875	129.03	49.627%	19.303	48.593%	0.23353	0.76
TCGA-05-4249-01	385.0	0.914	165.507	42.989%	23.666	40.677%	0.17957	0.834
TCGA-05-4250-01	434.0	0.929	157.191	36.219%	23.851	36.908%	0.14859	0.862
TCGA-05-4382-01	2110.0	0.919	858.881	40.705%	142.446	40.452%	0.11132	0.875
TCGA-05-4384-01	164.0	0.867	93.292	56.885%	12.36	50.126%	0.30626	0.739
TCGA-05-4389-01	296.0	0.835	178.724	60.38%	27.569	55.072%	0.28825	0.724
TCGA-05-4390-01	694.0	0.873	313.609	45.189%	54.503	48.859%	0.17866	0.775
TCGA-05-4395-01	348.0	0.899	158.356	45.505%	27.31	45.068%	0.21437	0.852
TCGA-05-4396-01	334.0	0.859	172.943	51.779%	25.669	51.775%	0.2726	0.717
TCGA-05-4397-01	1019.0	0.966	252.933	24.822%	37.472	25.763%	0.06198	0.93
TCGA-05-4398-01	928.0	0.958	269.995	29.094%	39.027	28.602%	0.07322	0.918
TCGA-05-4402-01	155.0	0.619	155.845	100.545%	31.152	78.897%	0.79625	0.523
TCGA-05-4403-01	168.0	0.773	112.053	66.698%	17.277	64.121%	0.42225	0.583
TCGA-05-4405-01	482.0	0.926	165.992	34.438%	26.085	38.179%	0.11204	0.842
TCGA-05-4410-01	1348.0	0.955	400.124	29.683%	60.508	29.865%	0.06744	0.916
TCGA-05-4415-01	250.0	0.878	138.363	55.345%	19.72	48.026%	0.26812	0.793
TCGA-05-4417-01	352.0	0.851	191.143	54.302%	28.882	52.714%	0.23968	0.72
TCGA-05-4418-01	334.0	0.879	174.514	52.25%	24.231	47.816%	0.24384	0.766
TCGA-05-4420-01	371.0	0.895	170.118	45.854%	25.218	44.684%	0.17513	0.799
TCGA-05-4422-01	54.0	0.657	60.065	111.231%	9.631	75.668%	0.96976	0.555
TCGA-05-4424-01	901.0	0.953	264.508	29.357%	43.092	30.861%	0.06862	0.919
TCGA-05-4425-01	53.0	0.381	69.959	131.998%	14.368	92.939%	1.47615	0.194
TCGA-05-4426-01	55.0	0.6	60.362	109.749%	8.793	80.605%	1.01187	0.381
TCGA-05-4427-01	1250.0	0.93	441.535	35.323%	67.229	36.946%	0.09735	0.857
TCGA-05-4430-01	341.0	0.882	165.174	48.438%	24.654	47.09%	0.2109	0.777
TCGA-05-4432-01	753.0	0.922	269.588	35.802%	42.106	39.002%	0.10548	0.837
TCGA-05-4433-01	45.0	0.379	65.737	146.082%	11.267	93.567%	1.55923	0.157
TCGA-05-4434-01	59.0	0.596	63.252	107.207%	9.538	80.9%	0.96208	0.378
TCGA-05-5420-01	116.0	0.812	75.408	65.007%	10.923	58.553%	0.4247	0.659
TCGA-05-5423-01	187.0	0.857	104.276	55.763%	16.166	51.562%	0.28528	0.762
TCGA-05-5425-01	719.0	0.914	265.704	36.955%	43.43	40.642%	0.11946	0.83
TCGA-05-5428-01	475.0	0.908	199.053	41.906%	37.574	44.065%	0.17568	0.879
TCGA-05-5429-01	44.0	0.465	58.191	132.252%	10.418	88.684%	1.34726	0.294
TCGA-05-5715-01	151.0	0.669	151.118	100.078%	29.151	75.444%	0.74783	0.604
TCGA-35-3615-01	146.0	0.848	88.094	60.338%	15.524	54.749%	0.36902	0.8
TCGA-35-4122-01	412.0	0.905	175.605	42.623%	24.668	44.008%	0.15989	0.788
TCGA-35-4123-01	369.0	0.88	176.483	47.827%	27.694	47.418%	0.19292	0.784
TCGA-35-5375-01	523.0	0.941	180.388	34.491%	24.645	35.37%	0.12191	0.865
TCGA-38-4625-01	765.0	0.933	305.653	39.955%	50.477	38.29%	0.12919	0.911
TCGA-38-4626-01	325.0	0.858	190.257	58.541%	27.928	51.376%	0.28113	0.763
TCGA-38-4627-01	36.0	0.498	46.587	129.408%	7.96	86.851%	1.29319	0.327
