Samples	SBS96A	SBS96B
TCGA-05-4244-01	231	29
TCGA-05-4249-01	317	68
TCGA-05-4250-01	321	113
TCGA-05-4382-01	1847	263
TCGA-05-4384-01	129	35
TCGA-05-4389-01	132	164
TCGA-05-4390-01	652	42
TCGA-05-4395-01	183	165
TCGA-05-4396-01	279	55
TCGA-05-4397-01	735	284
TCGA-05-4398-01	739	189
TCGA-05-4402-01	10	145
TCGA-05-4403-01	128	40
TCGA-05-4405-01	413	69
TCGA-05-4410-01	1104	244
TCGA-05-4415-01	229	21
TCGA-05-4417-01	330	22
TCGA-05-4418-01	273	61
TCGA-05-4420-01	326	45
TCGA-05-4422-01	17	37
TCGA-05-4424-01	721	180
TCGA-05-4425-01	27	26
TCGA-05-4426-01	32	23
TCGA-05-4427-01	1098	152
TCGA-05-4430-01	304	37
TCGA-05-4432-01	658	95
TCGA-05-4433-01	26	19
TCGA-05-4434-01	22	37
TCGA-05-5420-01	88	28
TCGA-05-5423-01	150	37
TCGA-05-5425-01	632	87
TCGA-05-5428-01	276	199
TCGA-05-5429-01	19	25
TCGA-05-5715-01	20	131
TCGA-35-3615-01	72	74
TCGA-35-4122-01	294	118
TCGA-35-4123-01	335	34
TCGA-35-5375-01	413	110
TCGA-38-4625-01	593	172
TCGA-38-4626-01	296	29
TCGA-38-4627-01	20	16
TCGA-38-4628-01	95	54
TCGA-38-4629-01	251	99
TCGA-38-4630-01	44	121
TCGA-38-4631-01	876	51
TCGA-38-4632-01	555	100
TCGA-38-6178-01	51	40
TCGA-38-7271-01	61	55
TCGA-38-A44F-01	10	8
TCGA-44-2655-01	206	22
TCGA-44-2656-01	994	64
TCGA-44-2657-01	441	81
TCGA-44-2659-01	471	37
TCGA-44-2661-01	26	24
TCGA-44-2662-01	55	213
TCGA-44-2665-01	20	41
TCGA-44-2666-01	17	26
TCGA-44-2668-01	344	99
TCGA-44-3396-01	92	153
TCGA-44-3398-01	144	104
TCGA-44-3917-01	216	58
TCGA-44-3918-01	1059	122
TCGA-44-3919-01	21	48
TCGA-44-4112-01	446	163
TCGA-44-5643-01	91	71
TCGA-44-5644-01	1064	107
TCGA-44-5645-01	32	12
TCGA-44-6144-01	234	50
TCGA-44-6145-01	373	19
TCGA-44-6146-01	26	21
TCGA-44-6147-01	139	22
TCGA-44-6148-01	5	3
TCGA-44-6774-01	357	13
TCGA-44-6775-01	54	32
TCGA-44-6776-01	225	26
TCGA-44-6777-01	301	178
TCGA-44-6778-01	442	45
TCGA-44-6779-01	91	34
TCGA-44-7659-01	154	29
TCGA-44-7660-01	370	99
TCGA-44-7661-01	236	106
TCGA-44-7662-01	574	141
TCGA-44-7667-01	518	61
TCGA-44-7669-01	506	55
TCGA-44-7670-01	1079	255
TCGA-44-7671-01	241	50
TCGA-44-7672-01	168	29
TCGA-44-8117-01	861	69
TCGA-44-8119-01	697	76
TCGA-44-8120-01	687	58
TCGA-44-A479-01	341	36
TCGA-44-A47A-01	108	163
TCGA-44-A47B-01	39	21
TCGA-44-A47F-01	59	54
TCGA-44-A47G-01	50	51
TCGA-44-A4SS-01	461	133
TCGA-44-A4SU-01	154	33
TCGA-49-4486-01	33	180
TCGA-49-4487-01	326	106
TCGA-49-4488-01	315	52
TCGA-49-4490-01	19	49
TCGA-49-4494-01	200	32
TCGA-49-4501-01	25	47
TCGA-49-4505-01	229	45
TCGA-49-4506-01	120	20
TCGA-49-4507-01	152	97
TCGA-49-4510-01	49	17
TCGA-49-4512-01	30	25
TCGA-49-4514-01	229	184
TCGA-49-6742-01	84	270
TCGA-49-6743-01	568	377
TCGA-49-6744-01	262	23
TCGA-49-6745-01	15	155
TCGA-49-6761-01	103	143
TCGA-49-6767-01	522	72
TCGA-49-AAQV-01	20	68
TCGA-49-AAR0-01	123	53
TCGA-49-AAR2-01	459	29
TCGA-49-AAR3-01	135	36
TCGA-49-AAR4-01	535	177
TCGA-49-AAR9-01	758	50
TCGA-49-AARE-01	1488	183
TCGA-49-AARN-01	588	344
TCGA-49-AARO-01	704	34
TCGA-49-AARQ-01	744	145
TCGA-49-AARR-01	2	1
TCGA-4B-A93V-01	142	29
TCGA-50-5044-01	1	170
TCGA-50-5045-01	348	22
TCGA-50-5049-01	936	68
TCGA-50-5051-01	118	21
TCGA-50-5055-01	8	14
TCGA-50-5066-01	286	59
TCGA-50-5068-01	88	30
TCGA-50-5072-01	157	46
TCGA-50-5930-01	1315	44
TCGA-50-5931-01	329	52
TCGA-50-5932-01	83	7
TCGA-50-5933-01	518	114
TCGA-50-5935-01	13	110
TCGA-50-5936-01	47	99
TCGA-50-5939-01	42	62
TCGA-50-5941-01	404	78
TCGA-50-5942-01	59	12
TCGA-50-5944-01	48	36
TCGA-50-5946-01	573	243
TCGA-50-6590-01	780	304
TCGA-50-6591-01	35	31
TCGA-50-6592-01	226	130
TCGA-50-6593-01	344	46
TCGA-50-6594-01	552	82
TCGA-50-6595-01	47	71
TCGA-50-6597-01	16	62
TCGA-50-6673-01	33	29
TCGA-50-7109-01	275	33
TCGA-50-8457-01	45	22
TCGA-50-8459-01	101	18
TCGA-50-8460-01	18	18
TCGA-53-7624-01	747	265
TCGA-53-7626-01	390	60
TCGA-53-7813-01	173	13
TCGA-53-A4EZ-01	602	72
TCGA-55-1592-01	513	178
TCGA-55-1594-01	94	137
TCGA-55-1595-01	370	37
TCGA-55-1596-01	189	45
TCGA-55-5899-01	373	176
TCGA-55-6543-01	10	15
TCGA-55-6642-01	138	17
TCGA-55-6712-01	41	155
TCGA-55-6968-01	100	555
TCGA-55-6969-01	454	60
TCGA-55-6970-01	181	28
TCGA-55-6971-01	87	21
TCGA-55-6972-01	122	220
TCGA-55-6975-01	70	30
TCGA-55-6978-01	25	10
TCGA-55-6979-01	94	78
TCGA-55-6980-01	8	8
TCGA-55-6981-01	33	30
TCGA-55-6982-01	1	286
TCGA-55-6983-01	109	25
TCGA-55-6984-01	17	10
TCGA-55-6985-01	542	42
TCGA-55-6986-01	12	13
TCGA-55-6987-01	125	129
TCGA-55-7227-01	170	34
TCGA-55-7281-01	458	99
TCGA-55-7283-01	166	125
TCGA-55-7284-01	27	30
