Samples	SBS96A	SBS96B	SBS96C
TCGA-05-4244-01	186	63	11
TCGA-05-4249-01	271	70	44
TCGA-05-4250-01	273	84	77
TCGA-05-4382-01	1834	3	273
TCGA-05-4384-01	99	49	16
TCGA-05-4389-01	98	85	113
TCGA-05-4390-01	588	83	23
TCGA-05-4395-01	168	46	134
TCGA-05-4396-01	231	74	29
TCGA-05-4397-01	668	118	233
TCGA-05-4398-01	647	145	136
TCGA-05-4402-01	18	0	137
TCGA-05-4403-01	74	88	6
TCGA-05-4405-01	345	101	36
TCGA-05-4410-01	1043	89	216
TCGA-05-4415-01	200	39	11
TCGA-05-4417-01	291	49	12
TCGA-05-4418-01	218	86	30
TCGA-05-4420-01	281	64	26
TCGA-05-4422-01	12	18	24
TCGA-05-4424-01	686	55	160
TCGA-05-4425-01	0	53	0
TCGA-05-4426-01	10	40	5
TCGA-05-4427-01	995	141	114
TCGA-05-4430-01	273	42	26
TCGA-05-4432-01	557	146	50
TCGA-05-4433-01	0	45	0
TCGA-05-4434-01	6	38	15
TCGA-05-5420-01	56	54	6
TCGA-05-5423-01	117	52	18
TCGA-05-5425-01	559	101	59
TCGA-05-5428-01	273	27	175
TCGA-05-5429-01	0	42	2
TCGA-05-5715-01	16	31	104
TCGA-35-3615-01	63	26	57
TCGA-35-4122-01	223	119	70
TCGA-35-4123-01	297	52	20
TCGA-35-5375-01	333	125	65
TCGA-38-4625-01	596	0	169
TCGA-38-4626-01	288	7	30
TCGA-38-4627-01	8	24	4
TCGA-38-4628-01	57	69	23
TCGA-38-4629-01	196	96	58
TCGA-38-4630-01	24	64	77
TCGA-38-4631-01	814	70	43
TCGA-38-4632-01	476	118	61
TCGA-38-6178-01	29	45	17
TCGA-38-7271-01	63	0	53
TCGA-38-A44F-01	2	15	1
TCGA-44-2655-01	194	16	18
TCGA-44-2656-01	896	126	36
TCGA-44-2657-01	401	59	62
TCGA-44-2659-01	426	60	22
TCGA-44-2661-01	11	30	9
TCGA-44-2662-01	68	0	200
TCGA-44-2665-01	4	38	19
TCGA-44-2666-01	2	33	8
TCGA-44-2668-01	336	14	93
TCGA-44-3396-01	73	56	116
TCGA-44-3398-01	132	29	87
TCGA-44-3917-01	183	53	38
TCGA-44-3918-01	1032	26	123
TCGA-44-3919-01	12	27	30
TCGA-44-4112-01	425	41	143
TCGA-44-5643-01	57	68	37
TCGA-44-5644-01	972	118	81
TCGA-44-5645-01	8	36	0
TCGA-44-6144-01	195	59	30
TCGA-44-6145-01	354	20	18
TCGA-44-6146-01	5	41	1
TCGA-44-6147-01	119	31	11
TCGA-44-6148-01	2	6	0
TCGA-44-6774-01	337	21	12
TCGA-44-6775-01	33	38	15
TCGA-44-6776-01	198	38	15
TCGA-44-6777-01	267	76	136
TCGA-44-6778-01	380	84	23
TCGA-44-6779-01	56	58	11
TCGA-44-7659-01	130	35	18
TCGA-44-7660-01	280	137	52
TCGA-44-7661-01	226	21	95
TCGA-44-7662-01	526	76	113
TCGA-44-7667-01	434	117	28
