Samples	SBS96A	SBS96B	SBS96C	SBS96D
TCGA-05-4244-01	178	62	15	5
TCGA-05-4249-01	260	62	38	25
TCGA-05-4250-01	264	65	64	41
TCGA-05-4382-01	1771	53	240	46
TCGA-05-4384-01	95	39	13	17
TCGA-05-4389-01	91	86	107	12
TCGA-05-4390-01	572	66	12	44
TCGA-05-4395-01	160	39	118	31
TCGA-05-4396-01	222	59	23	30
TCGA-05-4397-01	638	123	215	43
TCGA-05-4398-01	621	140	127	40
TCGA-05-4402-01	13	18	124	0
TCGA-05-4403-01	70	72	6	20
TCGA-05-4405-01	331	88	31	32
TCGA-05-4410-01	1003	106	197	42
TCGA-05-4415-01	195	32	7	16
TCGA-05-4417-01	279	52	14	7
TCGA-05-4418-01	214	54	17	49
TCGA-05-4420-01	273	54	21	23
TCGA-05-4422-01	11	13	21	9
TCGA-05-4424-01	658	69	143	31
TCGA-05-4425-01	0	49	0	4
TCGA-05-4426-01	9	37	8	1
TCGA-05-4427-01	963	126	96	65
TCGA-05-4430-01	262	44	24	11
TCGA-05-4432-01	540	116	39	58
TCGA-05-4433-01	0	44	1	0
TCGA-05-4434-01	5	28	13	13
TCGA-05-5420-01	53	41	4	18
TCGA-05-5423-01	111	52	20	4
TCGA-05-5425-01	539	90	51	39
TCGA-05-5428-01	261	24	152	38
TCGA-05-5429-01	0	38	5	1
TCGA-05-5715-01	11	45	95	0
TCGA-35-3615-01	59	25	52	10
TCGA-35-4122-01	213	97	63	39
TCGA-35-4123-01	288	45	15	21
TCGA-35-5375-01	316	119	65	23
TCGA-38-4625-01	575	15	149	26
TCGA-38-4626-01	279	8	23	15
TCGA-38-4627-01	7	17	3	9
TCGA-38-4628-01	52	64	24	9
TCGA-38-4629-01	188	73	48	41
TCGA-38-4630-01	21	59	71	14
TCGA-38-4631-01	791	64	31	41
TCGA-38-4632-01	463	81	42	69
TCGA-38-6178-01	27	31	14	19
TCGA-38-7271-01	59	7	50	0
TCGA-38-A44F-01	2	11	1	4
TCGA-44-2655-01	189	11	12	16
TCGA-44-2656-01	870	106	22	60
TCGA-44-2657-01	384	65	58	15
TCGA-44-2659-01	412	58	19	19
TCGA-44-2661-01	10	24	8	8
TCGA-44-2662-01	61	21	186	0
TCGA-44-2665-01	4	35	21	1
TCGA-44-2666-01	2	29	9	3
TCGA-44-2668-01	322	24	84	13
TCGA-44-3396-01	66	65	111	3
TCGA-44-3398-01	119	47	82	0
TCGA-44-3917-01	178	36	27	33
TCGA-44-3918-01	995	51	108	27
TCGA-44-3919-01	10	21	27	11
TCGA-44-4112-01	404	56	130	19
TCGA-44-5643-01	54	53	32	23
TCGA-44-5644-01	937	125	73	36
TCGA-44-5645-01	7	31	0	6
TCGA-44-6144-01	188	51	27	18
TCGA-44-6145-01	344	23	16	9
TCGA-44-6146-01	4	29	0	14
TCGA-44-6147-01	115	20	6	20
TCGA-44-6148-01	1	5	0	2
TCGA-44-6774-01	328	21	8	13
TCGA-44-6775-01	31	30	13	12
TCGA-44-6776-01	192	33	12	14
TCGA-44-6777-01	256	56	116	51
TCGA-44-6778-01	366	77	22	22
TCGA-44-6779-01	52	51	12	10
TCGA-44-7659-01	126	27	15	15
TCGA-44-7660-01	265	131	55	18
TCGA-44-7661-01	214	31	86	11
TCGA-44-7662-01	506	70	98	41
TCGA-44-7667-01	419	106	26	28
TCGA-44-7669-01	407	94	14	46
TCGA-44-7670-01	1008	66	202	58
TCGA-44-7671-01	187	56	19	29
TCGA-44-7672-01	144	23	16	14
TCGA-44-8117-01	760	100	47	23
TCGA-44-8119-01	554	153	30	36
TCGA-44-8120-01	616	65	38	26
TCGA-44-A479-01	305	36	25	11
TCGA-44-A47A-01	84	61	121	5
TCGA-44-A47B-01	13	37	3	7
TCGA-44-A47F-01	28	49	22	14
TCGA-44-A47G-01	29	32	25	15
TCGA-44-A4SS-01	391	79	86	38
TCGA-44-A4SU-01	101	63	7	16
