NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	171.68	63.91	25.516	51.057	0.439	0.744	50000.0
2	172.023	63.926	25.54	51.066	0.442	0.743	30000.0
3	172.319	64.301	25.689	51.444	0.45	0.739	40000.0
4	172.409	63.958	25.624	50.998	0.439	0.745	20000.0
5	171.795	63.654	25.645	50.952	0.434	0.747	40000.0
6	178.201	63.822	27.679	51.312	0.435	0.742	30000.0
7	171.625	63.782	25.609	51.014	0.44	0.743	30000.0
8	172.387	63.993	25.737	51.226	0.445	0.741	20000.0
9	171.745	63.89	25.541	51.147	0.437	0.742	40000.0
10	171.871	63.755	25.541	50.883	0.432	0.747	40000.0
11	171.655	63.662	25.554	50.929	0.435	0.745	40000.0
12	171.733	63.783	25.633	50.964	0.44	0.747	50000.0
13	179.741	64.277	27.905	51.547	0.438	0.739	30000.0
14	172.072	63.808	25.549	50.942	0.444	0.745	20000.0
15	171.614	63.823	25.513	50.851	0.438	0.748	40000.0
16	171.882	63.947	25.572	51.144	0.442	0.742	40000.0
17	171.779	63.652	25.622	51.022	0.435	0.745	40000.0
18	171.949	63.784	25.641	50.997	0.435	0.746	20000.0
19	171.831	63.631	25.59	50.885	0.435	0.747	30000.0
20	172.97	64.184	25.765	51.286	0.442	0.742	20000.0
21	172.326	63.864	25.607	50.985	0.434	0.746	40000.0
22	171.638	63.655	25.538	50.909	0.437	0.745	30000.0
23	171.371	63.718	25.577	51.108	0.442	0.743	60000.0
24	172.587	63.965	25.692	51.039	0.437	0.746	30000.0
25	172.249	63.868	25.742	51.181	0.438	0.743	20000.0
26	171.419	63.611	25.466	50.858	0.435	0.747	20000.0
27	172.191	63.801	25.539	50.894	0.436	0.746	20000.0
28	172.617	63.973	25.747	51.119	0.438	0.744	20000.0
29	172.705	64.06	25.728	51.13	0.437	0.744	60000.0
30	172.773	64.086	25.685	51.092	0.44	0.744	40000.0
31	173.275	64.389	25.875	51.471	0.447	0.739	30000.0
32	171.941	63.954	25.545	51.057	0.436	0.745	50000.0
33	179.278	64.04	27.994	51.512	0.436	0.74	30000.0
34	173.214	64.002	25.754	51.106	0.436	0.745	50000.0
35	178.498	63.895	27.704	51.306	0.437	0.74	30000.0
36	172.01	63.935	25.594	51.01	0.437	0.745	60000.0
37	171.838	63.965	25.581	50.969	0.436	0.745	30000.0
38	172.079	63.884	25.507	50.952	0.437	0.744	40000.0
39	172.259	63.898	25.602	50.991	0.438	0.746	30000.0
40	172.299	63.925	25.703	51.092	0.441	0.745	40000.0
41	179.728	64.216	27.862	51.36	0.439	0.741	30000.0
42	171.716	63.742	25.608	50.859	0.436	0.746	30000.0
43	172.185	63.999	25.641	51.167	0.446	0.743	20000.0
44	172.348	64.129	25.632	51.156	0.443	0.742	30000.0
45	171.871	63.731	25.558	50.888	0.434	0.747	30000.0
46	178.452	63.582	27.652	51.014	0.434	0.744	40000.0
47	171.861	63.777	25.635	50.998	0.434	0.746	40000.0
48	171.5	63.715	25.472	50.89	0.437	0.746	20000.0
49	179.123	64.249	27.815	51.499	0.441	0.739	40000.0
50	172.079	63.847	25.632	51.063	0.441	0.744	50000.0
51	171.881	63.687	25.648	50.989	0.434	0.746	20000.0
52	171.657	63.648	25.488	50.894	0.437	0.745	30000.0
53	178.569	63.784	27.81	51.281	0.436	0.742	30000.0
54	171.703	63.749	25.553	50.935	0.437	0.745	30000.0
55	172.119	63.733	25.683	50.951	0.435	0.747	50000.0
56	171.638	63.825	25.48	50.989	0.437	0.745	30000.0
57	179.04	63.691	27.892	51.275	0.433	0.743	20000.0
58	171.089	63.693	25.491	50.998	0.436	0.745	20000.0
59	179.06	63.812	27.871	51.21	0.435	0.745	20000.0
60	172.183	63.953	25.689	51.2	0.442	0.741	30000.0
61	171.877	63.765	25.56	51.025	0.436	0.744	40000.0
62	172.147	63.891	25.67	51.101	0.439	0.744	80000.0
63	178.439	63.632	27.652	51.15	0.432	0.744	20000.0
64	171.697	64.115	25.522	51.067	0.44	0.744	30000.0
65	171.181	63.955	25.463	50.97	0.442	0.745	30000.0
66	171.688	63.792	25.599	51.058	0.435	0.743	60000.0
