Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F
TCGA-05-4244-01	138	64	10	16	27	5
TCGA-05-4249-01	216	69	33	13	30	24
TCGA-05-4250-01	215	46	52	56	28	37
TCGA-05-4382-01	1623	0	224	142	61	60
TCGA-05-4384-01	74	25	9	24	17	15
TCGA-05-4389-01	75	0	91	72	44	14
TCGA-05-4390-01	502	77	10	27	37	41
TCGA-05-4395-01	139	0	104	50	23	32
TCGA-05-4396-01	173	74	17	18	26	26
TCGA-05-4397-01	472	171	166	139	32	39
TCGA-05-4398-01	506	58	95	170	63	36
TCGA-05-4402-01	4	21	104	19	5	2
TCGA-05-4403-01	55	44	4	9	38	18
TCGA-05-4405-01	279	82	27	21	43	30
TCGA-05-4410-01	791	211	158	113	33	42
TCGA-05-4415-01	156	50	5	11	14	14
TCGA-05-4417-01	213	85	7	23	18	6
TCGA-05-4418-01	168	52	10	43	21	40
TCGA-05-4420-01	227	54	16	28	25	21
TCGA-05-4422-01	8	0	19	12	7	8
TCGA-05-4424-01	565	120	131	13	35	37
TCGA-05-4425-01	0	3	1	3	40	6
TCGA-05-4426-01	5	16	6	8	18	2
TCGA-05-4427-01	759	181	66	151	39	54
TCGA-05-4430-01	213	73	20	4	20	11
TCGA-05-4432-01	408	156	21	86	36	46
TCGA-05-4433-01	0	11	2	0	32	0
TCGA-05-4434-01	0	25	11	0	12	11
TCGA-05-5420-01	41	32	3	4	20	16
TCGA-05-5423-01	103	3	17	27	31	6
TCGA-05-5425-01	413	197	40	5	29	35
TCGA-05-5428-01	221	0	128	71	18	37
TCGA-05-5429-01	1	0	5	6	30	2
TCGA-05-5715-01	12	10	96	0	31	2
TCGA-35-3615-01	49	0	42	30	15	10
TCGA-35-4122-01	127	128	39	70	20	28
TCGA-35-4123-01	233	84	13	0	19	20
TCGA-35-5375-01	226	116	44	77	41	19
TCGA-38-4625-01	529	0	140	40	23	33
TCGA-38-4626-01	230	39	18	22	2	14
TCGA-38-4627-01	7	6	3	2	10	8
TCGA-38-4628-01	31	63	19	0	27	9
TCGA-38-4629-01	140	60	34	55	28	33
TCGA-38-4630-01	23	0	69	17	38	18
TCGA-38-4631-01	617	236	23	0	14	37
TCGA-38-4632-01	352	146	29	48	24	56
TCGA-38-6178-01	18	9	9	26	14	15
TCGA-38-7271-01	47	20	44	0	4	1
TCGA-38-A44F-01	1	8	0	0	6	3
TCGA-44-2655-01	175	10	12	5	10	16
TCGA-44-2656-01	769	121	20	30	60	58
TCGA-44-2657-01	340	60	53	14	37	18
TCGA-44-2659-01	385	16	18	26	41	22
TCGA-44-2661-01	0	26	5	7	7	5
TCGA-44-2662-01	44	13	158	38	8	7
TCGA-44-2665-01	0	0	14	31	15	1
TCGA-44-2666-01	0	8	6	14	13	2
TCGA-44-2668-01	266	46	71	37	9	14
TCGA-44-3396-01	51	20	97	35	34	8
TCGA-44-3398-01	98	25	74	27	24	0
TCGA-44-3917-01	129	83	22	0	13	27
TCGA-44-3918-01	888	119	104	0	35	35
TCGA-44-3919-01	1	31	21	0	7	9
TCGA-44-4112-01	366	24	121	37	36	25
TCGA-44-5643-01	36	47	27	8	24	20
TCGA-44-5644-01	774	207	61	37	55	37
TCGA-44-5645-01	0	28	0	5	8	3
