Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G
TCGA-05-4244-01	109	87	6	0	4	32	22
TCGA-05-4249-01	209	43	34	48	24	0	27
TCGA-05-4250-01	212	3	54	81	38	19	27
TCGA-05-4382-01	1496	111	202	0	53	199	49
TCGA-05-4384-01	69	17	8	23	14	17	16
TCGA-05-4389-01	62	1	85	15	13	77	43
TCGA-05-4390-01	463	101	6	16	38	39	31
TCGA-05-4395-01	129	0	101	14	31	51	22
TCGA-05-4396-01	133	109	12	0	23	36	21
TCGA-05-4397-01	423	125	161	151	39	93	27
TCGA-05-4398-01	448	80	87	76	34	147	56
TCGA-05-4402-01	0	19	101	11	2	17	5
TCGA-05-4403-01	48	47	4	12	18	4	35
TCGA-05-4405-01	264	76	28	44	30	1	39
TCGA-05-4410-01	708	261	149	63	38	106	23
TCGA-05-4415-01	145	50	5	19	13	6	12
TCGA-05-4417-01	185	109	6	10	5	24	13
TCGA-05-4418-01	165	7	13	82	42	5	20
TCGA-05-4420-01	204	56	14	29	20	27	21
TCGA-05-4422-01	5	0	16	0	8	18	7
TCGA-05-4424-01	531	114	129	64	35	0	28
TCGA-05-4425-01	0	6	0	0	6	4	37
TCGA-05-4426-01	1	20	5	1	1	10	17
TCGA-05-4427-01	668	242	57	64	50	141	28
TCGA-05-4430-01	190	65	19	31	10	9	17
TCGA-05-4432-01	387	100	25	133	47	29	32
TCGA-05-4433-01	0	14	2	0	0	0	29
TCGA-05-4434-01	0	18	10	9	11	0	11
TCGA-05-5420-01	34	35	2	6	15	6	18
TCGA-05-5423-01	84	25	14	1	5	31	27
TCGA-05-5425-01	385	144	40	93	33	0	24
TCGA-05-5428-01	196	0	115	0	34	113	17
TCGA-05-5429-01	0	5	4	0	2	8	25
TCGA-05-5715-01	10	17	93	0	2	0	29
TCGA-35-3615-01	39	0	37	0	9	47	14
TCGA-35-4122-01	105	73	37	108	28	44	17
TCGA-35-4123-01	211	95	12	16	19	0	16
TCGA-35-5375-01	210	83	46	94	20	32	38
TCGA-38-4625-01	490	21	130	0	29	75	20
TCGA-38-4626-01	206	57	17	9	13	23	0
TCGA-38-4627-01	7	4	3	5	8	0	9
TCGA-38-4628-01	14	77	16	0	8	11	23
TCGA-38-4629-01	112	75	30	14	32	62	25
TCGA-38-4630-01	14	9	63	0	16	28	35
TCGA-38-4631-01	550	276	21	42	34	0	4
TCGA-38-4632-01	329	111	31	92	56	16	20
TCGA-38-6178-01	7	22	6	0	14	30	12
TCGA-38-7271-01	41	17	44	10	1	0	3
TCGA-38-A44F-01	0	8	0	0	3	2	5
TCGA-44-2655-01	163	10	11	8	16	11	9
TCGA-44-2656-01	737	109	22	80	57	0	53
TCGA-44-2657-01	293	98	46	0	15	40	30
TCGA-44-2659-01	349	53	15	0	20	35	36
TCGA-44-2661-01	0	22	4	4	5	9	6
TCGA-44-2662-01	36	12	155	17	7	34	7
TCGA-44-2665-01	0	0	13	9	1	24	14
TCGA-44-2666-01	0	4	7	11	3	6	12
TCGA-44-2668-01	240	73	67	0	13	43	7
TCGA-44-3396-01	34	37	90	0	6	47	31
TCGA-44-3398-01	97	6	73	37	0	12	23
TCGA-44-3917-01	108	110	21	0	26	0	9
TCGA-44-3918-01	826	158	102	35	33	0	27
TCGA-44-3919-01	0	24	21	8	9	0	7
TCGA-44-4112-01	356	29	121	36	25	9	33
TCGA-44-5643-01	21	58	23	0	19	20	21
TCGA-44-5644-01	706	232	58	71	34	26	44
TCGA-44-5645-01	0	17	0	16	4	0	7
TCGA-44-6144-01	139	25	20	56	15	13	16
TCGA-44-6145-01	267	54	9	8	7	39	8
TCGA-44-6146-01	0	16	0	1	13	2	15
TCGA-44-6147-01	90	26	4	2	18	11	10
TCGA-44-6148-01	1	0	0	3	2	0	2
TCGA-44-6774-01	253	75	6	17	12	2	5
TCGA-44-6775-01	12	21	7	15	9	13	9
TCGA-44-6776-01	170	1	12	37	14	0	17
TCGA-44-6777-01	206	8	97	40	48	51	29
TCGA-44-6778-01	248	94	9	65	16	36	19
TCGA-44-6779-01	23	43	4	0	7	27	21
TCGA-44-7659-01	93	16	12	43	12	0	7
TCGA-44-7660-01	132	130	35	134	13	0	25
TCGA-44-7661-01	153	76	74	17	13	0	9
TCGA-44-7662-01	365	90	76	89	37	39	19
TCGA-44-7667-01	275	159	9	8	21	70	37
TCGA-44-7669-01	280	108	8	105	37	0	23
TCGA-44-7670-01	821	122	173	12	58	111	37
TCGA-44-7671-01	115	97	13	24	24	0	18
TCGA-44-7672-01	89	49	9	10	11	23	6
TCGA-44-8117-01	629	99	42	75	26	12	47
TCGA-44-8119-01	419	135	17	56	32	50	64
TCGA-44-8120-01	496	90	29	45	24	34	27
TCGA-44-A479-01	273	0	23	23	13	21	24
TCGA-44-A47A-01	37	97	104	0	9	0	24
TCGA-44-A47B-01	7	8	0	0	6	17	22
TCGA-44-A47F-01	10	22	14	0	12	32	23
TCGA-44-A47G-01	15	21	20	13	13	6	13
TCGA-44-A4SS-01	269	116	69	82	33	6	19
TCGA-44-A4SU-01	70	34	3	24	14	14	28
TCGA-49-4486-01	22	24	129	18	15	0	5
TCGA-49-4487-01	203	85	66	46	18	9	5
TCGA-49-4488-01	224	0	26	22	7	76	12
TCGA-49-4490-01	0	2	19	17	5	1	24
TCGA-49-4494-01	103	88	11	0	9	3	18
TCGA-49-4501-01	0	0	10	0	6	22	34
TCGA-49-4505-01	117	46	14	1	2	58	36
TCGA-49-4506-01	69	0	4	39	7	4	17
TCGA-49-4507-01	67	58	43	0	19	41	21
TCGA-49-4510-01	19	4	6	29	4	0	4
TCGA-49-4512-01	0	18	4	0	5	11	17
TCGA-49-4514-01	157	28	115	13	35	40	25
TCGA-49-6742-01	9	0	125	0	27	168	25
TCGA-49-6743-01	348	28	209	142	67	125	26
TCGA-49-6744-01	162	84	6	10	20	2	1
TCGA-49-6745-01	0	0	85	0	23	26	36
TCGA-49-6761-01	57	0	79	1	15	69	25
TCGA-49-6767-01	377	26	43	100	22	0	26
TCGA-49-AAQV-01	1	20	42	14	0	0	11
TCGA-49-AAR0-01	72	9	21	24	19	10	21
TCGA-49-AAR2-01	330	87	13	18	24	2	14
TCGA-49-AAR3-01	66	28	15	35	5	3	19
TCGA-49-AAR4-01	362	132	101	0	60	57	0
TCGA-49-AAR9-01	508	199	15	1	39	23	23
TCGA-49-AARE-01	1140	49	103	172	87	65	55
TCGA-49-AARN-01	65	0	5	0	34	828	0
TCGA-49-AARO-01	565	97	36	0	14	26	0
TCGA-49-AARQ-01	540	129	89	3	47	67	14
TCGA-49-AARR-01	0	1	0	0	0	0	2
TCGA-4B-A93V-01	71	36	6	18	13	18	9
TCGA-50-5044-01	2	3	124	23	7	7	5
TCGA-50-5045-01	289	5	25	42	6	2	1
TCGA-50-5049-01	635	160	35	131	43	0	0
TCGA-50-5051-01	69	33	7	0	4	7	19
TCGA-50-5055-01	0	10	4	0	0	1	7
TCGA-50-5066-01	139	96	19	30	18	41	2
TCGA-50-5068-01	33	40	6	9	11	0	19
TCGA-50-5072-01	86	24	14	16	19	37	7
TCGA-50-5930-01	1022	119	29	96	44	21	28
