Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H
TCGA-05-4244-01	75	101	7	32	3	4	22	16
TCGA-05-4249-01	209	0	31	52	38	24	25	6
TCGA-05-4250-01	192	32	48	9	63	36	24	30
TCGA-05-4382-01	1166	563	195	0	0	52	35	99
TCGA-05-4384-01	61	21	7	12	20	14	15	14
TCGA-05-4389-01	55	32	76	9	4	12	40	68
TCGA-05-4390-01	382	174	11	39	9	39	29	11
TCGA-05-4395-01	108	44	94	0	5	31	21	45
TCGA-05-4396-01	115	73	9	69	0	22	20	26
TCGA-05-4397-01	306	279	160	7	127	41	25	74
TCGA-05-4398-01	369	211	83	12	63	33	53	104
TCGA-05-4402-01	2	4	93	19	3	3	5	26
TCGA-05-4403-01	52	5	2	38	13	17	34	7
TCGA-05-4405-01	240	49	27	62	32	29	37	6
TCGA-05-4410-01	623	230	134	162	40	37	22	100
TCGA-05-4415-01	128	43	4	28	17	13	11	6
TCGA-05-4417-01	179	35	2	92	4	4	13	23
TCGA-05-4418-01	136	52	12	0	65	40	18	11
TCGA-05-4420-01	149	127	16	1	24	20	21	13
TCGA-05-4422-01	3	8	13	0	0	7	6	17
TCGA-05-4424-01	455	156	128	43	49	38	27	5
TCGA-05-4425-01	0	3	0	5	0	6	36	3
TCGA-05-4426-01	5	0	3	20	0	1	16	10
TCGA-05-4427-01	575	261	56	151	41	49	27	90
TCGA-05-4430-01	121	147	21	0	26	11	15	0
TCGA-05-4432-01	337	106	23	76	106	45	29	31
TCGA-05-4433-01	0	0	2	15	0	0	28	0
TCGA-05-4434-01	0	0	10	18	8	11	11	1
TCGA-05-5420-01	26	26	2	17	8	15	18	4
TCGA-05-5423-01	51	75	15	0	0	5	26	15
TCGA-05-5425-01	324	143	43	70	82	34	23	0
TCGA-05-5428-01	189	35	100	0	0	32	16	103
TCGA-05-5429-01	0	0	3	7	0	2	23	9
TCGA-05-5715-01	12	3	92	10	0	4	28	2
TCGA-35-3615-01	36	17	32	0	0	8	13	40
TCGA-35-4122-01	33	173	41	0	95	30	16	24
TCGA-35-4123-01	136	164	15	6	13	19	16	0
TCGA-35-5375-01	206	20	38	99	66	18	34	42
TCGA-38-4625-01	385	163	118	0	0	29	15	55
TCGA-38-4626-01	176	78	17	20	7	13	1	13
