Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H
TCGA-05-4244-01	2.75E+00	2.82E+00	6.56E-01	2.10E+00	1.58E+00	4.52E-01	7.83E-01	7.82E-01
TCGA-05-4249-01	2.90E+00	3.07E+00	8.55E-01	2.29E+00	2.06E+00	8.43E-01	7.48E-01	1.05E+00
TCGA-05-4250-01	3.42E+00	3.46E+00	1.27E+00	2.23E+00	2.05E+00	1.01E+00	8.41E-01	1.30E+00
TCGA-05-4382-01	2.55E+01	2.70E+01	4.19E+00	5.77E+00	3.23E+00	1.75E+00	1.75E+00	3.99E+00
TCGA-05-4384-01	1.79E+00	1.76E+00	4.81E-01	1.49E+00	1.35E+00	5.34E-01	5.73E-01	9.04E-01
TCGA-05-4389-01	1.38E+00	1.78E+00	1.96E+00	1.99E+00	1.58E+00	7.08E-01	1.02E+00	1.83E+00
TCGA-05-4390-01	7.44E+00	7.39E+00	7.16E-01	3.76E+00	2.31E+00	9.73E-01	9.66E-01	1.36E+00
TCGA-05-4395-01	2.54E+00	2.42E+00	2.13E+00	1.49E+00	1.25E+00	1.08E+00	6.92E-01	1.82E+00
TCGA-05-4396-01	3.12E+00	3.58E+00	6.57E-01	2.87E+00	1.78E+00	9.07E-01	7.26E-01	1.11E+00
TCGA-05-4397-01	7.52E+00	7.36E+00	3.01E+00	4.41E+00	3.43E+00	1.22E+00	1.02E+00	2.75E+00
TCGA-05-4398-01	7.28E+00	7.54E+00	2.04E+00	3.82E+00	2.67E+00	1.21E+00	1.19E+00	2.05E+00
TCGA-05-4402-01	4.87E-01	7.38E-01	1.81E+00	1.01E+00	8.80E-01	2.88E-01	6.14E-01	1.95E+00
TCGA-05-4403-01	1.40E+00	1.59E+00	4.31E-01	1.56E+00	1.25E+00	6.96E-01	8.05E-01	6.09E-01
TCGA-05-4405-01	4.06E+00	3.92E+00	7.95E-01	2.36E+00	1.78E+00	7.54E-01	9.66E-01	1.34E+00
TCGA-05-4410-01	1.06E+01	1.07E+01	3.14E+00	6.26E+00	3.91E+00	1.52E+00	1.15E+00	3.17E+00
