Samples	SBS1	SBS2	SBS3	SBS4	SBS5	SBS7a	SBS7b	SBS13	SBS15	SBS54
TCGA-05-4244-01	19	0	0	172	69	0	0	0	0	0
TCGA-05-4249-01	23	0	0	245	94	23	0	0	0	0
TCGA-05-4250-01	20	29	0	239	125	0	0	21	0	0
TCGA-05-4382-01	57	107	0	1767	90	0	0	89	0	0
TCGA-05-4384-01	9	0	0	89	66	0	0	0	0	0
TCGA-05-4389-01	32	47	0	89	89	0	0	39	0	0
TCGA-05-4390-01	25	0	0	558	111	0	0	0	0	0
TCGA-05-4395-01	18	46	0	152	45	0	34	53	0	0
TCGA-05-4396-01	21	0	0	213	100	0	0	0	0	0
TCGA-05-4397-01	27	68	0	542	298	0	0	84	0	0
TCGA-05-4398-01	46	55	0	587	196	0	0	44	0	0
TCGA-05-4402-01	7	42	0	0	49	0	0	57	0	0
TCGA-05-4403-01	25	0	0	68	75	0	0	0	0	0
TCGA-05-4405-01	30	0	0	318	134	0	0	0	0	0
TCGA-05-4410-01	48	77	0	941	212	0	0	70	0	0
TCGA-05-4415-01	9	0	0	180	61	0	0	0	0	0
TCGA-05-4417-01	18	0	0	257	77	0	0	0	0	0
TCGA-05-4418-01	11	0	0	172	151	0	0	0	0	0
TCGA-05-4420-01	13	0	0	252	106	0	0	0	0	0
TCGA-05-4422-01	7	14	0	0	27	0	0	6	0	0
TCGA-05-4424-01	37	46	0	619	133	0	0	66	0	0
TCGA-05-4425-01	22	0	0	0	12	0	0	0	19	0
TCGA-05-4426-01	16	0	0	0	39	0	0	0	0	0
TCGA-05-4427-01	38	0	0	875	337	0	0	0	0	0
TCGA-05-4430-01	9	0	0	239	93	0	0	0	0	0
TCGA-05-4432-01	27	0	0	474	252	0	0	0	0	0
TCGA-05-4433-01	20	0	0	0	13	0	0	0	12	0
TCGA-05-4434-01	10	0	0	0	40	9	0	0	0	0
TCGA-05-5420-01	16	0	0	52	34	0	14	0	0	0
TCGA-05-5423-01	21	11	0	119	36	0	0	0	0	0
TCGA-05-5425-01	20	0	0	487	212	0	0	0	0	0
TCGA-05-5428-01	21	83	0	276	45	0	0	50	0	0
TCGA-05-5429-01	17	4	0	0	13	0	0	0	10	0
TCGA-05-5715-01	23	35	0	0	38	0	0	55	0	0
TCGA-35-3615-01	5	29	0	65	17	0	0	16	14	0
TCGA-35-4122-01	10	0	0	161	241	0	0	0	0	0
TCGA-35-4123-01	14	0	0	276	79	0	0	0	0	0
TCGA-35-5375-01	15	0	161	221	94	0	0	0	32	0
TCGA-38-4625-01	26	68	0	575	42	0	0	54	0	0
TCGA-38-4626-01	5	0	0	266	54	0	0	0	0	0
TCGA-38-4627-01	9	0	0	0	20	0	7	0	0	0
TCGA-38-4628-01	23	0	0	48	78	0	0	0	0	0
TCGA-38-4629-01	21	24	0	172	119	0	0	14	0	0
TCGA-38-4630-01	34	34	0	0	39	0	20	38	0	0
TCGA-38-4631-01	28	0	0	736	163	0	0	0	0	0
TCGA-38-4632-01	21	0	0	429	157	48	0	0	0	0
TCGA-38-6178-01	12	11	67	0	1	0	0	0	0	0
TCGA-38-7271-01	3	12	0	55	15	0	0	31	0	0
TCGA-38-A44F-01	5	0	0	0	13	0	0	0	0	0
TCGA-44-2655-01	5	0	0	190	33	0	0	0	0	0
TCGA-44-2656-01	41	0	0	847	170	0	0	0	0	0
TCGA-44-2657-01	30	24	0	386	62	0	0	20	0	0
TCGA-44-2659-01	33	0	0	422	53	0	0	0	0	0
TCGA-44-2661-01	5	0	19	0	26	0	0	0	0	0
TCGA-44-2662-01	11	66	0	52	56	0	0	83	0	0
TCGA-44-2665-01	13	10	0	0	33	0	0	5	0	0
TCGA-44-2666-01	9	0	0	0	34	0	0	0	0	0
TCGA-44-2668-01	15	37	0	314	50	0	0	27	0	0
TCGA-44-3396-01	30	50	0	65	55	0	0	45	0	0
TCGA-44-3398-01	3	32	0	112	42	0	0	33	26	0
TCGA-44-3917-01	11	0	0	155	56	0	32	20	0	0
TCGA-44-3918-01	28	0	0	974	179	0	0	0	0	0
TCGA-44-3919-01	1	5	0	0	23	0	14	17	9	0
TCGA-44-4112-01	32	49	0	400	70	0	0	58	0	0
TCGA-44-5643-01	23	0	0	55	60	24	0	0	0	0
TCGA-44-5644-01	49	0	0	894	228	0	0	0	0	0
TCGA-44-5645-01	10	0	0	0	34	0	0	0	0	0
TCGA-44-6144-01	17	0	0	170	97	0	0	0	0	0
TCGA-44-6145-01	13	0	0	329	50	0	0	0	0	0
TCGA-44-6146-01	16	0	0	0	18	13	0	0	0	0
TCGA-44-6147-01	11	0	0	131	0	19	0	0	0	0
TCGA-44-6148-01	0	0	0	0	6	0	0	0	2	0
TCGA-44-6774-01	10	0	0	304	56	0	0	0	0	0
TCGA-44-6775-01	5	0	0	24	57	0	0	0	0	0
TCGA-44-6776-01	8	0	0	176	67	0	0	0	0	0
TCGA-44-6777-01	23	52	0	250	74	0	37	43	0	0
TCGA-44-6778-01	17	0	0	317	153	0	0	0	0	0
TCGA-44-6779-01	23	9	0	56	37	0	0	0	0	0
TCGA-44-7659-01	4	0	0	107	72	0	0	0	0	0
TCGA-44-7660-01	19	0	226	135	89	0	0	0	0	0
TCGA-44-7661-01	13	23	0	191	70	0	0	45	0	0
TCGA-44-7662-01	21	21	0	463	139	31	0	40	0	0
TCGA-44-7667-01	41	0	0	398	140	0	0	0	0	0
TCGA-44-7669-01	20	0	0	344	197	0	0	0	0	0
TCGA-44-7670-01	40	76	0	986	141	0	0	91	0	0
TCGA-44-7671-01	12	0	0	164	115	0	0	0	0	0
TCGA-44-7672-01	7	0	0	131	59	0	0	0	0	0
TCGA-44-8117-01	39	0	0	738	153	0	0	0	0	0
TCGA-44-8119-01	45	0	0	530	198	0	0	0	0	0
TCGA-44-8120-01	23	0	0	589	133	0	0	0	0	0
TCGA-44-A479-01	13	0	0	310	54	0	0	0	0	0
TCGA-44-A47A-01	24	30	0	70	78	0	0	69	0	0
TCGA-44-A47B-01	8	0	0	17	12	7	0	0	16	0
TCGA-44-A47F-01	11	13	0	29	38	0	0	7	15	0
TCGA-44-A47G-01	13	4	61	0	0	13	0	10	0	0
TCGA-44-A4SS-01	21	25	0	342	167	0	0	39	0	0
TCGA-44-A4SU-01	3	0	0	84	74	0	0	0	26	0
TCGA-49-4486-01	8	51	0	0	78	0	0	76	0	0
TCGA-49-4487-01	12	24	0	263	94	0	0	39	0	0
TCGA-49-4488-01	10	21	0	281	44	0	0	11	0	0
TCGA-49-4490-01	6	7	0	0	32	0	0	7	16	0
TCGA-49-4494-01	19	0	0	156	57	0	0	0	0	0
TCGA-49-4501-01	16	11	0	0	24	0	0	0	21	0
TCGA-49-4505-01	29	0	0	169	76	0	0	0	0	0
TCGA-49-4506-01	0	0	0	74	45	0	0	0	21	0
TCGA-49-4507-01	26	17	0	114	48	21	0	23	0	0
TCGA-49-4510-01	2	0	51	0	13	0	0	0	0	0
TCGA-49-4512-01	16	0	0	0	39	0	0	0	0	0
TCGA-49-4514-01	23	38	0	194	64	38	0	56	0	0
TCGA-49-6742-01	26	94	0	0	155	0	0	79	0	0
TCGA-49-6743-01	34	113	0	432	263	0	0	103	0	0
TCGA-49-6744-01	8	0	0	219	58	0	0	0	0	0
TCGA-49-6745-01	19	34	0	0	0	37	0	51	29	0
TCGA-49-6761-01	9	48	0	77	53	0	0	39	20	0
TCGA-49-6767-01	20	0	0	433	141	0	0	0	0	0
TCGA-49-AAQV-01	4	16	0	0	32	0	0	27	9	0
TCGA-49-AAR0-01	14	0	0	92	46	24	0	0	0	0
TCGA-49-AAR2-01	16	0	0	398	74	0	0	0	0	0
TCGA-49-AAR3-01	11	0	0	83	77	0	0	0	0	0
TCGA-49-AAR4-01	15	49	0	476	57	0	61	54	0	0
TCGA-49-AAR9-01	33	0	0	639	136	0	0	0	0	0
TCGA-49-AARE-01	37	0	0	1278	356	0	0	0	0	0
TCGA-49-AARN-01	14	152	763	0	3	0	0	0	0	0
TCGA-49-AARO-01	7	0	0	686	45	0	0	0	0	0
TCGA-49-AARQ-01	24	0	0	699	92	74	0	0	0	0
TCGA-49-AARR-01	0	0	0	0	1	0	0	0	2	0
TCGA-4B-A93V-01	11	0	0	101	59	0	0	0	0	0
TCGA-50-5044-01	7	49	0	0	48	0	0	67	0	0
TCGA-50-5045-01	5	0	0	326	39	0	0	0	0	0
TCGA-50-5049-01	7	0	0	788	209	0	0	0	0	0
TCGA-50-5051-01	8	0	0	88	30	0	0	0	13	0
TCGA-50-5055-01	8	0	0	0	14	0	0	0	0	0
TCGA-50-5066-01	4	0	0	203	138	0	0	0	0	0
TCGA-50-5068-01	16	0	0	44	58	0	0	0	0	0
TCGA-50-5072-01	10	0	0	125	44	24	0	0	0	0
TCGA-50-5930-01	29	0	0	1197	133	0	0	0	0	0
TCGA-50-5931-01	15	0	0	246	120	0	0	0	0	0
TCGA-50-5932-01	4	0	0	72	1	0	13	0	0	0
TCGA-50-5933-01	39	0	0	408	133	52	0	0	0	0
TCGA-50-5935-01	11	30	0	0	54	0	0	28	0	0
TCGA-50-5936-01	12	34	71	0	4	0	0	25	0	0
TCGA-50-5939-01	11	17	40	0	30	0	0	6	0	0
TCGA-50-5941-01	17	0	155	263	47	0	0	0	0	0
TCGA-50-5942-01	8	0	0	31	32	0	0	0	0	0
TCGA-50-5944-01	10	0	40	0	15	0	0	0	19	0
TCGA-50-5946-01	33	66	0	476	157	0	0	84	0	0
TCGA-50-6590-01	16	82	0	670	201	0	0	115	0	0
TCGA-50-6591-01	12	0	38	0	0	0	16	0	0	0
TCGA-50-6592-01	16	28	0	138	141	0	0	33	0	0
TCGA-50-6593-01	12	0	0	258	120	0	0	0	0	0
TCGA-50-6594-01	14	0	0	472	148	0	0	0	0	0
TCGA-50-6595-01	8	9	61	0	3	15	11	11	0	0
TCGA-50-6597-01	18	16	0	0	27	0	10	7	0	0
TCGA-50-6673-01	14	0	0	0	48	0	0	0	0	0
TCGA-50-7109-01	19	0	0	192	97	0	0	0	0	0
TCGA-50-8457-01	8	0	52	0	0	7	0	0	0	0
TCGA-50-8459-01	13	0	0	66	40	0	0	0	0	0
TCGA-50-8460-01	6	0	0	0	30	0	0	0	0	0
TCGA-53-7624-01	32	78	0	631	194	0	0	77	0	0
TCGA-53-7626-01	6	12	0	344	59	0	0	29	0	0
TCGA-53-7813-01	11	0	0	122	53	0	0	0	0	0
TCGA-53-A4EZ-01	24	0	0	502	148	0	0	0	0	0
TCGA-55-1592-01	13	0	0	304	374	0	0	0	0	0
TCGA-55-1594-01	20	35	128	0	12	0	0	36	0	0
TCGA-55-1595-01	19	0	0	289	99	0	0	0	0	0
TCGA-55-1596-01	1	0	0	105	62	19	0	0	21	26
TCGA-55-5899-01	21	62	0	328	88	0	0	50	0	0
TCGA-55-6543-01	11	0	0	0	14	0	0	0	0	0
TCGA-55-6642-01	9	0	0	116	30	0	0	0	0	0
TCGA-55-6712-01	17	42	68	0	16	0	0	53	0	0
TCGA-55-6968-01	21	194	0	133	79	0	0	228	0	0
TCGA-55-6969-01	7	0	157	279	71	0	0	0	0	0
TCGA-55-6970-01	6	0	0	130	73	0	0	0	0	0
TCGA-55-6971-01	5	0	0	47	56	0	0	0	0	0
TCGA-55-6972-01	12	75	0	118	51	40	0	46	0	0
TCGA-55-6975-01	13	7	0	39	36	0	0	5	0	0
TCGA-55-6978-01	9	0	26	0	0	0	0	0	0	0
TCGA-55-6979-01	6	0	0	89	0	25	0	52	0	0
TCGA-55-6980-01	4	0	0	0	7	0	5	0	0	0
TCGA-55-6981-01	16	0	0	0	47	0	0	0	0	0
TCGA-55-6982-01	15	100	0	0	56	0	0	116	0	0
TCGA-55-6983-01	4	0	0	71	29	0	12	0	18	0
