Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
TCGA-05-4244-01	260.0	0.913	124.017	47.699%	16.333	41.116%	0.23814	0.838
TCGA-05-4249-01	385.0	0.904	164.116	42.628%	25.109	43.157%	0.20458	0.818
TCGA-05-4250-01	434.0	0.903	188.03	43.325%	27.896	43.168%	0.20586	0.811
TCGA-05-4382-01	2110.0	0.982	465.222	22.048%	67.246	19.097%	0.04936	0.971
TCGA-05-4384-01	164.0	0.813	110.365	67.296%	14.505	58.826%	0.39991	0.625
TCGA-05-4389-01	296.0	0.943	126.821	42.845%	16.844	33.648%	0.20032	0.911
TCGA-05-4390-01	694.0	0.956	230.36	33.193%	32.979	29.564%	0.1239	0.926
TCGA-05-4395-01	348.0	0.946	137.732	39.578%	19.687	32.488%	0.17446	0.917
TCGA-05-4396-01	334.0	0.82	201.058	60.197%	29.308	59.115%	0.37065	0.649
TCGA-05-4397-01	1019.0	0.965	267.767	26.277%	38.554	26.507%	0.07311	0.929
TCGA-05-4398-01	928.0	0.96	269.063	28.994%	38.611	28.297%	0.08527	0.923
TCGA-05-4402-01	155.0	0.953	83.305	53.745%	12.578	31.856%	0.38326	0.945
TCGA-05-4403-01	168.0	0.772	123.584	73.562%	17.317	64.269%	0.47597	0.583
TCGA-05-4405-01	482.0	0.939	179.587	37.259%	24.34	35.625%	0.14724	0.877
TCGA-05-4410-01	1348.0	0.961	386.437	28.667%	57.598	28.428%	0.07688	0.928
TCGA-05-4415-01	250.0	0.916	120.211	48.084%	16.427	40.006%	0.25241	0.86
TCGA-05-4417-01	352.0	0.909	162.873	46.271%	23.143	42.239%	0.1966	0.838
TCGA-05-4418-01	334.0	0.862	183.553	54.956%	25.679	50.673%	0.28164	0.729
TCGA-05-4420-01	371.0	0.939	139.272	37.54%	19.509	34.568%	0.15163	0.886
TCGA-05-4422-01	54.0	0.789	50.235	93.028%	7.974	62.65%	0.92614	0.735
TCGA-05-4424-01	901.0	0.966	240.125	26.651%	36.113	25.863%	0.06519	0.94
TCGA-05-4425-01	53.0	0.872	48.29	91.113%	7.932	51.308%	1.04393	0.854
TCGA-05-4426-01	55.0	0.748	53.845	97.9%	7.478	68.551%	0.88985	0.648
TCGA-05-4427-01	1250.0	0.949	424.624	33.97%	59.118	32.488%	0.1109	0.901
TCGA-05-4430-01	341.0	0.919	144.563	42.394%	20.815	39.758%	0.1996	0.852
TCGA-05-4432-01	753.0	0.949	238.319	31.649%	34.358	31.825%	0.09935	0.895
TCGA-05-4433-01	45.0	0.895	37.671	83.713%	5.812	48.266%	0.95711	0.879
TCGA-05-4434-01	59.0	0.729	54.399	92.202%	8.134	68.992%	0.77708	0.611
TCGA-05-5420-01	116.0	0.847	74.743	64.434%	9.983	53.514%	0.41236	0.729
TCGA-05-5423-01	187.0	0.854	112.234	60.018%	16.364	52.193%	0.3212	0.758
TCGA-05-5425-01	719.0	0.924	303.575	42.222%	41.383	38.726%	0.14515	0.855
TCGA-05-5428-01	475.0	0.959	175.096	36.862%	24.177	28.353%	0.14928	0.94
TCGA-05-5429-01	44.0	0.911	32.365	73.557%	4.932	41.984%	0.78924	0.895
TCGA-05-5715-01	151.0	0.942	79.341	52.544%	13.242	34.271%	0.36872	0.931
TCGA-35-3615-01	146.0	0.934	72.329	49.54%	10.11	35.655%	0.31285	0.908
TCGA-35-4122-01	412.0	0.88	191.536	46.489%	26.751	47.724%	0.16871	0.702
TCGA-35-4123-01	369.0	0.939	151.101	40.949%	20.185	34.561%	0.17437	0.894
TCGA-35-5375-01	523.0	0.906	223.363	42.708%	29.83	42.811%	0.17392	0.764
TCGA-38-4625-01	765.0	0.951	278.046	36.346%	40.713	30.883%	0.1145	0.924
TCGA-38-4626-01	325.0	0.913	152.063	46.789%	22.339	41.095%	0.22531	0.86
TCGA-38-4627-01	36.0	0.619	44.765	124.347%	7.254	79.148%	1.28969	0.519
TCGA-38-4628-01	149.0	0.767	103.446	69.427%	15.608	64.753%	0.4868	0.576
TCGA-38-4629-01	350.0	0.919	146.242	41.783%	19.937	39.543%	0.18413	0.833
TCGA-38-4630-01	165.0	0.93	92.25	55.909%	13.909	40.751%	0.40891	0.913
TCGA-38-4631-01	927.0	0.941	338.25	36.489%	50.246	34.43%	0.12698	0.9
TCGA-38-4632-01	655.0	0.945	223.735	34.158%	31.756	33.24%	0.11055	0.894
TCGA-38-6178-01	91.0	0.809	68.688	75.481%	8.731	58.999%	0.53339	0.659
TCGA-38-7271-01	116.0	0.885	76.148	65.645%	11.57	46.541%	0.45042	0.848
TCGA-38-A44F-01	18.0	0.69	21.963	122.017%	3.394	72.36%	1.26027	0.618
TCGA-44-2655-01	228.0	0.922	106.684	46.791%	15.009	38.883%	0.23084	0.876
TCGA-44-2656-01	1058.0	0.952	375.532	35.495%	52.54	30.657%	0.11245	0.921
TCGA-44-2657-01	522.0	0.961	175.132	33.55%	23.039	27.76%	0.12084	0.933
TCGA-44-2659-01	508.0	0.938	199.169	39.206%	30.032	34.893%	0.17952	0.901
TCGA-44-2661-01	50.0	0.62	57.345	114.69%	7.685	78.435%	0.99162	0.395
TCGA-44-2662-01	268.0	0.966	103.683	38.688%	16.57	26.16%	0.20615	0.959
TCGA-44-2665-01	61.0	0.857	46.781	76.69%	6.667	51.591%	0.65187	0.81
TCGA-44-2666-01	43.0	0.659	46.987	109.272%	6.458	76.642%	0.95518	0.495
TCGA-44-2668-01	443.0	0.938	171.191	38.644%	24.941	34.839%	0.14664	0.896
TCGA-44-3396-01	245.0	0.905	131.465	53.659%	20.912	43.69%	0.32802	0.869
TCGA-44-3398-01	248.0	0.902	120.928	48.761%	17.991	44.104%	0.24554	0.841
TCGA-44-3917-01	274.0	0.918	129.212	47.158%	17.515	39.623%	0.23489	0.86
TCGA-44-3918-01	1181.0	0.948	425.943	36.066%	64.185	31.957%	0.13535	0.917
TCGA-44-3919-01	69.0	0.855	50.61	73.348%	7.089	54.211%	0.58817	0.796
TCGA-44-4112-01	609.0	0.949	193.863	31.833%	30.7	32.058%	0.1073	0.911
TCGA-44-5643-01	162.0	0.774	115.485	71.287%	17.974	63.949%	0.45562	0.63
TCGA-44-5644-01	1171.0	0.95	412.335	35.212%	57.542	31.392%	0.10891	0.914
TCGA-44-5645-01	44.0	0.682	50.495	114.761%	7.602	73.15%	1.03724	0.585
TCGA-44-6144-01	284.0	0.886	130.19	45.842%	19.462	46.982%	0.22271	0.768
TCGA-44-6145-01	392.0	0.923	175.409	44.747%	26.077	38.532%	0.20122	0.88
TCGA-44-6146-01	47.0	0.797	44.866	95.46%	7.164	62.12%	0.90925	0.752
TCGA-44-6147-01	161.0	0.845	101.598	63.104%	15.038	55.773%	0.41463	0.754
TCGA-44-6148-01	8.0	0.402	13.28	166.0%	2.59	91.57%	2.37409	0.293
TCGA-44-6774-01	370.0	0.924	153.549	41.5%	23.958	38.383%	0.1729	0.878
TCGA-44-6775-01	86.0	0.705	71.982	83.7%	9.913	71.171%	0.5808	0.423
TCGA-44-6776-01	251.0	0.869	139.16	55.442%	20.38	49.619%	0.27017	0.776
TCGA-44-6777-01	479.0	0.961	147.525	30.799%	20.82	28.015%	0.11746	0.932
TCGA-44-6778-01	487.0	0.93	186.361	38.267%	26.804	37.11%	0.14448	0.863
TCGA-44-6779-01	125.0	0.834	86.82	69.456%	12.157	55.316%	0.48021	0.737
TCGA-44-7659-01	183.0	0.83	109.721	59.957%	16.397	55.881%	0.33964	0.692
TCGA-44-7660-01	469.0	0.886	208.225	44.398%	28.038	46.685%	0.18258	0.657
TCGA-44-7661-01	342.0	0.926	136.133	39.805%	20.241	38.375%	0.16322	0.867
TCGA-44-7662-01	715.0	0.956	208.637	29.18%	31.449	29.625%	0.09012	0.917
TCGA-44-7667-01	579.0	0.908	257.329	44.444%	36.913	43.177%	0.17199	0.824
TCGA-44-7669-01	561.0	0.937	206.692	36.843%	28.311	35.107%	0.13381	0.871
TCGA-44-7670-01	1334.0	0.969	377.083	28.267%	53.271	24.874%	0.08336	0.947
TCGA-44-7671-01	291.0	0.865	150.77	51.811%	21.294	50.743%	0.25786	0.717
TCGA-44-7672-01	197.0	0.831	124.654	63.276%	17.516	56.269%	0.35479	0.695
TCGA-44-8117-01	930.0	0.965	260.103	27.968%	39.22	26.394%	0.08978	0.941
TCGA-44-8119-01	773.0	0.949	241.446	31.235%	36.075	32.524%	0.09113	0.901
TCGA-44-8120-01	745.0	0.925	305.205	40.967%	46.404	38.458%	0.15875	0.874
TCGA-44-A479-01	377.0	0.934	167.726	44.49%	22.692	36.028%	0.21243	0.893
TCGA-44-A47A-01	271.0	0.937	117.219	43.254%	17.787	35.011%	0.21408	0.91
TCGA-44-A47B-01	60.0	0.864	43.974	73.29%	6.282	50.296%	0.61208	0.817
TCGA-44-A47F-01	113.0	0.87	74.737	66.139%	9.939	49.266%	0.43111	0.8
TCGA-44-A47G-01	101.0	0.888	55.672	55.121%	7.29	46.574%	0.45471	0.797
TCGA-44-A4SS-01	594.0	0.945	200.464	33.748%	27.964	33.173%	0.10893	0.886
TCGA-44-A4SU-01	187.0	0.879	101.464	54.259%	13.757	47.665%	0.28996	0.772
TCGA-49-4486-01	213.0	0.957	104.872	49.236%	15.688	29.77%	0.33504	0.949
TCGA-49-4487-01	432.0	0.925	183.394	42.452%	24.988	38.429%	0.19497	0.86
TCGA-49-4488-01	367.0	0.938	142.624	38.862%	20.586	35.31%	0.14699	0.894
TCGA-49-4490-01	68.0	0.882	47.693	70.137%	6.837	47.406%	0.49655	0.844
TCGA-49-4494-01	232.0	0.871	132.896	57.283%	18.863	49.165%	0.2908	0.782
TCGA-49-4501-01	72.0	0.873	56.797	78.885%	8.649	49.443%	0.65211	0.844
TCGA-49-4505-01	274.0	0.881	139.369	50.865%	20.699	47.412%	0.24219	0.789
TCGA-49-4506-01	140.0	0.817	97.762	69.83%	13.481	57.799%	0.43723	0.685
TCGA-49-4507-01	249.0	0.893	129.061	51.832%	17.699	46.496%	0.28195	0.809
TCGA-49-4510-01	66.0	0.633	60.456	91.6%	8.367	77.686%	0.79653	0.215
