Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E
TCGA-05-4244-01	156	55	13	30	6
TCGA-05-4249-01	232	62	35	32	24
TCGA-05-4250-01	229	79	58	30	38
TCGA-05-4382-01	1732	10	233	68	67
TCGA-05-4384-01	81	38	12	18	15
TCGA-05-4389-01	82	49	101	48	16
TCGA-05-4390-01	538	63	11	40	42
TCGA-05-4395-01	151	27	112	25	33
TCGA-05-4396-01	196	60	21	30	27
TCGA-05-4397-01	515	242	186	35	41
TCGA-05-4398-01	544	161	115	67	41
TCGA-05-4402-01	5	34	108	6	2
TCGA-05-4403-01	64	40	5	40	19
TCGA-05-4405-01	300	76	29	46	31
TCGA-05-4410-01	863	227	175	39	44
TCGA-05-4415-01	172	42	6	16	14
TCGA-05-4417-01	236	77	12	21	6
TCGA-05-4418-01	181	73	15	23	42
TCGA-05-4420-01	245	58	19	27	22
TCGA-05-4422-01	11	3	21	9	10
TCGA-05-4424-01	605	88	133	39	36
TCGA-05-4425-01	0	0	0	45	8
TCGA-05-4426-01	7	19	7	20	2
TCGA-05-4427-01	824	240	84	44	58
TCGA-05-4430-01	231	55	22	22	11
TCGA-05-4432-01	442	192	32	39	48
TCGA-05-4433-01	0	0	0	45	0
TCGA-05-4434-01	1	23	11	13	11
TCGA-05-5420-01	48	26	4	22	16
TCGA-05-5423-01	111	16	20	33	7
TCGA-05-5425-01	452	157	43	33	34
TCGA-05-5428-01	259	0	147	25	44
TCGA-05-5429-01	1	2	6	32	3
TCGA-05-5715-01	15	2	100	33	1
TCGA-35-3615-01	62	0	52	19	13
TCGA-35-4122-01	145	165	50	23	29
TCGA-35-4123-01	258	55	14	22	20
TCGA-35-5375-01	249	155	55	44	20
TCGA-38-4625-01	580	0	148	0	37
TCGA-38-4626-01	248	39	21	3	14
TCGA-38-4627-01	7	7	3	11	8
TCGA-38-4628-01	40	48	21	31	9
TCGA-38-4629-01	156	86	42	31	35
TCGA-38-4630-01	26	4	74	42	19
TCGA-38-4631-01	681	164	26	20	36
TCGA-38-4632-01	385	150	36	27	57
TCGA-38-6178-01	21	27	12	15	16
TCGA-38-7271-01	52	12	46	5	1
TCGA-38-A44F-01	2	5	1	7	3
TCGA-44-2655-01	184	4	12	11	17
TCGA-44-2656-01	817	97	20	65	59
TCGA-44-2657-01	366	41	55	41	19
TCGA-44-2659-01	411	10	19	45	23
TCGA-44-2661-01	3	27	7	8	5
TCGA-44-2662-01	47	39	167	8	7
TCGA-44-2665-01	0	25	19	17	0
TCGA-44-2666-01	0	20	9	14	0
TCGA-44-2668-01	287	53	77	11	15
TCGA-44-3396-01	58	37	105	37	8
TCGA-44-3398-01	106	39	78	25	0
TCGA-44-3917-01	152	54	24	16	28
TCGA-44-3918-01	952	51	103	40	35
TCGA-44-3919-01	5	24	23	8	9
TCGA-44-4112-01	386	35	124	39	25
TCGA-44-5643-01	44	42	29	26	21
TCGA-44-5644-01	840	166	66	62	37
TCGA-44-5645-01	0	31	0	9	4
TCGA-44-6144-01	153	74	23	19	15
TCGA-44-6145-01	312	44	14	12	10
TCGA-44-6146-01	0	13	0	19	15
TCGA-44-6147-01	110	13	6	13	19
TCGA-44-6148-01	0	0	0	4	4
TCGA-44-6774-01	298	42	7	10	13
TCGA-44-6775-01	22	33	11	11	9
TCGA-44-6776-01	177	29	12	19	14
TCGA-44-6777-01	233	56	108	32	50
TCGA-44-6778-01	296	129	18	26	18
TCGA-44-6779-01	48	28	11	28	10
TCGA-44-7659-01	103	48	12	8	12
TCGA-44-7660-01	170	216	41	31	11
TCGA-44-7661-01	185	53	77	14	13
TCGA-44-7662-01	434	129	87	26	39
TCGA-44-7667-01	363	118	23	49	26
TCGA-44-7669-01	329	153	11	31	37
TCGA-44-7670-01	956	71	192	49	66
TCGA-44-7671-01	154	74	16	23	24
TCGA-44-7672-01	118	45	14	8	12
TCGA-44-8117-01	711	89	44	58	28
TCGA-44-8119-01	492	143	27	76	35
TCGA-44-8120-01	566	82	35	35	27
TCGA-44-A479-01	302	9	25	27	14
TCGA-44-A47A-01	68	54	109	31	9
TCGA-44-A47B-01	16	7	3	26	8
TCGA-44-A47F-01	26	22	21	30	14
TCGA-44-A47G-01	22	29	22	15	13
TCGA-44-A4SS-01	314	148	74	25	33
TCGA-44-A4SU-01	87	47	6	32	15
TCGA-49-4486-01	28	30	135	6	14
TCGA-49-4487-01	244	90	71	9	18
TCGA-49-4488-01	262	42	38	14	11
TCGA-49-4490-01	0	20	22	26	0
TCGA-49-4494-01	143	39	14	26	10
TCGA-49-4501-01	2	2	16	44	8
TCGA-49-4505-01	157	44	25	43	5
TCGA-49-4506-01	73	36	5	19	7
TCGA-49-4507-01	97	51	53	27	21
TCGA-49-4510-01	20	32	6	4	4
TCGA-49-4512-01	7	15	6	21	6
TCGA-49-4514-01	186	34	126	30	37
TCGA-49-6742-01	54	51	176	34	39
TCGA-49-6743-01	400	204	239	31	71
TCGA-49-6744-01	202	50	7	5	21
TCGA-49-6745-01	1	8	95	41	25
TCGA-49-6761-01	75	27	97	29	18
TCGA-49-6767-01	407	92	43	30	22
TCGA-49-AAQV-01	0	30	45	13	0
TCGA-49-AAR0-01	79	32	23	23	19
TCGA-49-AAR2-01	387	41	13	21	26
TCGA-49-AAR3-01	79	49	17	22	4
