Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
TCGA-05-4244-01	260.0	0.932	107.438	41.322%	14.366	36.164%	0.1758	0.874
TCGA-05-4249-01	385.0	0.936	150.751	39.156%	20.467	35.178%	0.15976	0.879
TCGA-05-4250-01	434.0	0.932	156.288	36.011%	23.367	36.16%	0.14699	0.868
TCGA-05-4382-01	2110.0	0.991	303.269	14.373%	45.919	13.04%	0.02891	0.986
TCGA-05-4384-01	164.0	0.886	87.351	53.263%	11.426	46.339%	0.28609	0.776
TCGA-05-4389-01	296.0	0.937	126.694	42.802%	17.582	35.122%	0.20263	0.899
TCGA-05-4390-01	694.0	0.971	175.641	25.309%	26.877	24.094%	0.08608	0.951
TCGA-05-4395-01	348.0	0.958	117.378	33.729%	17.468	28.826%	0.16206	0.935
TCGA-05-4396-01	334.0	0.887	150.624	45.097%	23.095	46.583%	0.24078	0.777
TCGA-05-4397-01	1019.0	0.975	224.398	22.021%	32.481	22.332%	0.05187	0.948
TCGA-05-4398-01	928.0	0.973	226.148	24.369%	31.318	22.952%	0.06059	0.948
TCGA-05-4402-01	155.0	0.955	72.017	46.463%	11.685	29.594%	0.30889	0.947
TCGA-05-4403-01	168.0	0.863	96.563	57.478%	13.626	50.571%	0.34631	0.755
TCGA-05-4405-01	482.0	0.966	133.052	27.604%	17.863	26.145%	0.08472	0.931
TCGA-05-4410-01	1348.0	0.985	243.485	18.063%	34.459	17.008%	0.03313	0.973
TCGA-05-4415-01	250.0	0.952	97.598	39.039%	12.66	30.832%	0.18282	0.923
TCGA-05-4417-01	352.0	0.934	139.89	39.741%	19.574	35.725%	0.15229	0.881
TCGA-05-4418-01	334.0	0.912	155.217	46.472%	20.767	40.98%	0.21156	0.833
TCGA-05-4420-01	371.0	0.947	132.236	35.643%	18.201	32.251%	0.135	0.901
TCGA-05-4422-01	54.0	0.805	47.878	88.663%	7.56	59.397%	0.82036	0.752
TCGA-05-4424-01	901.0	0.98	189.991	21.087%	27.72	19.852%	0.04911	0.965
TCGA-05-4425-01	53.0	0.861	46.334	87.423%	7.903	51.12%	0.92975	0.841
TCGA-05-4426-01	55.0	0.802	50.448	91.724%	6.524	59.805%	0.75942	0.719
TCGA-05-4427-01	1250.0	0.983	254.63	20.37%	33.246	18.27%	0.05268	0.967
TCGA-05-4430-01	341.0	0.94	129.558	37.994%	17.867	34.127%	0.15374	0.89
TCGA-05-4432-01	753.0	0.972	179.273	23.808%	25.23	23.37%	0.06018	0.943
TCGA-05-4433-01	45.0	0.869	36.591	81.313%	6.738	55.956%	1.27854	0.851
TCGA-05-4434-01	59.0	0.765	53.829	91.236%	7.589	64.369%	0.69076	0.663
TCGA-05-5420-01	116.0	0.877	67.518	58.205%	8.983	48.154%	0.36286	0.783
TCGA-05-5423-01	187.0	0.891	94.186	50.367%	14.211	45.326%	0.24653	0.821
TCGA-05-5425-01	719.0	0.964	200.916	27.944%	28.431	26.606%	0.07781	0.931
TCGA-05-5428-01	475.0	0.955	148.518	31.267%	25.26	29.623%	0.11196	0.933
TCGA-05-5429-01	44.0	0.884	36.91	83.886%	5.485	46.691%	0.82485	0.863
TCGA-05-5715-01	151.0	0.975	56.57	37.464%	8.658	22.407%	0.23187	0.97
TCGA-35-3615-01	146.0	0.923	70.513	48.297%	10.912	38.484%	0.29324	0.892
TCGA-35-4122-01	412.0	0.922	155.127	37.652%	21.71	38.731%	0.1213	0.811
TCGA-35-4123-01	369.0	0.951	133.636	36.216%	18.016	30.847%	0.13818	0.915
TCGA-35-5375-01	523.0	0.956	156.385	29.902%	20.622	29.596%	0.09994	0.89
TCGA-38-4625-01	765.0	0.969	215.935	28.227%	32.531	24.677%	0.09583	0.952
TCGA-38-4626-01	325.0	0.936	131.975	40.608%	19.193	35.307%	0.17927	0.895
TCGA-38-4627-01	36.0	0.616	43.267	120.186%	7.222	78.798%	1.06478	0.51
TCGA-38-4628-01	149.0	0.822	94.283	63.277%	13.716	56.904%	0.38453	0.68
TCGA-38-4629-01	350.0	0.935	129.479	36.994%	17.853	35.41%	0.15378	0.865
TCGA-38-4630-01	165.0	0.946	82.588	50.053%	11.101	32.524%	0.31922	0.929
TCGA-38-4631-01	927.0	0.975	211.278	22.792%	32.229	22.085%	0.06554	0.957
TCGA-38-4632-01	655.0	0.964	179.702	27.435%	25.489	26.68%	0.07733	0.928
TCGA-38-6178-01	91.0	0.831	63.963	70.289%	8.248	55.735%	0.47072	0.701
TCGA-38-7271-01	116.0	0.854	81.398	70.171%	12.988	52.245%	0.44844	0.806
TCGA-38-A44F-01	18.0	0.677	22.471	124.839%	3.458	73.725%	1.23142	0.602
TCGA-44-2655-01	228.0	0.939	90.934	39.883%	13.272	34.383%	0.19716	0.904
TCGA-44-2656-01	1058.0	0.975	244.448	23.105%	38.061	22.208%	0.05209	0.958
TCGA-44-2657-01	522.0	0.963	157.091	30.094%	22.318	26.891%	0.09181	0.936
TCGA-44-2659-01	508.0	0.968	146.784	28.894%	21.712	25.226%	0.11269	0.949
TCGA-44-2661-01	50.0	0.713	51.456	102.912%	6.89	70.321%	0.80503	0.575
TCGA-44-2662-01	268.0	0.98	82.126	30.644%	12.558	19.826%	0.15163	0.976
TCGA-44-2665-01	61.0	0.779	55.621	91.182%	8.097	62.656%	0.73096	0.699
TCGA-44-2666-01	43.0	0.732	42.801	99.537%	5.758	68.335%	0.79488	0.605
TCGA-44-2668-01	443.0	0.94	152.615	34.45%	24.374	34.047%	0.11685	0.898
TCGA-44-3396-01	245.0	0.935	111.086	45.341%	17.043	35.607%	0.22974	0.909
TCGA-44-3398-01	248.0	0.927	110.398	44.515%	15.359	37.652%	0.20384	0.878
TCGA-44-3917-01	274.0	0.914	125.704	45.877%	18.064	40.865%	0.22163	0.854
TCGA-44-3918-01	1181.0	0.98	260.794	22.082%	39.788	19.81%	0.05176	0.969
TCGA-44-3919-01	69.0	0.847	51.106	74.067%	6.958	53.209%	0.509	0.776
TCGA-44-4112-01	609.0	0.97	159.4	26.174%	23.414	24.449%	0.0755	0.947
TCGA-44-5643-01	162.0	0.839	98.899	61.049%	15.295	54.417%	0.3406	0.741
TCGA-44-5644-01	1171.0	0.985	233.003	19.898%	31.928	17.418%	0.04598	0.974
TCGA-44-5645-01	44.0	0.648	53.39	121.341%	7.985	76.836%	1.03402	0.555
TCGA-44-6144-01	284.0	0.933	107.292	37.779%	14.922	36.022%	0.15437	0.864
TCGA-44-6145-01	392.0	0.945	159.038	40.571%	22.24	32.863%	0.16239	0.914
TCGA-44-6146-01	47.0	0.795	44.481	94.64%	6.998	60.68%	0.78056	0.746
TCGA-44-6147-01	161.0	0.888	88.563	55.008%	12.397	45.978%	0.31347	0.816
TCGA-44-6148-01	8.0	0.407	11.504	143.8%	2.704	95.601%	2.71191	0.33
TCGA-44-6774-01	370.0	0.951	127.47	34.451%	19.303	30.925%	0.12619	0.922
TCGA-44-6775-01	86.0	0.794	61.682	71.723%	8.475	60.847%	0.48722	0.621
TCGA-44-6776-01	251.0	0.918	111.845	44.56%	16.33	39.758%	0.1977	0.861
TCGA-44-6777-01	479.0	0.963	146.555	30.596%	20.166	27.135%	0.11249	0.933
TCGA-44-6778-01	487.0	0.96	141.611	29.078%	20.267	28.059%	0.09459	0.923
TCGA-44-6779-01	125.0	0.843	87.622	70.098%	11.902	54.156%	0.4158	0.755
TCGA-44-7659-01	183.0	0.886	87.512	47.821%	13.614	46.396%	0.25845	0.801
TCGA-44-7660-01	469.0	0.929	159.601	34.03%	22.241	37.032%	0.10684	0.792
TCGA-44-7661-01	342.0	0.945	116.696	34.122%	17.354	32.902%	0.12789	0.899
TCGA-44-7662-01	715.0	0.976	165.772	23.185%	22.98	21.647%	0.06054	0.955
TCGA-44-7667-01	579.0	0.956	177.243	30.612%	25.21	29.488%	0.09644	0.913
TCGA-44-7669-01	561.0	0.967	153.364	27.338%	20.599	25.544%	0.09144	0.932
TCGA-44-7670-01	1334.0	0.979	285.605	21.41%	44.123	20.602%	0.05596	0.964
TCGA-44-7671-01	291.0	0.915	117.864	40.503%	16.978	40.458%	0.18327	0.821
TCGA-44-7672-01	197.0	0.889	103.389	52.482%	14.261	45.813%	0.25489	0.8
TCGA-44-8117-01	930.0	0.991	147.057	15.813%	19.491	13.117%	0.03586	0.985
TCGA-44-8119-01	773.0	0.973	175.93	22.759%	25.813	23.272%	0.05036	0.946
TCGA-44-8120-01	745.0	0.968	196.61	26.391%	30.268	25.085%	0.07942	0.946
TCGA-44-A479-01	377.0	0.95	129.596	34.376%	19.779	31.403%	0.14664	0.919
TCGA-44-A47A-01	271.0	0.939	108.995	40.22%	17.508	34.462%	0.17142	0.912
TCGA-44-A47B-01	60.0	0.869	44.979	74.965%	6.218	49.784%	0.59914	0.824
TCGA-44-A47F-01	113.0	0.88	73.178	64.759%	9.591	47.541%	0.4205	0.817
TCGA-44-A47G-01	101.0	0.889	56.675	56.114%	7.188	45.922%	0.39211	0.796
TCGA-44-A4SS-01	594.0	0.959	172.95	29.116%	23.781	28.211%	0.07942	0.914
TCGA-44-A4SU-01	187.0	0.886	92.521	49.476%	13.399	46.425%	0.26654	0.786
TCGA-49-4486-01	213.0	0.969	92.286	43.327%	13.141	24.937%	0.22561	0.962
TCGA-49-4487-01	432.0	0.95	155.851	36.077%	20.236	31.121%	0.13839	0.906
TCGA-49-4488-01	367.0	0.956	119.164	32.47%	17.202	29.506%	0.11657	0.923
TCGA-49-4490-01	68.0	0.88	49.533	72.843%	6.851	47.503%	0.52869	0.841
TCGA-49-4494-01	232.0	0.909	108.418	46.732%	16.054	41.844%	0.20839	0.851
TCGA-49-4501-01	72.0	0.868	56.783	78.865%	8.713	49.809%	0.63932	0.837
TCGA-49-4505-01	274.0	0.924	117.475	42.874%	16.747	38.36%	0.18069	0.868
TCGA-49-4506-01	140.0	0.834	90.333	64.524%	12.867	55.167%	0.39513	0.717
TCGA-49-4507-01	249.0	0.92	114.986	46.179%	14.957	39.293%	0.2313	0.85
TCGA-49-4510-01	66.0	0.666	58.765	89.038%	8.064	74.872%	0.72568	0.328
TCGA-49-4512-01	55.0	0.799	47.789	86.889%	6.999	60.238%	0.65371	0.729
TCGA-49-4514-01	413.0	0.97	128.666	31.154%	17.49	24.585%	0.10888	0.953
TCGA-49-6742-01	354.0	0.938	165.139	46.649%	26.835	34.777%	0.31236	0.919
TCGA-49-6743-01	945.0	0.97	255.35	27.021%	36.007	24.497%	0.07691	0.946
TCGA-49-6744-01	285.0	0.958	99.587	34.943%	13.089	28.665%	0.15449	0.929
TCGA-49-6745-01	170.0	0.953	77.6	45.647%	12.469	30.349%	0.28878	0.943
TCGA-49-6761-01	246.0	0.949	101.552	41.281%	14.344	31.604%	0.20076	0.925
TCGA-49-6767-01	594.0	0.968	162.091	27.288%	23.014	25.119%	0.08428	0.942
TCGA-49-AAQV-01	88.0	0.882	66.263	75.299%	9.749	47.345%	0.53222	0.852
TCGA-49-AAR0-01	176.0	0.846	104.079	59.136%	14.371	53.858%	0.35758	0.7
TCGA-49-AAR2-01	488.0	0.959	149.857	30.708%	23.296	28.347%	0.11152	0.934
TCGA-49-AAR3-01	171.0	0.901	81.027	47.384%	11.049	43.438%	0.24491	0.803
TCGA-49-AAR4-01	712.0	0.973	169.757	23.842%	26.234	23.082%	0.07105	0.954
TCGA-49-AAR9-01	808.0	0.973	208.121	25.758%	29.351	23.24%	0.06987	0.953
TCGA-49-AARE-01	1671.0	0.988	280.864	16.808%	41.467	15.687%	0.03136	0.979
TCGA-49-AARN-01	932.0	0.752	549.571	58.967%	100.276	66.232%	0.42319	0.541
TCGA-49-AARO-01	738.0	0.98	180.837	24.504%	26.289	19.981%	0.06925	0.97
TCGA-49-AARQ-01	889.0	0.979	203.694	22.913%	29.172	20.321%	0.05739	0.965
TCGA-49-AARR-01	3.0	0.457	4.56	152.0%	1.545	89.201%	2.62459	0.429
TCGA-4B-A93V-01	171.0	0.914	76.564	44.774%	10.313	40.482%	0.22972	0.831
TCGA-50-5044-01	171.0	0.966	68.507	40.063%	12.738	26.083%	0.21276	0.961
TCGA-50-5045-01	370.0	0.956	124.471	33.641%	19.141	29.43%	0.13519	0.932
TCGA-50-5049-01	1004.0	0.973	250.127	24.913%	36.159	23.281%	0.06342	0.951
TCGA-50-5051-01	139.0	0.842	89.198	64.171%	12.629	54.097%	0.39619	0.736
TCGA-50-5055-01	22.0	0.59	30.311	137.777%	5.358	80.775%	1.3497	0.514
TCGA-50-5066-01	345.0	0.942	111.738	32.388%	16.332	33.769%	0.11694	0.872
TCGA-50-5068-01	118.0	0.818	77.92	66.034%	11.017	57.587%	0.40857	0.671
TCGA-50-5072-01	203.0	0.893	104.112	51.287%	14.878	45.002%	0.27338	0.818
TCGA-50-5930-01	1359.0	0.986	250.834	18.457%	37.016	16.594%	0.03245	0.978
TCGA-50-5931-01	381.0	0.953	128.083	33.618%	17.171	30.246%	0.11239	0.91
TCGA-50-5932-01	90.0	0.89	54.269	60.299%	7.844	45.592%	0.39297	0.842
TCGA-50-5933-01	632.0	0.965	166.556	26.354%	23.854	26.282%	0.07691	0.93
TCGA-50-5935-01	123.0	0.93	71.024	57.743%	10.942	37.118%	0.36537	0.914
TCGA-50-5936-01	146.0	0.922	78.93	54.062%	11.261	39.135%	0.36261	0.892
TCGA-50-5939-01	104.0	0.866	67.109	64.528%	9.166	50.005%	0.41719	0.79
TCGA-50-5941-01	482.0	0.956	148.028	30.711%	19.979	29.419%	0.11046	0.908
TCGA-50-5942-01	71.0	0.767	54.517	76.785%	7.084	64.4%	0.55403	0.529
TCGA-50-5944-01	84.0	0.836	62.862	74.836%	8.694	54.986%	0.54856	0.757
TCGA-50-5946-01	816.0	0.973	194.082	23.785%	28.702	22.886%	0.0665	0.952
TCGA-50-6590-01	1084.0	0.978	215.714	19.9%	34.234	20.63%	0.04245	0.961
TCGA-50-6591-01	66.0	0.807	51.472	77.988%	7.467	59.032%	0.64723	0.717
TCGA-50-6592-01	356.0	0.94	132.305	37.164%	17.188	34.024%	0.13525	0.872
TCGA-50-6593-01	390.0	0.939	138.286	35.458%	20.18	34.367%	0.12494	0.884
