Samples	SBS96A	SBS96B
TCGA-3N-A9WB-06	200	21
TCGA-3N-A9WC-06	2491	96
TCGA-3N-A9WD-06	1190	71
TCGA-BF-A1PU-01	81	31
TCGA-BF-A1PV-01	368	23
TCGA-BF-A1PX-01	445	12
TCGA-BF-A1PZ-01	278	55
TCGA-BF-A1Q0-01	844	110
TCGA-BF-A3DJ-01	177	21
TCGA-BF-A3DL-01	567	39
TCGA-BF-A3DM-01	592	58
TCGA-BF-A3DN-01	89	20
TCGA-BF-A5EO-01	788	71
TCGA-BF-A5EP-01	156	68
TCGA-BF-A5EQ-01	763	46
TCGA-BF-A5ER-01	225	51
TCGA-BF-A5ES-01	622	92
TCGA-BF-A9VF-01	96	29
TCGA-BF-AAOU-01	405	47
TCGA-BF-AAOX-01	1593	122
TCGA-BF-AAP0-06	602	40
TCGA-BF-AAP1-01	1164	55
TCGA-BF-AAP2-01	1833	0
TCGA-BF-AAP4-01	1025	99
TCGA-BF-AAP6-01	54	37
TCGA-BF-AAP7-01	516	102
TCGA-BF-AAP8-01	0	14
TCGA-D3-A1Q1-06	2	65
TCGA-D3-A1Q3-06	3	47
TCGA-D3-A1Q4-06	343	28
TCGA-D3-A1Q5-06	443	49
TCGA-D3-A1Q6-06	1023	120
TCGA-D3-A1Q7-06	116	15
TCGA-D3-A1Q8-06	270	54
TCGA-D3-A1Q9-06	5	37
TCGA-D3-A1QA-06	551	53
TCGA-D3-A1QB-06	440	81
TCGA-D3-A2J6-06	9	17
TCGA-D3-A2J7-06	444	31
TCGA-D3-A2J8-06	776	0
TCGA-D3-A2J9-06	69	26
TCGA-D3-A2JA-06	416	78
TCGA-D3-A2JB-06	3	15
TCGA-D3-A2JC-06	230	46
TCGA-D3-A2JD-06	507	45
TCGA-D3-A2JE-06	398	64
TCGA-D3-A2JF-06	1945	29
TCGA-D3-A2JG-06	128	20
TCGA-D3-A2JH-06	734	119
TCGA-D3-A2JK-06	346	61
TCGA-D3-A2JL-06	375	65
TCGA-D3-A2JN-06	382	64
TCGA-D3-A2JO-06	747	94
TCGA-D3-A2JP-06	317	42
TCGA-D3-A3BZ-06	1	80
TCGA-D3-A3C1-06	126	73
TCGA-D3-A3C3-06	234	106
TCGA-D3-A3C6-06	133	22
TCGA-D3-A3C7-06	1189	81
TCGA-D3-A3C8-06	703	0
TCGA-D3-A3CB-06	306	11
TCGA-D3-A3CC-06	10	29
TCGA-D3-A3CE-06	19	21
TCGA-D3-A3CF-06	3	39
TCGA-D3-A3ML-06	1222	46
TCGA-D3-A3MO-06	40	43
TCGA-D3-A3MR-06	1108	69
TCGA-D3-A3MU-06	614	48
TCGA-D3-A3MV-06	704	31
TCGA-D3-A51E-06	290	78
TCGA-D3-A51F-06	136	29
TCGA-D3-A51G-06	1450	240
TCGA-D3-A51H-06	38	2
TCGA-D3-A51J-06	562	51
TCGA-D3-A51K-06	1	31
TCGA-D3-A51N-06	79	40
TCGA-D3-A51R-06	939	29
TCGA-D3-A51T-06	1505	109
TCGA-D3-A5GL-06	450	127
TCGA-D3-A5GN-06	655	14
TCGA-D3-A5GO-06	2176	0
TCGA-D3-A5GR-06	303	49
TCGA-D3-A5GS-06	542	14
TCGA-D3-A5GT-01	0	26
TCGA-D3-A5GU-06	848	171
TCGA-D3-A8GB-06	1354	110
TCGA-D3-A8GC-06	1116	43
TCGA-D3-A8GD-06	64	68
TCGA-D3-A8GE-06	0	8
TCGA-D3-A8GI-06	7232	0
TCGA-D3-A8GJ-06	250	22
TCGA-D3-A8GK-06	741	57
TCGA-D3-A8GL-06	2516	47
TCGA-D3-A8GM-06	3867	1377
TCGA-D3-A8GN-06	312	29
TCGA-D3-A8GO-06	741	59
TCGA-D3-A8GP-06	672	112
TCGA-D3-A8GQ-06	1981	0
TCGA-D3-A8GR-06	440	79
TCGA-D3-A8GS-06	235	58
TCGA-D3-A8GV-06	500	59
TCGA-D9-A148-06	308	78
TCGA-D9-A149-06	264	54
TCGA-D9-A1JW-06	1156	100
TCGA-D9-A1JX-06	206	45
