Samples	SBS96A	SBS96B
TCGA-3N-A9WB-06	5.96E-01	5.97E-01
TCGA-3N-A9WC-06	1.63E+00	1.63E+00
TCGA-3N-A9WD-06	1.55E+00	1.55E+00
TCGA-BF-A1PU-01	5.03E-01	5.01E-01
TCGA-BF-A1PV-01	8.69E-01	8.70E-01
TCGA-BF-A1PX-01	6.85E-01	6.85E-01
TCGA-BF-A1PZ-01	9.58E-01	9.58E-01
TCGA-BF-A1Q0-01	1.43E+00	1.43E+00
TCGA-BF-A3DJ-01	5.52E-01	5.52E-01
TCGA-BF-A3DL-01	1.03E+00	1.03E+00
TCGA-BF-A3DM-01	7.68E-01	7.68E-01
TCGA-BF-A3DN-01	5.85E-01	5.85E-01
TCGA-BF-A5EO-01	1.16E+00	1.17E+00
TCGA-BF-A5EP-01	8.57E-01	8.56E-01
TCGA-BF-A5EQ-01	1.11E+00	1.11E+00
TCGA-BF-A5ER-01	7.89E-01	7.89E-01
TCGA-BF-A5ES-01	1.08E+00	1.07E+00
TCGA-BF-A9VF-01	5.76E-01	5.75E-01
TCGA-BF-AAOU-01	8.31E-01	8.31E-01
TCGA-BF-AAOX-01	1.53E+00	1.53E+00
TCGA-BF-AAP0-06	7.84E-01	7.84E-01
TCGA-BF-AAP1-01	1.26E+00	1.26E+00
TCGA-BF-AAP2-01	1.15E+00	1.15E+00
TCGA-BF-AAP4-01	1.23E+00	1.23E+00
TCGA-BF-AAP6-01	5.39E-01	5.36E-01
TCGA-BF-AAP7-01	1.06E+00	1.06E+00
TCGA-BF-AAP8-01	1.18E-01	1.18E-01
TCGA-D3-A1Q1-06	3.70E-01	3.70E-01
TCGA-D3-A1Q3-06	3.49E-01	3.49E-01
TCGA-D3-A1Q4-06	1.02E+00	1.02E+00
TCGA-D3-A1Q5-06	9.91E-01	9.91E-01
TCGA-D3-A1Q6-06	1.29E+00	1.29E+00
TCGA-D3-A1Q7-06	4.01E-01	4.01E-01
TCGA-D3-A1Q8-06	7.34E-01	7.32E-01
TCGA-D3-A1Q9-06	3.89E-01	3.89E-01
TCGA-D3-A1QA-06	9.71E-01	9.71E-01
TCGA-D3-A1QB-06	1.11E+00	1.11E+00
TCGA-D3-A2J6-06	3.24E-01	3.23E-01
TCGA-D3-A2J7-06	6.77E-01	6.77E-01
TCGA-D3-A2J8-06	1.06E+00	1.06E+00
TCGA-D3-A2J9-06	4.50E-01	4.50E-01
TCGA-D3-A2JA-06	1.12E+00	1.12E+00
TCGA-D3-A2JB-06	1.78E-01	1.77E-01
TCGA-D3-A2JC-06	7.05E-01	7.05E-01
TCGA-D3-A2JD-06	8.05E-01	8.05E-01
TCGA-D3-A2JE-06	8.92E-01	8.93E-01
TCGA-D3-A2JF-06	1.49E+00	1.49E+00
TCGA-D3-A2JG-06	5.08E-01	5.08E-01
TCGA-D3-A2JH-06	1.33E+00	1.33E+00
TCGA-D3-A2JK-06	8.35E-01	8.35E-01
TCGA-D3-A2JL-06	9.03E-01	9.03E-01
TCGA-D3-A2JN-06	9.67E-01	9.67E-01
TCGA-D3-A2JO-06	1.42E+00	1.42E+00
TCGA-D3-A2JP-06	7.34E-01	7.36E-01
TCGA-D3-A3BZ-06	3.37E-01	3.37E-01
TCGA-D3-A3C1-06	8.18E-01	8.17E-01
TCGA-D3-A3C3-06	1.06E+00	1.06E+00
TCGA-D3-A3C6-06	5.86E-01	5.86E-01
TCGA-D3-A3C7-06	1.58E+00	1.58E+00
TCGA-D3-A3C8-06	8.29E-01	8.31E-01
TCGA-D3-A3CB-06	6.54E-01	6.54E-01
TCGA-D3-A3CC-06	3.63E-01	3.63E-01
TCGA-D3-A3CE-06	4.10E-01	4.10E-01
TCGA-D3-A3CF-06	3.89E-01	3.89E-01
TCGA-D3-A3ML-06	1.30E+00	1.30E+00
TCGA-D3-A3MO-06	5.94E-01	5.93E-01
TCGA-D3-A3MR-06	1.31E+00	1.31E+00
TCGA-D3-A3MU-06	1.10E+00	1.10E+00
TCGA-D3-A3MV-06	8.37E-01	8.37E-01
