Samples	SBS96A	SBS96B	SBS96C
TCGA-3N-A9WB-06	195	0	26
TCGA-3N-A9WC-06	2193	380	14
TCGA-3N-A9WD-06	1022	225	14
TCGA-BF-A1PU-01	58	35	19
TCGA-BF-A1PV-01	304	87	0
TCGA-BF-A1PX-01	263	194	0
TCGA-BF-A1PZ-01	129	204	0
TCGA-BF-A1Q0-01	808	37	109
TCGA-BF-A3DJ-01	173	0	25
TCGA-BF-A3DL-01	554	0	52
TCGA-BF-A3DM-01	488	147	15
TCGA-BF-A3DN-01	90	0	19
TCGA-BF-A5EO-01	762	29	68
TCGA-BF-A5EP-01	88	108	28
TCGA-BF-A5EQ-01	634	171	4
TCGA-BF-A5ER-01	179	68	29
TCGA-BF-A5ES-01	503	174	37
TCGA-BF-A9VF-01	49	73	3
TCGA-BF-AAOU-01	339	88	25
TCGA-BF-AAOX-01	1418	231	66
TCGA-BF-AAP0-06	519	110	13
TCGA-BF-AAP1-01	1125	0	94
TCGA-BF-AAP2-01	1316	517	0
TCGA-BF-AAP4-01	708	416	0
TCGA-BF-AAP6-01	56	0	35
TCGA-BF-AAP7-01	406	172	40
TCGA-BF-AAP8-01	0	0	14
TCGA-D3-A1Q1-06	6	0	61
TCGA-D3-A1Q3-06	6	0	44
TCGA-D3-A1Q4-06	286	74	11
TCGA-D3-A1Q5-06	261	231	0
TCGA-D3-A1Q6-06	707	436	0
TCGA-D3-A1Q7-06	84	46	1
TCGA-D3-A1Q8-06	193	120	11
TCGA-D3-A1Q9-06	7	0	35
TCGA-D3-A1QA-06	542	0	62
TCGA-D3-A1QB-06	327	174	20
TCGA-D3-A2J6-06	9	0	17
TCGA-D3-A2J7-06	352	123	0
TCGA-D3-A2J8-06	764	9	3
TCGA-D3-A2J9-06	46	36	13
TCGA-D3-A2JA-06	344	109	41
TCGA-D3-A2JB-06	2	3	13
TCGA-D3-A2JC-06	176	78	22
TCGA-D3-A2JD-06	275	277	0
TCGA-D3-A2JE-06	296	147	19
TCGA-D3-A2JF-06	1568	406	0
TCGA-D3-A2JG-06	106	32	10
TCGA-D3-A2JH-06	633	148	72
TCGA-D3-A2JK-06	255	134	18
TCGA-D3-A2JL-06	318	87	35
TCGA-D3-A2JN-06	341	58	47
TCGA-D3-A2JO-06	652	138	51
TCGA-D3-A2JP-06	288	35	36
TCGA-D3-A3BZ-06	2	7	72
TCGA-D3-A3C1-06	116	24	59
TCGA-D3-A3C3-06	145	142	53
TCGA-D3-A3C6-06	89	61	5
TCGA-D3-A3C7-06	925	345	0
TCGA-D3-A3C8-06	701	0	2
TCGA-D3-A3CB-06	297	0	20
TCGA-D3-A3CC-06	8	7	24
TCGA-D3-A3CE-06	11	15	14
TCGA-D3-A3CF-06	0	9	33
TCGA-D3-A3ML-06	1189	22	57
TCGA-D3-A3MO-06	42	0	41
TCGA-D3-A3MR-06	843	334	0
TCGA-D3-A3MU-06	503	152	7
TCGA-D3-A3MV-06	677	23	35
TCGA-D3-A51E-06	238	84	46
TCGA-D3-A51F-06	64	101	0
TCGA-D3-A51G-06	1090	552	48
TCGA-D3-A51H-06	31	8	1
TCGA-D3-A51J-06	370	243	0
TCGA-D3-A51K-06	0	5	27
TCGA-D3-A51N-06	36	73	10
TCGA-D3-A51R-06	872	71	25
TCGA-D3-A51T-06	1168	446	0
TCGA-D3-A5GL-06	298	245	34
TCGA-D3-A5GN-06	493	176	0
TCGA-D3-A5GO-06	1953	223	0
TCGA-D3-A5GR-06	238	101	13
TCGA-D3-A5GS-06	379	177	0
TCGA-D3-A5GT-01	1	0	25
TCGA-D3-A5GU-06	564	431	24
TCGA-D3-A8GB-06	980	484	0
TCGA-D3-A8GC-06	813	346	0
TCGA-D3-A8GD-06	69	0	63
TCGA-D3-A8GE-06	0	0	8
