Samples	SBS96A	SBS96B	SBS96C
TCGA-3N-A9WB-06	2.07E+00	2.45E+00	7.49E-01
TCGA-3N-A9WC-06	1.83E+01	1.97E+01	2.04E+00
TCGA-3N-A9WD-06	1.21E+01	1.32E+01	1.85E+00
TCGA-BF-A1PU-01	1.69E+00	2.07E+00	6.50E-01
TCGA-BF-A1PV-01	5.37E+00	6.23E+00	1.10E+00
TCGA-BF-A1PX-01	6.17E+00	6.69E+00	7.14E-01
TCGA-BF-A1PZ-01	6.19E+00	6.85E+00	1.08E+00
TCGA-BF-A1Q0-01	5.21E+00	5.16E+00	1.66E+00
TCGA-BF-A3DJ-01	2.08E+00	2.48E+00	6.98E-01
TCGA-BF-A3DL-01	3.67E+00	3.84E+00	1.08E+00
TCGA-BF-A3DM-01	6.57E+00	7.41E+00	1.07E+00
TCGA-BF-A3DN-01	1.46E+00	1.76E+00	6.83E-01
TCGA-BF-A5EO-01	7.64E+00	8.37E+00	1.32E+00
TCGA-BF-A5EP-01	3.24E+00	3.27E+00	8.30E-01
TCGA-BF-A5EQ-01	7.45E+00	8.47E+00	1.51E+00
TCGA-BF-A5ER-01	3.03E+00	3.37E+00	8.19E-01
TCGA-BF-A5ES-01	6.91E+00	7.65E+00	1.28E+00
TCGA-BF-A9VF-01	2.56E+00	3.16E+00	8.01E-01
TCGA-BF-AAOU-01	3.84E+00	4.46E+00	1.04E+00
TCGA-BF-AAOX-01	1.55E+01	1.70E+01	2.15E+00
TCGA-BF-AAP0-06	5.83E+00	6.08E+00	6.79E-01
TCGA-BF-AAP1-01	5.95E+00	6.55E+00	1.43E+00
TCGA-BF-AAP2-01	1.17E+01	1.23E+01	1.30E+00
TCGA-BF-AAP4-01	1.28E+01	1.37E+01	1.56E+00
TCGA-BF-AAP6-01	1.20E+00	1.51E+00	6.44E-01
TCGA-BF-AAP7-01	7.71E+00	8.55E+00	1.36E+00
TCGA-BF-AAP8-01	7.90E-02	2.27E-01	2.34E-01
TCGA-D3-A1Q1-06	3.30E-01	5.41E-01	5.20E-01
TCGA-D3-A1Q3-06	3.63E-01	1.11E+00	9.67E-01
TCGA-D3-A1Q4-06	3.57E+00	4.11E+00	1.17E+00
TCGA-D3-A1Q5-06	6.65E+00	7.92E+00	1.63E+00
TCGA-D3-A1Q6-06	1.43E+01	1.67E+01	2.65E+00
TCGA-D3-A1Q7-06	2.25E+00	2.44E+00	3.71E-01
TCGA-D3-A1Q8-06	4.74E+00	5.43E+00	9.83E-01
TCGA-D3-A1Q9-06	3.91E-01	4.03E-01	4.47E-01
TCGA-D3-A1QA-06	3.78E+00	4.46E+00	1.25E+00
TCGA-D3-A1QB-06	7.25E+00	8.03E+00	1.32E+00
TCGA-D3-A2J6-06	3.57E-01	4.85E-01	3.97E-01
TCGA-D3-A2J7-06	5.31E+00	5.79E+00	7.41E-01
TCGA-D3-A2J8-06	4.82E+00	5.46E+00	1.21E+00
TCGA-D3-A2J9-06	1.94E+00	2.36E+00	6.02E-01
TCGA-D3-A2JA-06	6.12E+00	7.08E+00	1.43E+00
TCGA-D3-A2JB-06	1.61E-01	2.98E-01	2.48E-01
TCGA-D3-A2JC-06	3.52E+00	4.20E+00	1.03E+00
TCGA-D3-A2JD-06	6.92E+00	7.46E+00	8.98E-01
TCGA-D3-A2JE-06	4.26E+00	4.55E+00	8.88E-01
TCGA-D3-A2JF-06	1.69E+01	1.92E+01	2.77E+00
TCGA-D3-A2JG-06	1.63E+00	1.76E+00	4.72E-01
TCGA-D3-A2JH-06	9.40E+00	1.09E+01	2.12E+00
TCGA-D3-A2JK-06	5.24E+00	6.14E+00	1.26E+00
TCGA-D3-A2JL-06	4.69E+00	5.50E+00	1.24E+00
TCGA-D3-A2JN-06	3.97E+00	4.27E+00	1.08E+00
TCGA-D3-A2JO-06	1.04E+01	1.25E+01	2.67E+00
