Samples	SBS96A	SBS96B	SBS96C	SBS96D
TCGA-3N-A9WB-06	193	0	22	6
TCGA-3N-A9WC-06	1987	511	27	62
TCGA-3N-A9WD-06	938	247	20	56
TCGA-BF-A1PU-01	48	40	24	0
TCGA-BF-A1PV-01	281	94	11	5
TCGA-BF-A1PX-01	254	203	0	0
TCGA-BF-A1PZ-01	118	194	21	0
TCGA-BF-A1Q0-01	727	99	62	66
TCGA-BF-A3DJ-01	168	6	24	0
TCGA-BF-A3DL-01	521	28	34	23
TCGA-BF-A3DM-01	441	173	27	9
TCGA-BF-A3DN-01	84	4	12	9
TCGA-BF-A5EO-01	691	96	48	24
TCGA-BF-A5EP-01	81	96	34	13
TCGA-BF-A5EQ-01	577	197	25	10
TCGA-BF-A5ER-01	163	75	35	3
TCGA-BF-A5ES-01	452	204	55	3
TCGA-BF-A9VF-01	45	66	14	0
TCGA-BF-AAOU-01	311	103	38	0
TCGA-BF-AAOX-01	1292	320	74	29
TCGA-BF-AAP0-06	473	135	21	13
TCGA-BF-AAP1-01	1130	0	83	6
TCGA-BF-AAP2-01	1231	602	0	0
TCGA-BF-AAP4-01	658	414	23	29
TCGA-BF-AAP6-01	54	5	32	0
TCGA-BF-AAP7-01	369	180	47	22
TCGA-BF-AAP8-01	0	1	13	0
TCGA-D3-A1Q1-06	2	5	55	5
TCGA-D3-A1Q3-06	3	0	21	26
TCGA-D3-A1Q4-06	267	79	21	4
TCGA-D3-A1Q5-06	236	231	25	0
TCGA-D3-A1Q6-06	644	455	33	11
TCGA-D3-A1Q7-06	76	46	9	0
TCGA-D3-A1Q8-06	175	121	25	3
TCGA-D3-A1Q9-06	6	0	26	10
TCGA-D3-A1QA-06	486	62	54	2
TCGA-D3-A1QB-06	300	171	35	15
TCGA-D3-A2J6-06	10	0	15	1
TCGA-D3-A2J7-06	320	141	10	4
TCGA-D3-A2J8-06	699	64	3	10
TCGA-D3-A2J9-06	41	36	18	0
TCGA-D3-A2JA-06	314	125	47	8
TCGA-D3-A2JB-06	1	3	12	2
TCGA-D3-A2JC-06	155	86	35	0
TCGA-D3-A2JD-06	260	282	7	3
TCGA-D3-A2JE-06	272	137	25	28
TCGA-D3-A2JF-06	1457	496	12	9
TCGA-D3-A2JG-06	97	36	9	6
TCGA-D3-A2JH-06	569	201	80	3
TCGA-D3-A2JK-06	231	139	37	0
TCGA-D3-A2JL-06	289	99	35	17
