Samples	SBS96A	SBS96B	SBS96C	SBS96D
TCGA-3N-A9WB-06	2.28E+00	2.31E+00	6.49E-01	1.44E+00
TCGA-3N-A9WC-06	1.74E+01	1.24E+01	1.49E+00	1.62E+01
TCGA-3N-A9WD-06	8.71E+00	8.09E+00	1.59E+00	7.79E+00
TCGA-BF-A1PU-01	1.94E+00	1.96E+00	5.13E-01	4.43E-01
TCGA-BF-A1PV-01	3.03E+00	3.51E+00	7.21E-01	2.61E+00
TCGA-BF-A1PX-01	4.98E+00	4.40E+00	5.65E-01	3.36E+00
TCGA-BF-A1PZ-01	4.30E+00	4.05E+00	7.97E-01	2.75E+00
TCGA-BF-A1Q0-01	5.58E+00	5.02E+00	1.67E+00	4.16E+00
TCGA-BF-A3DJ-01	2.02E+00	1.92E+00	6.87E-01	1.24E+00
TCGA-BF-A3DL-01	3.87E+00	3.50E+00	1.10E+00	3.45E+00
TCGA-BF-A3DM-01	5.64E+00	4.66E+00	6.86E-01	4.11E+00
TCGA-BF-A3DN-01	1.42E+00	1.52E+00	7.41E-01	1.18E+00
TCGA-BF-A5EO-01	7.74E+00	6.52E+00	8.75E-01	6.29E+00
TCGA-BF-A5EP-01	2.78E+00	2.56E+00	8.45E-01	1.36E+00
TCGA-BF-A5EQ-01	6.19E+00	5.16E+00	1.02E+00	4.92E+00
TCGA-BF-A5ER-01	3.08E+00	2.85E+00	6.93E-01	1.53E+00
TCGA-BF-A5ES-01	6.42E+00	5.22E+00	1.03E+00	5.28E+00
TCGA-BF-A9VF-01	1.67E+00	1.60E+00	5.32E-01	9.52E-01
TCGA-BF-AAOU-01	3.61E+00	2.96E+00	8.03E-01	2.52E+00
TCGA-BF-AAOX-01	1.04E+01	8.65E+00	1.56E+00	9.41E+00
TCGA-BF-AAP0-06	5.17E+00	4.86E+00	5.52E-01	3.59E+00
TCGA-BF-AAP1-01	8.61E+00	6.24E+00	1.53E+00	7.17E+00
TCGA-BF-AAP2-01	1.56E+01	1.10E+01	1.08E+00	1.32E+01
TCGA-BF-AAP4-01	8.94E+00	7.53E+00	1.12E+00	7.38E+00
TCGA-BF-AAP6-01	1.36E+00	1.20E+00	5.91E-01	6.97E-01
