Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E
TCGA-3N-A9WB-06	166	0	37	17	1
TCGA-3N-A9WC-06	1894	491	128	19	55
TCGA-3N-A9WD-06	804	199	230	5	23
TCGA-BF-A1PU-01	49	35	6	22	0
TCGA-BF-A1PV-01	222	68	101	0	0
TCGA-BF-A1PX-01	203	150	104	0	0
TCGA-BF-A1PZ-01	109	155	53	16	0
TCGA-BF-A1Q0-01	699	111	27	57	60
TCGA-BF-A3DJ-01	143	5	32	18	0
TCGA-BF-A3DL-01	475	36	54	26	15
TCGA-BF-A3DM-01	437	163	11	25	14
TCGA-BF-A3DN-01	74	6	16	8	5
TCGA-BF-A5EO-01	640	98	64	38	19
TCGA-BF-A5EP-01	82	79	17	31	15
TCGA-BF-A5EQ-01	524	169	96	17	3
TCGA-BF-A5ER-01	146	62	36	29	3
TCGA-BF-A5ES-01	439	188	31	48	8
TCGA-BF-A9VF-01	41	52	21	11	0
TCGA-BF-AAOU-01	252	74	101	25	0
TCGA-BF-AAOX-01	1170	287	197	49	12
TCGA-BF-AAP0-06	433	116	72	13	8
TCGA-BF-AAP1-01	1085	47	1	73	13
TCGA-BF-AAP2-01	1103	491	239	0	0
TCGA-BF-AAP4-01	603	344	146	12	19
TCGA-BF-AAP6-01	47	14	0	29	1
TCGA-BF-AAP7-01	348	162	51	36	21
TCGA-BF-AAP8-01	0	1	0	12	1
TCGA-D3-A1Q1-06	3	5	1	51	7
TCGA-D3-A1Q3-06	4	0	4	20	22
TCGA-D3-A1Q4-06	198	49	114	10	0
TCGA-D3-A1Q5-06	215	184	74	19	0
TCGA-D3-A1Q6-06	659	416	15	29	24
TCGA-D3-A1Q7-06	66	36	23	6	0
TCGA-D3-A1Q8-06	165	106	29	20	4
TCGA-D3-A1Q9-06	5	1	3	23	10
TCGA-D3-A1QA-06	451	65	40	45	3
TCGA-D3-A1QB-06	278	146	56	28	13
TCGA-D3-A2J6-06	11	0	0	13	2
TCGA-D3-A2J7-06	316	130	12	9	8
TCGA-D3-A2J8-06	557	36	183	0	0
TCGA-D3-A2J9-06	34	28	18	15	0
TCGA-D3-A2JA-06	284	108	60	37	5
TCGA-D3-A2JB-06	0	2	4	10	2
TCGA-D3-A2JC-06	139	70	40	27	0
TCGA-D3-A2JD-06	250	230	61	6	5
TCGA-D3-A2JE-06	244	113	66	19	20
TCGA-D3-A2JF-06	1284	405	285	0	0
TCGA-D3-A2JG-06	98	33	0	10	7
TCGA-D3-A2JH-06	562	196	13	69	13
TCGA-D3-A2JK-06	215	116	45	31	0
TCGA-D3-A2JL-06	270	87	37	30	16
TCGA-D3-A2JN-06	302	88	0	35	21
TCGA-D3-A2JO-06	432	82	313	14	0
TCGA-D3-A2JP-06	249	73	0	30	7
TCGA-D3-A3BZ-06	0	0	7	39	35
TCGA-D3-A3C1-06	97	47	0	48	7
TCGA-D3-A3C3-06	128	138	0	63	11
TCGA-D3-A3C6-06	59	39	47	10	0
TCGA-D3-A3C7-06	738	272	226	0	34
TCGA-D3-A3C8-06	615	6	75	0	7
TCGA-D3-A3CB-06	247	21	37	12	0
TCGA-D3-A3CC-06	4	5	7	17	6
TCGA-D3-A3CE-06	0	6	24	10	0
TCGA-D3-A3CF-06	0	10	1	30	1
TCGA-D3-A3ML-06	949	110	192	13	4
TCGA-D3-A3MO-06	30	5	16	29	3
TCGA-D3-A3MR-06	702	291	162	2	20
TCGA-D3-A3MU-06	380	107	161	10	4
TCGA-D3-A3MV-06	566	84	59	15	11
TCGA-D3-A51E-06	203	90	29	38	8
TCGA-D3-A51F-06	60	81	11	13	0
