Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F
TCGA-3N-A9WB-06	129	0	64	14	14	0
TCGA-3N-A9WC-06	1919	264	313	35	13	43
TCGA-3N-A9WD-06	498	225	481	41	4	12
TCGA-BF-A1PU-01	62	24	0	5	21	0
TCGA-BF-A1PV-01	224	38	64	65	0	0
TCGA-BF-A1PX-01	179	134	97	47	0	0
TCGA-BF-A1PZ-01	156	122	0	44	11	0
TCGA-BF-A1Q0-01	797	0	27	23	52	55
TCGA-BF-A3DJ-01	125	0	43	14	16	0
TCGA-BF-A3DL-01	448	0	102	23	23	10
TCGA-BF-A3DM-01	515	82	0	22	19	12
TCGA-BF-A3DN-01	77	0	4	22	4	2
TCGA-BF-A5EO-01	592	44	162	14	34	13
TCGA-BF-A5EP-01	78	71	26	7	28	14
TCGA-BF-A5EQ-01	602	78	47	72	9	1
TCGA-BF-A5ER-01	160	40	24	24	26	2
TCGA-BF-A5ES-01	511	109	10	41	39	4
TCGA-BF-A9VF-01	49	43	7	18	8	0
TCGA-BF-AAOU-01	315	20	25	74	18	0
TCGA-BF-AAOX-01	1444	44	0	201	23	3
TCGA-BF-AAP0-06	442	64	84	41	8	3
TCGA-BF-AAP1-01	969	0	189	0	61	0
TCGA-BF-AAP2-01	1417	242	9	165	0	0
TCGA-BF-AAP4-01	593	278	155	87	3	8
TCGA-BF-AAP6-01	57	7	0	0	27	0
TCGA-BF-AAP7-01	416	94	0	75	22	11
TCGA-BF-AAP8-01	0	1	0	1	11	1
TCGA-D3-A1Q1-06	0	6	0	11	44	6
TCGA-D3-A1Q3-06	0	0	3	12	17	18
TCGA-D3-A1Q4-06	120	55	150	38	8	0
TCGA-D3-A1Q5-06	295	128	0	53	16	0
TCGA-D3-A1Q6-06	766	297	0	52	16	12
TCGA-D3-A1Q7-06	77	24	10	17	3	0
TCGA-D3-A1Q8-06	189	77	7	39	12	0
TCGA-D3-A1Q9-06	3	1	0	11	19	8
TCGA-D3-A1QA-06	414	29	113	5	43	0
TCGA-D3-A1QB-06	284	111	55	43	20	8
TCGA-D3-A2J6-06	10	0	0	2	13	1
TCGA-D3-A2J7-06	374	71	0	19	5	6
TCGA-D3-A2J8-06	458	12	248	58	0	0
TCGA-D3-A2J9-06	22	29	22	10	12	0
TCGA-D3-A2JA-06	356	45	0	62	28	3
TCGA-D3-A2JB-06	1	2	1	5	8	1
TCGA-D3-A2JC-06	178	38	0	39	21	0
TCGA-D3-A2JD-06	238	207	83	11	8	5
TCGA-D3-A2JE-06	316	56	1	58	12	19
TCGA-D3-A2JF-06	1330	238	281	125	0	0
TCGA-D3-A2JG-06	116	15	0	0	9	8
TCGA-D3-A2JH-06	651	95	0	43	55	9
TCGA-D3-A2JK-06	200	96	68	14	29	0
TCGA-D3-A2JL-06	178	93	133	0	26	10
TCGA-D3-A2JN-06	361	33	0	0	33	19
TCGA-D3-A2JO-06	284	83	299	175	0	0
TCGA-D3-A2JP-06	295	28	0	0	29	7
