Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G
TCGA-3N-A9WB-06	136	0	59	1	13	10	2
TCGA-3N-A9WC-06	1488	415	363	288	0	6	27
TCGA-3N-A9WD-06	515	182	319	215	0	12	18
TCGA-BF-A1PU-01	41	31	18	0	2	20	0
TCGA-BF-A1PV-01	164	59	141	8	19	0	0
TCGA-BF-A1PX-01	127	145	179	6	0	0	0
TCGA-BF-A1PZ-01	64	143	102	0	0	22	2
TCGA-BF-A1Q0-01	610	85	124	30	14	41	50
TCGA-BF-A3DJ-01	123	1	52	0	4	18	0
TCGA-BF-A3DL-01	404	22	115	20	10	21	14
TCGA-BF-A3DM-01	367	136	70	45	19	6	7
TCGA-BF-A3DN-01	66	3	18	0	21	0	1
TCGA-BF-A5EO-01	497	79	105	135	20	18	5
TCGA-BF-A5EP-01	58	72	47	1	7	23	16
TCGA-BF-A5EQ-01	424	144	206	1	0	22	12
TCGA-BF-A5ER-01	117	54	63	5	3	28	6
TCGA-BF-A5ES-01	356	159	84	61	32	22	0
TCGA-BF-A9VF-01	21	47	40	0	9	7	1
TCGA-BF-AAOU-01	194	66	157	0	0	32	3
TCGA-BF-AAOX-01	1001	230	343	47	55	28	11
TCGA-BF-AAP0-06	341	99	114	68	7	8	5
TCGA-BF-AAP1-01	949	14	69	113	44	30	0
TCGA-BF-AAP2-01	846	445	542	0	0	0	0
TCGA-BF-AAP4-01	434	308	236	112	0	18	16
TCGA-BF-AAP6-01	46	10	0	0	24	11	0
TCGA-BF-AAP7-01	327	131	66	16	62	8	8
TCGA-BF-AAP8-01	0	1	0	0	8	5	0
TCGA-D3-A1Q1-06	3	4	0	0	37	22	1
TCGA-D3-A1Q3-06	0	0	0	7	28	4	11
TCGA-D3-A1Q4-06	116	47	182	3	0	22	1
TCGA-D3-A1Q5-06	142	169	152	0	0	29	0
TCGA-D3-A1Q6-06	526	359	80	145	30	3	0
TCGA-D3-A1Q7-06	52	32	35	3	5	4	0
TCGA-D3-A1Q8-06	124	90	30	49	27	4	0
TCGA-D3-A1Q9-06	6	1	0	0	23	8	4
TCGA-D3-A1QA-06	342	53	58	115	5	31	0
TCGA-D3-A1QB-06	210	127	93	43	32	9	7
TCGA-D3-A2J6-06	10	0	0	0	9	7	0
TCGA-D3-A2J7-06	265	110	53	36	2	4	5
TCGA-D3-A2J8-06	410	29	279	52	0	6	0
TCGA-D3-A2J9-06	20	25	19	13	10	8	0
TCGA-D3-A2JA-06	247	90	101	0	23	27	6
TCGA-D3-A2JB-06	0	2	2	1	2	9	2
TCGA-D3-A2JC-06	115	61	64	0	15	21	0
TCGA-D3-A2JD-06	165	205	153	0	0	18	11
TCGA-D3-A2JE-06	184	101	130	0	2	19	26
TCGA-D3-A2JF-06	986	355	589	16	0	22	6
TCGA-D3-A2JG-06	78	29	26	0	0	7	8
TCGA-D3-A2JH-06	520	154	80	0	75	22	2
TCGA-D3-A2JK-06	157	102	89	26	0	30	3
TCGA-D3-A2JL-06	178	78	48	100	23	9	4
TCGA-D3-A2JN-06	281	70	41	2	15	22	15
TCGA-D3-A2JO-06	250	76	355	91	45	18	6
TCGA-D3-A2JP-06	253	55	14	0	5	25	7
TCGA-D3-A3BZ-06	4	0	0	0	36	16	25
TCGA-D3-A3C1-06	101	36	0	0	42	20	0
TCGA-D3-A3C3-06	113	120	0	41	22	42	2
TCGA-D3-A3C6-06	29	37	69	0	0	19	1
TCGA-D3-A3C7-06	472	253	310	210	0	4	21
TCGA-D3-A3C8-06	477	0	153	67	0	1	5
TCGA-D3-A3CB-06	214	13	73	0	0	14	3
TCGA-D3-A3CC-06	0	3	0	14	5	13	4
TCGA-D3-A3CE-06	0	3	18	0	16	3	0
TCGA-D3-A3CF-06	0	8	0	0	16	18	0
TCGA-D3-A3ML-06	768	79	298	70	48	0	5
TCGA-D3-A3MO-06	26	3	13	0	23	17	1
TCGA-D3-A3MR-06	453	264	221	229	0	5	5
TCGA-D3-A3MU-06	162	106	214	163	0	16	1
TCGA-D3-A3MV-06	471	64	121	53	14	6	6
TCGA-D3-A51E-06	193	70	39	0	52	12	2
TCGA-D3-A51F-06	37	73	41	0	0	14	0
TCGA-D3-A51G-06	914	436	155	13	164	1	7
TCGA-D3-A51H-06	7	7	1	25	0	0	0
TCGA-D3-A51J-06	225	182	150	38	0	11	7
TCGA-D3-A51K-06	0	4	0	0	7	13	8
TCGA-D3-A51N-06	1	45	7	46	18	2	0
TCGA-D3-A51R-06	574	100	237	33	0	17	7
TCGA-D3-A51T-06	797	371	294	108	0	25	19
TCGA-D3-A5GL-06	128	139	171	52	68	0	19
TCGA-D3-A5GN-06	195	123	306	23	0	22	0
TCGA-D3-A5GO-06	1145	256	559	216	0	0	0
TCGA-D3-A5GR-06	100	72	85	74	13	8	0
TCGA-D3-A5GS-06	241	160	75	80	0	0	0
TCGA-D3-A5GT-01	1	0	0	0	14	11	0
TCGA-D3-A5GU-06	469	354	12	115	0	52	17
TCGA-D3-A8GB-06	786	415	165	52	0	23	23
TCGA-D3-A8GC-06	500	285	338	22	0	8	6
TCGA-D3-A8GD-06	58	11	0	0	42	17	4
TCGA-D3-A8GE-06	0	0	0	0	5	2	1
TCGA-D3-A8GI-06	4815	217	1317	840	0	0	43
TCGA-D3-A8GJ-06	105	35	107	6	9	10	0
TCGA-D3-A8GK-06	215	159	218	197	0	9	0
TCGA-D3-A8GL-06	1281	410	704	146	0	22	0
TCGA-D3-A8GM-06	1465	740	1398	571	544	490	36
TCGA-D3-A8GN-06	177	72	73	0	6	12	1
TCGA-D3-A8GO-06	364	146	249	0	31	10	0
TCGA-D3-A8GP-06	342	85	248	12	50	28	19
TCGA-D3-A8GQ-06	1460	0	283	214	0	0	24
TCGA-D3-A8GR-06	137	142	157	40	15	15	13
TCGA-D3-A8GS-06	86	93	76	0	0	32	6
TCGA-D3-A8GV-06	357	37	107	0	14	31	13
TCGA-D9-A148-06	166	99	0	75	40	5	1
TCGA-D9-A149-06	117	87	57	25	23	3	6
TCGA-D9-A1JW-06	248	373	582	29	0	15	9
TCGA-D9-A1JX-06	154	10	37	0	43	7	0
TCGA-D9-A1X3-06	0	14	1	0	12	21	0
TCGA-D9-A3Z1-06	253	204	171	31	11	10	0
TCGA-D9-A3Z3-06	67	15	59	28	0	8	7
TCGA-D9-A3Z4-01	0	92	58	25	15	14	3
TCGA-D9-A4Z2-01	0	4	0	0	15	7	5
TCGA-D9-A4Z3-01	0	476	569	0	0	33	0
TCGA-D9-A4Z5-01	11	9	0	0	0	66	2
TCGA-D9-A4Z6-06	119	60	146	39	0	5	0
TCGA-D9-A6E9-06	92	55	66	0	6	26	1
TCGA-D9-A6EA-06	365	173	89	242	0	0	20
TCGA-D9-A6EC-06	2456	420	432	368	0	0	2092
TCGA-D9-A6EG-06	27	19	0	16	31	11	0
TCGA-DA-A1HV-06	1166	166	285	226	0	2	25
TCGA-DA-A1HW-06	306	66	0	43	26	7	4
TCGA-DA-A1HY-06	223	336	432	0	0	5	2
TCGA-DA-A1I0-06	348	172	115	0	34	11	6
TCGA-DA-A1I1-06	307	96	83	18	22	5	0
TCGA-DA-A1I2-06	47	58	26	24	14	8	2
TCGA-DA-A1I4-06	153	73	117	0	2	17	0
TCGA-DA-A1I5-06	157	112	259	57	0	0	4
TCGA-DA-A1I7-06	477	25	0	7	76	22	2
TCGA-DA-A1I8-06	62	87	0	71	25	7	0
TCGA-DA-A1IA-06	142	178	0	124	21	15	4
TCGA-DA-A1IB-06	0	0	0	0	0	7	1
TCGA-DA-A1IC-06	450	350	251	155	129	27	0
TCGA-DA-A3F3-06	229	18	38	70	20	17	0
TCGA-DA-A3F5-06	165	114	33	60	55	30	0
TCGA-DA-A3F8-06	711	305	477	151	0	0	0
TCGA-DA-A95V-06	83	99	51	97	0	38	4
TCGA-DA-A95W-06	55	67	79	0	2	11	2
TCGA-DA-A95X-06	407	62	102	60	7	35	11
TCGA-DA-A95Y-06	196	84	203	19	33	9	17
TCGA-DA-A95Z-06	1523	217	674	93	51	93	5
TCGA-DA-A960-01	750	137	187	34	0	59	20
TCGA-EB-A1NK-01	88	33	26	22	11	14	2
TCGA-EB-A24C-01	3	2	0	0	12	17	1
TCGA-EB-A24D-01	254	214	145	156	23	13	10
TCGA-EB-A299-01	79	60	60	0	3	5	0
TCGA-EB-A3HV-01	38	2	0	0	0	22	1
TCGA-EB-A3XB-01	297	109	202	24	61	3	0
TCGA-EB-A3XC-01	194	154	141	15	0	32	32
TCGA-EB-A3XD-01	357	70	53	0	40	0	0
TCGA-EB-A3XE-01	0	0	12	0	0	9	1
TCGA-EB-A3XF-01	245	68	183	26	0	14	0
TCGA-EB-A3Y6-01	442	179	51	77	26	47	19
TCGA-EB-A3Y7-01	764	170	188	273	81	2	40
TCGA-EB-A41A-01	1296	285	686	347	0	6	0
TCGA-EB-A41B-01	425	5	104	12	0	8	1
TCGA-EB-A42Y-01	18	0	6	0	23	20	14
TCGA-EB-A42Z-01	66	29	25	0	7	30	0
TCGA-EB-A430-01	249	142	87	0	35	10	6
TCGA-EB-A431-01	895	695	444	336	0	0	27
TCGA-EB-A44N-01	79	54	32	18	9	16	0
TCGA-EB-A44O-01	286	219	105	22	38	16	6
TCGA-EB-A44P-01	221	141	88	0	20	5	3
TCGA-EB-A44Q-06	0	2	15	4	18	15	3
TCGA-EB-A44R-06	4	0	0	0	37	27	3
TCGA-EB-A4IQ-01	4	1	0	1	11	5	0
TCGA-EB-A4IS-01	191	272	189	96	0	20	5
TCGA-EB-A4OY-01	0	7	0	0	40	16	9
TCGA-EB-A4OZ-01	0	2	1	0	2	6	5
TCGA-EB-A4P0-01	74	82	50	15	18	16	3
TCGA-EB-A4XL-01	194	204	166	77	0	8	17
TCGA-EB-A51B-01	104	175	200	73	0	15	0
TCGA-EB-A550-01	114	40	17	0	14	18	0
TCGA-EB-A551-01	299	36	31	30	72	0	6
TCGA-EB-A553-01	138	127	68	2	40	42	18
TCGA-EB-A57M-01	5	0	0	0	27	27	0
TCGA-EB-A5FP-01	333	139	17	39	21	2	6
TCGA-EB-A5KH-06	0	9	0	0	20	24	1
TCGA-EB-A5SE-01	202	110	34	30	7	8	7
TCGA-EB-A5SF-01	14	0	0	10	8	9	1
TCGA-EB-A5SG-06	120	73	112	58	0	0	6
TCGA-EB-A5SH-06	0	0	31	3	2	77	9
TCGA-EB-A5UL-06	250	164	118	19	16	39	26
TCGA-EB-A5UM-01	310	190	195	10	11	32	4
TCGA-EB-A5UN-06	359	292	208	75	53	11	0
TCGA-EB-A5VU-01	0	16	0	8	22	19	0
TCGA-EB-A6L9-06	3	0	0	0	14	11	0
TCGA-EB-A6QY-01	533	142	65	87	23	10	12
TCGA-EB-A6QZ-01	118	121	109	0	18	14	7
TCGA-EB-A6R0-01	261	157	59	0	30	15	6
TCGA-EB-A82B-01	0	12	0	0	44	9	0
TCGA-EB-A82C-01	16	0	0	2	20	10	0
TCGA-EB-A85I-01	141	46	39	32	0	46	2
TCGA-EB-A85J-01	322	47	147	34	0	11	3
TCGA-EB-A97M-01	202	72	103	20	11	21	0
TCGA-EE-A17X-06	589	178	205	65	1	35	17
TCGA-EE-A17Y-06	64	68	78	1	5	11	5
TCGA-EE-A17Z-06	0	2	0	0	12	12	0
TCGA-EE-A180-06	412	121	110	0	40	41	1
TCGA-EE-A181-06	1930	785	852	368	0	0	69
TCGA-EE-A182-06	1128	220	277	360	31	15	9
TCGA-EE-A183-06	583	105	268	0	16	31	13
TCGA-EE-A184-06	1	0	17	0	0	391	1
TCGA-EE-A185-06	158	59	22	0	16	13	0
TCGA-EE-A20B-06	108	69	48	0	17	0	2
TCGA-EE-A20C-06	891	858	514	445	109	15	39
TCGA-EE-A20F-06	360	107	46	130	0	5	3
TCGA-EE-A20H-06	233	145	235	124	64	1	11
TCGA-EE-A20I-06	2	3	0	0	17	8	0
TCGA-EE-A29A-06	92	119	47	88	0	8	0
TCGA-EE-A29B-06	313	127	138	159	0	0	12
TCGA-EE-A29C-06	299	166	44	22	42	0	0
TCGA-EE-A29D-06	2344	1315	1501	45	0	10	29
TCGA-EE-A29E-06	2950	585	528	820	0	0	6
TCGA-EE-A29G-06	250	54	81	39	37	0	13
TCGA-EE-A29H-06	143	82	108	65	0	17	3
TCGA-EE-A29L-06	1676	447	411	116	0	35	75
TCGA-EE-A29M-06	1439	552	706	550	0	0	0
TCGA-EE-A29N-06	279	293	87	121	51	3	13
TCGA-EE-A29P-06	75	132	195	0	0	6	2
TCGA-EE-A29Q-06	231	74	24	37	32	8	3
TCGA-EE-A29R-06	473	176	171	105	0	7	2
TCGA-EE-A29S-06	764	266	354	18	83	0	13
TCGA-EE-A29T-06	291	2	106	0	30	84	0
TCGA-EE-A29V-06	359	585	356	57	14	25	16
TCGA-EE-A29W-06	40	25	0	4	8	14	2
TCGA-EE-A29X-06	67	62	36	28	0	6	6
TCGA-EE-A2A0-06	144	63	246	73	0	6	1
TCGA-EE-A2A1-06	246	92	96	71	17	7	0
TCGA-EE-A2A2-06	383	741	529	367	0	28	26
TCGA-EE-A2A5-06	265	115	12	4	28	6	8
TCGA-EE-A2A6-06	326	46	0	0	31	10	4
TCGA-EE-A2GB-06	433	216	237	0	0	8	17
TCGA-EE-A2GC-06	1632	758	658	125	0	33	28
TCGA-EE-A2GD-06	371	73	220	50	15	6	9
TCGA-EE-A2GE-06	81	133	48	61	0	3	0
TCGA-EE-A2GH-06	214	84	86	20	0	19	3
TCGA-EE-A2GI-06	1029	448	369	219	62	11	4
TCGA-EE-A2GJ-06	715	296	413	102	42	5	37
TCGA-EE-A2GK-06	0	0	0	0	0	4	0
TCGA-EE-A2GL-06	167	163	139	0	0	9	19
TCGA-EE-A2GM-06	417	261	189	89	0	18	0
TCGA-EE-A2GN-06	237	177	98	34	0	17	6
TCGA-EE-A2GO-06	1036	819	809	25	1	31	60
TCGA-EE-A2GP-06	442	134	245	7	15	19	2
TCGA-EE-A2GR-06	911	759	231	224	52	10	28
TCGA-EE-A2GS-06	268	80	88	0	29	3	0
TCGA-EE-A2GT-06	121	73	174	50	10	32	2
TCGA-EE-A2GU-06	328	143	324	22	0	0	11
TCGA-EE-A2M5-06	959	972	236	498	42	0	58
TCGA-EE-A2M6-06	249	176	251	20	0	32	18
TCGA-EE-A2M7-06	37	0	0	0	5	39	5
TCGA-EE-A2M8-06	95	0	1	30	25	0	0
TCGA-EE-A2MC-06	538	106	292	0	70	14	10
TCGA-EE-A2MD-06	1582	268	324	77	64	9	7
TCGA-EE-A2ME-06	18	6	4	5	7	2	0
TCGA-EE-A2MF-06	424	56	335	165	13	2	37
TCGA-EE-A2MG-06	73	57	115	18	0	14	0
TCGA-EE-A2MH-06	63	74	41	0	5	11	7
TCGA-EE-A2MI-06	640	242	524	70	0	6	6
TCGA-EE-A2MJ-06	1499	320	503	315	0	0	15
TCGA-EE-A2MK-06	262	32	36	45	24	0	5
TCGA-EE-A2ML-06	371	259	71	8	42	6	1
TCGA-EE-A2MM-06	367	119	242	0	0	33	0
TCGA-EE-A2MN-06	143	33	0	0	22	7	0
TCGA-EE-A2MP-06	172	117	26	34	31	13	0
TCGA-EE-A2MQ-06	174	92	19	27	15	27	11
TCGA-EE-A2MR-06	4657	0	0	0	366	38	0
TCGA-EE-A2MS-06	2282	1194	330	136	0	19	21
TCGA-EE-A2MT-06	442	361	321	115	1	9	10
TCGA-EE-A2MU-06	569	133	136	0	0	6	66
TCGA-EE-A3AA-06	1235	295	158	340	0	0	22
TCGA-EE-A3AB-06	0	209	261	3	364	0	72
TCGA-EE-A3AC-06	623	303	258	170	13	0	18
TCGA-EE-A3AD-06	308	147	99	0	23	16	3
TCGA-EE-A3AE-06	1308	225	317	139	0	7	17
TCGA-EE-A3AF-06	250	581	445	36	0	39	10
TCGA-EE-A3AG-06	1029	694	503	72	0	8	6
TCGA-EE-A3AH-06	244	120	124	0	0	12	8
TCGA-EE-A3J3-06	109	50	0	0	50	18	0
TCGA-EE-A3J4-06	111	83	0	151	26	29	18
TCGA-EE-A3J5-06	762	713	961	450	1	25	28
TCGA-EE-A3J7-06	508	505	19	141	73	70	34
TCGA-EE-A3J8-06	190	26	97	46	0	9	3
TCGA-EE-A3JA-06	662	194	335	244	0	0	0
TCGA-EE-A3JB-06	281	290	52	148	36	27	25
TCGA-EE-A3JD-06	2219	341	343	0	190	0	9
TCGA-EE-A3JE-06	174	117	20	25	18	10	5
TCGA-EE-A3JH-06	125	55	9	9	35	12	0
TCGA-EE-A3JI-06	484	471	137	353	10	64	17
TCGA-ER-A193-06	1095	498	591	364	0	25	46
TCGA-ER-A194-01	800	539	439	43	0	30	15
TCGA-ER-A195-06	193	58	76	13	8	0	0
TCGA-ER-A196-01	3	0	0	0	13	9	0
TCGA-ER-A197-06	0	0	1	0	39	12	0
TCGA-ER-A198-06	296	196	103	0	31	26	0
TCGA-ER-A199-06	243	58	53	0	5	10	3
TCGA-ER-A19A-06	169	7	18	49	1	4	0
TCGA-ER-A19B-06	39	0	0	0	87	0	5
TCGA-ER-A19C-06	52	23	0	33	0	11	3
TCGA-ER-A19D-06	308	139	68	69	44	14	0
TCGA-ER-A19E-06	327	81	86	21	72	26	4
TCGA-ER-A19F-06	554	327	344	67	0	10	11
TCGA-ER-A19G-06	282	195	142	0	40	19	20
TCGA-ER-A19H-06	145	94	78	3	28	24	1
TCGA-ER-A19J-06	139	22	95	13	11	10	1
TCGA-ER-A19K-01	25	114	293	57	0	13	0
TCGA-ER-A19L-06	31	15	22	0	2	1	3
TCGA-ER-A19M-06	328	195	96	29	5	22	2
TCGA-ER-A19N-06	324	157	120	40	0	7	14
TCGA-ER-A19O-06	148	16	58	0	12	10	0
TCGA-ER-A19P-06	127	94	62	58	0	298	1
TCGA-ER-A19Q-06	114	18	0	0	20	11	0
TCGA-ER-A19S-06	60	61	121	3	9	13	8
TCGA-ER-A19T-01	0	18	0	1	29	18	4
TCGA-ER-A19W-06	271	94	2	55	40	24	2
TCGA-ER-A1A1-06	0	39	26	28	0	1	0
TCGA-ER-A2NB-01	3	12	0	0	33	31	6
TCGA-ER-A2NC-06	221	131	183	0	0	17	0
TCGA-ER-A2ND-06	51	4	18	0	67	4	1
TCGA-ER-A2NE-06	135	20	0	0	9	13	2
TCGA-ER-A2NF-01	0	9	21	0	4	7	0
TCGA-ER-A2NG-06	100	86	126	0	0	9	26
TCGA-ER-A2NH-06	237	57	115	0	0	2	4
TCGA-ER-A3ES-06	2	0	0	0	14	13	0
TCGA-ER-A3ET-06	0	9	2	26	46	30	3
TCGA-ER-A3EV-06	0	15	0	11	24	41	8
TCGA-ER-A3PL-06	133	220	159	0	0	7	0
TCGA-ER-A42H-01	3	2	0	1	34	38	0
TCGA-ER-A42K-06	139	81	5	14	25	5	4
TCGA-ER-A42L-06	339	253	604	105	0	0	0
TCGA-FR-A2OS-01	0	0	0	0	15	1	0
TCGA-FR-A3R1-01	252	192	108	0	9	28	0
TCGA-FR-A3YN-06	399	148	177	0	48	11	5
TCGA-FR-A3YO-06	641	175	323	13	14	23	0
TCGA-FR-A44A-06	141	113	67	54	14	30	1
TCGA-FR-A69P-06	138	54	84	0	18	7	4
TCGA-FR-A726-01	4690	3263	958	1203	0	0	32
TCGA-FR-A728-01	295	96	79	54	0	9	7
TCGA-FR-A729-06	809	135	106	114	0	0	40
TCGA-FR-A7U8-06	1	4	0	0	18	21	0
TCGA-FR-A7U9-06	1325	308	519	271	0	24	33
TCGA-FR-A7UA-06	93	25	67	56	0	0	0
TCGA-FR-A8YC-06	2063	639	749	536	71	0	42
TCGA-FR-A8YD-06	17	11	14	5	31	42	12
TCGA-FR-A8YE-06	256	70	119	12	0	0	14
TCGA-FS-A1YW-06	126	21	33	13	14	12	0
TCGA-FS-A1YX-06	6	8	0	0	0	15	1
TCGA-FS-A1YY-06	31	82	127	18	0	16	0
