NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	166.872	42.111	34.983	26.869	0.315	0.91	50000.0
2	163.916	41.557	33.544	26.175	0.316	0.913	60000.0
3	166.627	42.473	34.573	27.006	0.321	0.907	50000.0
4	157.434	41.026	30.427	25.581	0.315	0.912	110000.0
5	159.213	41.087	31.077	25.546	0.316	0.915	90000.0
6	163.799	41.579	33.779	26.657	0.316	0.909	60000.0
7	164.076	41.984	34.029	26.784	0.312	0.909	40000.0
8	164.097	42.047	33.573	26.473	0.319	0.91	60000.0
9	164.545	42.015	33.757	26.864	0.317	0.907	40000.0
10	165.501	41.742	34.31	26.669	0.308	0.913	60000.0
11	161.922	41.413	33.271	26.228	0.312	0.914	70000.0
12	164.335	41.875	34.367	26.818	0.311	0.91	50000.0
13	164.469	42.116	34.33	27.047	0.313	0.908	60000.0
14	164.022	42.191	33.908	26.967	0.319	0.907	50000.0
15	166.571	41.964	34.633	26.913	0.313	0.91	50000.0
16	167.275	41.983	34.613	26.45	0.307	0.914	40000.0
17	156.453	40.853	29.888	25.25	0.317	0.914	90000.0
18	165.465	41.933	34.381	26.676	0.315	0.91	50000.0
19	165.855	41.963	34.479	26.867	0.316	0.908	60000.0
20	163.865	42.009	34.215	26.801	0.317	0.909	60000.0
21	156.112	40.866	30.015	25.419	0.312	0.913	60000.0
22	163.384	41.607	33.321	26.407	0.312	0.913	80000.0
23	166.134	41.642	34.917	26.546	0.31	0.914	100000.0
24	164.296	41.794	33.536	26.416	0.312	0.913	80000.0
25	166.184	42.401	34.657	27.088	0.318	0.908	60000.0
26	165.098	42.152	34.217	26.73	0.317	0.909	80000.0
27	164.31	41.249	34.068	26.184	0.308	0.915	80000.0
28	165.058	41.992	33.916	26.867	0.314	0.911	70000.0
29	166.393	41.8	34.554	26.561	0.309	0.916	90000.0
30	157.194	40.964	30.327	25.306	0.314	0.915	100000.0
31	163.933	41.694	33.217	26.542	0.314	0.911	70000.0
32	166.694	42.131	35.074	26.984	0.314	0.909	70000.0
33	165.313	41.822	34.375	26.735	0.312	0.913	50000.0
34	163.104	41.638	33.24	26.251	0.319	0.912	70000.0
35	160.835	41.359	31.771	25.832	0.319	0.914	80000.0
36	162.754	41.669	33.195	26.246	0.314	0.911	80000.0
37	164.19	42.024	33.811	26.79	0.316	0.911	40000.0
38	162.59	41.041	32.848	25.683	0.307	0.917	90000.0
39	159.658	40.898	31.311	25.441	0.311	0.917	50000.0
40	158.461	41.076	31.225	25.815	0.315	0.912	70000.0
41	164.506	41.251	34.129	26.142	0.31	0.916	90000.0
42	158.199	41.4	30.868	25.719	0.313	0.914	90000.0
43	165.104	42.168	34.323	26.744	0.317	0.91	90000.0
44	159.677	41.118	31.579	25.918	0.312	0.914	70000.0
45	165.136	41.759	34.332	26.717	0.313	0.911	60000.0
46	163.361	41.56	32.959	25.98	0.31	0.914	80000.0
47	163.47	42.203	33.865	27.031	0.323	0.907	70000.0
48	164.813	41.966	34.292	26.711	0.315	0.911	70000.0
49	165.309	42.15	34.51	26.93	0.319	0.908	50000.0
50	164.537	41.698	34.129	26.587	0.309	0.914	70000.0
51	163.368	41.893	33.405	26.673	0.324	0.908	120000.0
52	164.867	41.806	34.205	26.497	0.311	0.912	50000.0
53	166.107	41.745	34.631	26.594	0.311	0.912	80000.0
54	163.635	41.857	33.59	26.356	0.311	0.912	50000.0
55	164.42	41.866	34.001	26.697	0.311	0.911	70000.0
56	164.759	42.063	34.717	26.938	0.313	0.909	90000.0
57	164.989	41.633	33.893	26.509	0.313	0.913	70000.0
58	166.342	41.641	35.254	26.65	0.31	0.913	70000.0
59	165.069	41.663	34.227	26.572	0.313	0.912	90000.0
60	163.384	41.501	33.959	26.241	0.311	0.915	50000.0
61	167.371	42.26	34.64	26.812	0.322	0.909	60000.0
62	162.058	41.621	33.271	26.532	0.316	0.91	40000.0
63	164.793	41.819	34.206	26.762	0.312	0.911	70000.0
64	164.271	42.029	33.999	26.577	0.315	0.911	60000.0
65	164.375	41.683	33.682	26.436	0.31	0.913	60000.0
