Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H
TCGA-3N-A9WB-06	122	63	0	0	31	0	3	2
TCGA-3N-A9WC-06	1206	431	498	419	0	0	10	23
TCGA-3N-A9WD-06	446	297	185	288	2	7	16	20
TCGA-BF-A1PU-01	36	22	30	0	5	3	16	0
TCGA-BF-A1PV-01	162	148	43	0	14	24	0	0
TCGA-BF-A1PX-01	133	197	120	0	0	7	0	0
TCGA-BF-A1PZ-01	64	114	128	0	1	5	19	2
TCGA-BF-A1Q0-01	503	173	117	59	29	0	28	45
TCGA-BF-A3DJ-01	114	54	2	0	7	7	14	0
TCGA-BF-A3DL-01	356	137	37	33	7	6	17	13
TCGA-BF-A3DM-01	307	117	152	40	20	3	4	7
TCGA-BF-A3DN-01	57	24	5	0	2	18	2	1
TCGA-BF-A5EO-01	402	132	101	137	83	0	0	4
TCGA-BF-A5EP-01	36	62	59	0	47	0	7	13
TCGA-BF-A5EQ-01	386	248	139	0	0	7	18	11
TCGA-BF-A5ER-01	104	74	47	0	29	0	17	5
TCGA-BF-A5ES-01	278	118	176	83	32	11	16	0
TCGA-BF-A9VF-01	13	48	37	0	25	0	1	1
TCGA-BF-AAOU-01	191	155	48	0	33	6	18	1
TCGA-BF-AAOX-01	906	434	237	0	83	35	10	10
TCGA-BF-AAP0-06	321	163	91	0	61	0	0	6
TCGA-BF-AAP1-01	805	124	94	135	30	9	22	0
TCGA-BF-AAP2-01	780	644	408	0	0	0	1	0
TCGA-BF-AAP4-01	426	301	291	44	0	30	15	17
TCGA-BF-AAP6-01	37	0	14	0	33	3	4	0
TCGA-BF-AAP7-01	279	102	138	0	49	44	0	6
TCGA-BF-AAP8-01	0	0	0	0	10	1	3	0
TCGA-D3-A1Q1-06	0	0	2	0	42	8	13	2
TCGA-D3-A1Q3-06	1	0	0	1	11	22	4	11
TCGA-D3-A1Q4-06	122	179	24	21	0	0	22	3
TCGA-D3-A1Q5-06	141	171	151	0	0	0	29	0
TCGA-D3-A1Q6-06	400	140	391	170	0	37	5	0
TCGA-D3-A1Q7-06	45	40	27	0	19	0	0	0
TCGA-D3-A1Q8-06	102	47	93	39	17	24	2	0
TCGA-D3-A1Q9-06	3	0	1	0	15	13	6	4
TCGA-D3-A1QA-06	286	65	78	128	25	1	21	0
TCGA-D3-A1QB-06	177	135	113	10	78	0	0	8
TCGA-D3-A2J6-06	8	0	0	0	8	5	5	0
TCGA-D3-A2J7-06	230	88	121	24	0	4	4	4
TCGA-D3-A2J8-06	436	298	8	15	0	8	9	2
TCGA-D3-A2J9-06	16	26	20	4	26	0	3	0
TCGA-D3-A2JA-06	214	124	88	0	31	15	17	5
TCGA-D3-A2JB-06	0	2	1	0	4	3	7	1
TCGA-D3-A2JC-06	106	68	54	0	25	11	12	0
TCGA-D3-A2JD-06	143	191	186	0	0	0	21	11
TCGA-D3-A2JE-06	170	152	91	0	1	8	15	25
TCGA-D3-A2JF-06	893	668	329	52	0	0	26	6
TCGA-D3-A2JG-06	59	40	27	0	16	0	0	6
TCGA-D3-A2JH-06	417	147	171	0	105	5	5	3
TCGA-D3-A2JK-06	141	115	92	9	27	0	20	3
TCGA-D3-A2JL-06	130	53	87	116	44	2	3	5
TCGA-D3-A2JN-06	215	71	86	24	24	0	14	12
TCGA-D3-A2JO-06	279	327	31	81	11	95	14	3
TCGA-D3-A2JP-06	215	39	73	0	0	7	20	5
TCGA-D3-A3BZ-06	0	1	0	0	37	9	9	25
TCGA-D3-A3C1-06	70	13	39	0	73	0	4	0
TCGA-D3-A3C3-06	62	22	130	59	34	0	31	2
TCGA-D3-A3C6-06	37	68	26	0	0	2	20	2
TCGA-D3-A3C7-06	423	304	246	241	0	30	6	20
TCGA-D3-A3C8-06	387	140	24	144	0	0	6	2
TCGA-D3-A3CB-06	194	86	18	0	0	6	11	2
TCGA-D3-A3CC-06	0	4	0	4	26	0	2	3
TCGA-D3-A3CE-06	0	16	0	0	11	10	3	0
TCGA-D3-A3CF-06	0	0	6	0	19	5	12	0
TCGA-D3-A3ML-06	704	332	92	74	0	62	1	3
TCGA-D3-A3MO-06	20	17	2	0	15	14	14	1
TCGA-D3-A3MR-06	399	231	272	243	0	17	8	7
TCGA-D3-A3MU-06	116	164	99	258	0	0	21	4
TCGA-D3-A3MV-06	414	157	80	46	31	0	1	6
TCGA-D3-A51E-06	163	55	74	0	35	34	6	1
TCGA-D3-A51F-06	30	53	69	0	0	0	13	0
TCGA-D3-A51G-06	741	286	462	0	108	89	0	4
TCGA-D3-A51H-06	1	0	9	30	0	0	0	0
TCGA-D3-A51J-06	219	189	170	15	0	0	11	9
TCGA-D3-A51K-06	0	0	3	0	3	5	13	8
TCGA-D3-A51N-06	0	15	38	28	37	1	0	0
TCGA-D3-A51R-06	512	265	109	62	0	0	14	6
TCGA-D3-A51T-06	707	379	383	100	0	2	23	20
TCGA-D3-A5GL-06	126	203	101	0	103	22	0	22
TCGA-D3-A5GN-06	195	307	85	55	0	0	27	0
TCGA-D3-A5GO-06	993	574	271	333	0	0	5	0
TCGA-D3-A5GR-06	72	72	70	101	16	17	4	0
TCGA-D3-A5GS-06	154	80	175	147	0	0	0	0
TCGA-D3-A5GT-01	0	0	0	0	17	2	7	0
TCGA-D3-A5GU-06	323	82	392	155	17	0	37	13
TCGA-D3-A8GB-06	671	309	433	0	14	0	15	22
TCGA-D3-A8GC-06	415	373	268	87	0	0	12	4
TCGA-D3-A8GD-06	49	0	16	0	30	20	13	4
TCGA-D3-A8GE-06	0	0	0	0	7	0	0	1
TCGA-D3-A8GI-06	3962	1311	502	1430	0	0	0	27
TCGA-D3-A8GJ-06	107	111	21	0	18	10	5	0
TCGA-D3-A8GK-06	181	181	150	250	0	22	13	1
TCGA-D3-A8GL-06	1199	789	391	149	0	5	30	0
TCGA-D3-A8GM-06	1155	1315	658	911	277	461	434	33
TCGA-D3-A8GN-06	157	93	71	0	12	0	7	1
TCGA-D3-A8GO-06	336	273	127	6	0	48	10	0
TCGA-D3-A8GP-06	319	265	59	0	85	30	9	17
TCGA-D3-A8GQ-06	1231	307	91	330	0	0	2	20
TCGA-D3-A8GR-06	130	172	119	28	31	21	7	11
TCGA-D3-A8GS-06	69	92	86	11	0	0	29	6
TCGA-D3-A8GV-06	320	131	46	0	21	7	23	11
TCGA-D9-A148-06	120	0	118	94	41	11	0	2
TCGA-D9-A149-06	100	86	77	1	47	0	0	7
TCGA-D9-A1JW-06	300	597	273	0	0	72	9	5
TCGA-D9-A1JX-06	136	43	17	0	9	39	7	0
TCGA-D9-A1X3-06	0	2	12	0	14	3	17	0
TCGA-D9-A3Z1-06	233	216	182	0	41	7	1	0
TCGA-D9-A3Z3-06	54	54	11	39	16	0	4	6
TCGA-D9-A3Z4-01	4	75	72	0	42	6	5	3
TCGA-D9-A4Z2-01	0	0	3	0	8	9	6	5
TCGA-D9-A4Z3-01	0	620	352	0	94	0	12	0
TCGA-D9-A4Z5-01	10	0	11	0	8	0	57	2
TCGA-D9-A4Z6-06	122	143	46	50	0	0	8	0
TCGA-D9-A6E9-06	85	77	49	0	1	11	22	1
TCGA-D9-A6EA-06	254	59	212	344	0	0	0	20
TCGA-D9-A6EC-06	1984	600	617	567	0	0	0	2000
TCGA-D9-A6EG-06	7	9	18	16	52	0	2	0
TCGA-DA-A1HV-06	948	313	237	345	0	0	6	21
TCGA-DA-A1HW-06	248	28	95	50	10	11	6	4
TCGA-DA-A1HY-06	251	454	268	0	0	11	9	5
TCGA-DA-A1I0-06	287	164	172	0	45	9	4	5
TCGA-DA-A1I1-06	268	124	101	0	32	5	0	1
TCGA-DA-A1I2-06	39	38	54	13	18	9	5	3
TCGA-DA-A1I4-06	140	125	59	0	32	0	6	0
TCGA-DA-A1I5-06	200	272	73	21	0	12	3	8
TCGA-DA-A1I7-06	387	39	60	0	120	0	0	3
TCGA-DA-A1I8-06	28	0	97	88	12	21	6	0
TCGA-DA-A1IA-06	69	19	184	137	72	0	0	3
TCGA-DA-A1IB-06	0	0	0	0	0	1	7	0
TCGA-DA-A1IC-06	404	333	314	59	175	76	1	0
TCGA-DA-A3F3-06	193	58	27	50	61	0	3	0
TCGA-DA-A3F5-06	129	63	119	45	46	33	22	0
TCGA-DA-A3F8-06	681	521	281	150	0	7	4	0
TCGA-DA-A95V-06	44	48	98	115	41	0	23	3
TCGA-DA-A95W-06	52	83	52	0	22	0	5	2
TCGA-DA-A95X-06	375	151	66	0	67	0	14	11
TCGA-DA-A95Y-06	196	212	59	11	20	41	6	16
TCGA-DA-A95Z-06	1424	780	196	0	192	21	37	6
TCGA-DA-A960-01	663	264	154	0	57	0	33	16
TCGA-EB-A1NK-01	74	37	34	16	24	0	9	2
TCGA-EB-A24C-01	0	1	1	0	19	0	12	2
TCGA-EB-A24D-01	228	179	197	107	76	16	0	12
TCGA-EB-A299-01	68	75	54	0	7	0	3	0
TCGA-EB-A3HV-01	35	1	6	0	0	0	20	1
TCGA-EB-A3XB-01	272	226	85	0	82	31	0	0
TCGA-EB-A3XC-01	172	174	134	0	43	0	16	29
TCGA-EB-A3XD-01	307	83	89	0	0	41	0	0
TCGA-EB-A3XE-01	0	11	0	0	0	2	8	1
TCGA-EB-A3XF-01	257	200	50	0	0	15	14	0
TCGA-EB-A3Y6-01	355	121	196	50	76	0	25	18
TCGA-EB-A3Y7-01	606	189	219	348	59	60	0	37
TCGA-EB-A41A-01	1225	702	275	333	0	81	4	0
TCGA-EB-A41B-01	365	125	26	34	0	0	5	0
TCGA-EB-A42Y-01	4	13	0	0	42	0	9	13
TCGA-EB-A42Z-01	59	26	27	0	22	3	20	0
TCGA-EB-A430-01	215	119	145	0	0	36	10	4
TCGA-EB-A431-01	670	500	712	478	0	0	10	27
TCGA-EB-A44N-01	80	42	51	0	6	17	12	0
TCGA-EB-A44O-01	248	158	216	0	22	32	11	5
TCGA-EB-A44P-01	186	118	140	0	0	27	6	1
TCGA-EB-A44Q-06	0	15	0	0	31	0	8	3
TCGA-EB-A44R-06	1	0	0	0	22	23	22	3
TCGA-EB-A4IQ-01	1	0	2	2	10	4	3	0
TCGA-EB-A4IS-01	162	211	256	112	0	0	24	8
TCGA-EB-A4OY-01	0	0	4	0	31	14	12	11
TCGA-EB-A4OZ-01	0	2	2	0	0	3	5	4
TCGA-EB-A4P0-01	40	63	75	31	39	0	7	3
TCGA-EB-A4XL-01	163	190	188	83	19	0	5	18
TCGA-EB-A51B-01	74	199	143	96	53	0	2	0
TCGA-EB-A550-01	95	33	47	0	6	7	15	0
TCGA-EB-A551-01	265	60	56	11	12	65	0	5
TCGA-EB-A553-01	100	100	116	0	72	5	25	17
TCGA-EB-A57M-01	0	0	0	0	40	1	17	1
TCGA-EB-A5FP-01	246	60	164	64	17	0	1	5
TCGA-EB-A5KH-06	0	0	6	0	29	2	16	1
TCGA-EB-A5SE-01	170	73	115	10	22	0	1	7
TCGA-EB-A5SF-01	15	0	1	6	9	3	7	1
TCGA-EB-A5SG-06	96	102	70	95	0	0	0	6
TCGA-EB-A5SH-06	0	24	0	8	0	17	66	7
TCGA-EB-A5UL-06	222	155	154	0	40	12	25	24
TCGA-EB-A5UM-01	276	227	169	0	64	0	13	3
TCGA-EB-A5UN-06	310	285	258	12	133	0	0	0
TCGA-EB-A5VU-01	0	5	10	0	41	0	9	0
TCGA-EB-A6L9-06	0	1	0	0	17	3	7	0
TCGA-EB-A6QY-01	427	99	185	126	0	14	11	10
TCGA-EB-A6QZ-01	104	123	105	0	28	15	7	5
TCGA-EB-A6R0-01	198	108	157	0	55	0	4	6
TCGA-EB-A82B-01	0	0	7	0	50	4	3	1
TCGA-EB-A82C-01	13	0	0	0	24	6	5	0
TCGA-EB-A85I-01	136	54	50	14	0	9	41	2
TCGA-EB-A85J-01	313	176	42	0	26	0	3	4
TCGA-EB-A97M-01	179	129	62	0	54	0	5	0
TCGA-EE-A17X-06	489	249	190	98	25	0	25	14
TCGA-EE-A17Y-06	54	90	55	0	22	0	6	5
TCGA-EE-A17Z-06	0	0	2	0	1	12	11	0
TCGA-EE-A180-06	356	157	133	0	24	19	34	2
TCGA-EE-A181-06	1686	966	798	408	0	90	0	56
TCGA-EE-A182-06	970	296	282	379	0	95	16	2
TCGA-EE-A183-06	532	300	99	0	45	12	17	11
TCGA-EE-A184-06	0	10	0	13	0	0	384	3
TCGA-EE-A185-06	128	50	67	0	10	2	11	0
TCGA-EE-A20B-06	87	66	67	0	0	24	0	0
TCGA-EE-A20C-06	769	589	839	423	10	190	18	33
TCGA-EE-A20F-06	279	55	140	169	0	0	6	2
TCGA-EE-A20H-06	251	229	120	90	0	110	5	8
TCGA-EE-A20I-06	0	0	3	0	11	10	6	0
