Samples	SBS1	SBS5	SBS7a	SBS7b	SBS10b	SBS15	SBS17a	SBS17b	SBS38	SBS39
TCGA-3N-A9WB-06	12	0	113	63	33	0	0	0	0	0
TCGA-3N-A9WC-06	95	174	1244	1074	0	0	0	0	0	0
TCGA-3N-A9WD-06	56	46	657	502	0	0	0	0	0	0
TCGA-BF-A1PU-01	9	0	21	67	15	0	0	0	0	0
TCGA-BF-A1PV-01	13	0	168	164	46	0	0	0	0	0
TCGA-BF-A1PX-01	16	0	171	270	0	0	0	0	0	0
TCGA-BF-A1PZ-01	15	23	73	222	0	0	0	0	0	0
TCGA-BF-A1Q0-01	35	31	437	347	104	0	0	0	0	0
TCGA-BF-A3DJ-01	9	0	97	63	29	0	0	0	0	0
TCGA-BF-A3DL-01	19	13	316	191	67	0	0	0	0	0
TCGA-BF-A3DM-01	28	5	251	306	60	0	0	0	0	0
TCGA-BF-A3DN-01	3	31	49	26	0	0	0	0	0	0
TCGA-BF-A5EO-01	29	42	407	288	93	0	0	0	0	0
TCGA-BF-A5EP-01	15	42	59	108	0	0	0	0	0	0
TCGA-BF-A5EQ-01	25	0	348	361	75	0	0	0	0	0
TCGA-BF-A5ER-01	12	7	98	125	34	0	0	0	0	0
TCGA-BF-A5ES-01	47	41	280	346	0	0	0	0	0	0
TCGA-BF-A9VF-01	8	21	34	62	0	0	0	0	0	0
TCGA-BF-AAOU-01	18	0	173	198	63	0	0	0	0	0
TCGA-BF-AAOX-01	45	57	705	702	206	0	0	0	0	0
TCGA-BF-AAP0-06	14	0	257	278	93	0	0	0	0	0
TCGA-BF-AAP1-01	38	21	600	381	179	0	0	0	0	0
TCGA-BF-AAP2-01	65	0	772	996	0	0	0	0	0	0
TCGA-BF-AAP4-01	26	17	377	595	109	0	0	0	0	0
TCGA-BF-AAP6-01	12	0	18	37	24	0	0	0	0	0
TCGA-BF-AAP7-01	18	47	176	294	83	0	0	0	0	0
TCGA-BF-AAP8-01	2	6	0	0	0	6	0	0	0	0
TCGA-D3-A1Q1-06	10	19	0	0	0	15	0	0	0	23
TCGA-D3-A1Q3-06	5	45	0	0	0	0	0	0	0	0
TCGA-D3-A1Q4-06	18	8	204	141	0	0	0	0	0	0
TCGA-D3-A1Q5-06	24	0	142	326	0	0	0	0	0	0
TCGA-D3-A1Q6-06	48	93	381	621	0	0	0	0	0	0
TCGA-D3-A1Q7-06	6	0	42	67	16	0	0	0	0	0
TCGA-D3-A1Q8-06	13	15	100	165	31	0	0	0	0	0
TCGA-D3-A1Q9-06	6	36	0	0	0	0	0	0	0	0
TCGA-D3-A1QA-06	23	13	279	211	78	0	0	0	0	0
TCGA-D3-A1QB-06	25	18	179	249	50	0	0	0	0	0
TCGA-D3-A2J6-06	6	12	8	0	0	0	0	0	0	0
TCGA-D3-A2J7-06	13	3	180	233	46	0	0	0	0	0
TCGA-D3-A2J8-06	12	0	402	255	107	0	0	0	0	0
TCGA-D3-A2J9-06	9	12	27	47	0	0	0	0	0	0
TCGA-D3-A2JA-06	26	66	183	219	0	0	0	0	0	0
TCGA-D3-A2JB-06	3	9	0	6	0	0	0	0	0	0
TCGA-D3-A2JC-06	12	0	77	143	44	0	0	0	0	0
TCGA-D3-A2JD-06	21	0	171	360	0	0	0	0	0	0
TCGA-D3-A2JE-06	28	16	188	230	0	0	0	0	0	0
TCGA-D3-A2JF-06	86	0	935	953	0	0	0	0	0	0
TCGA-D3-A2JG-06	8	14	65	61	0	0	0	0	0	0
TCGA-D3-A2JH-06	35	45	289	379	105	0	0	0	0	0
TCGA-D3-A2JK-06	20	41	152	194	0	0	0	0	0	0
TCGA-D3-A2JL-06	31	38	197	174	0	0	0	0	0	0
TCGA-D3-A2JN-06	21	70	184	171	0	0	0	0	0	0
TCGA-D3-A2JO-06	41	76	431	293	0	0	0	0	0	0
TCGA-D3-A2JP-06	10	3	122	167	57	0	0	0	0	0
TCGA-D3-A3BZ-06	14	15	0	0	0	0	4	10	0	38
TCGA-D3-A3C1-06	16	48	46	66	23	0	0	0	0	0
TCGA-D3-A3C3-06	30	47	81	182	0	0	0	0	0	0
TCGA-D3-A3C6-06	8	0	56	91	0	0	0	0	0	0
TCGA-D3-A3C7-06	53	59	567	591	0	0	0	0	0	0
TCGA-D3-A3C8-06	21	17	451	214	0	0	0	0	0	0
TCGA-D3-A3CB-06	10	0	161	108	38	0	0	0	0	0
TCGA-D3-A3CC-06	1	7	7	0	0	0	0	0	0	24
TCGA-D3-A3CE-06	7	13	11	9	0	0	0	0	0	0
TCGA-D3-A3CF-06	10	0	0	9	0	0	0	0	7	16
TCGA-D3-A3ML-06	35	24	646	426	137	0	0	0	0	0
TCGA-D3-A3MO-06	12	28	28	15	0	0	0	0	0	0
TCGA-D3-A3MR-06	31	0	477	560	109	0	0	0	0	0
TCGA-D3-A3MU-06	29	27	366	240	0	0	0	0	0	0
TCGA-D3-A3MV-06	19	16	353	262	85	0	0	0	0	0
TCGA-D3-A51E-06	15	30	98	173	52	0	0	0	0	0
TCGA-D3-A51F-06	7	13	38	107	0	0	0	0	0	0
TCGA-D3-A51G-06	57	87	498	853	195	0	0	0	0	0
TCGA-D3-A51H-06	2	6	21	11	0	0	0	0	0	0
TCGA-D3-A51J-06	26	17	225	345	0	0	0	0	0	0
TCGA-D3-A51K-06	0	10	0	0	0	15	7	0	0	0
TCGA-D3-A51N-06	7	30	27	55	0	0	0	0	0	0
TCGA-D3-A51R-06	49	0	513	406	0	0	0	0	0	0
TCGA-D3-A51T-06	75	0	695	844	0	0	0	0	0	0
TCGA-D3-A5GL-06	35	89	194	259	0	0	0	0	0	0
TCGA-D3-A5GN-06	27	0	346	296	0	0	0	0	0	0
TCGA-D3-A5GO-06	88	79	1156	853	0	0	0	0	0	0
TCGA-D3-A5GR-06	14	52	154	132	0	0	0	0	0	0
TCGA-D3-A5GS-06	18	14	237	287	0	0	0	0	0	0
