Samples	SBS96A	SBS96B
TCGA-3M-AB46-01	87	111
TCGA-3M-AB47-01	82	59
TCGA-B7-5816-01	1204	203
TCGA-B7-5818-01	111	383
TCGA-B7-A5TI-01	663	30
TCGA-B7-A5TJ-01	193	119
TCGA-B7-A5TK-01	55	15
TCGA-B7-A5TN-01	46	54
TCGA-BR-4183-01	47	23
TCGA-BR-4184-01	4137	0
TCGA-BR-4187-01	25	13
TCGA-BR-4188-01	87	16
TCGA-BR-4191-01	85	169
TCGA-BR-4201-01	1419	78
TCGA-BR-4253-01	45	59
TCGA-BR-4255-01	46	28
TCGA-BR-4256-01	988	149
TCGA-BR-4257-01	1058	175
TCGA-BR-4267-01	28	79
TCGA-BR-4279-01	34	27
TCGA-BR-4280-01	660	112
TCGA-BR-4292-01	1434	62
TCGA-BR-4294-01	27	12
TCGA-BR-4357-01	49	270
TCGA-BR-4361-01	2596	345
TCGA-BR-4362-01	1449	260
TCGA-BR-4363-01	532	54
TCGA-BR-4366-01	96	83
TCGA-BR-4368-01	1385	49
TCGA-BR-4369-01	55	178
TCGA-BR-4370-01	1119	103
TCGA-BR-4371-01	136	67
TCGA-BR-6452-01	5158	969
TCGA-BR-6453-01	40	186
TCGA-BR-6454-01	66	113
TCGA-BR-6455-01	100	15
TCGA-BR-6456-01	21	26
TCGA-BR-6457-01	55	86
TCGA-BR-6458-01	17	358
TCGA-BR-6563-01	56	30
TCGA-BR-6564-01	19	22
TCGA-BR-6565-01	81	95
TCGA-BR-6566-01	944	104
TCGA-BR-6705-01	50	66
TCGA-BR-6706-01	15	228
TCGA-BR-6707-01	66	24
TCGA-BR-6709-01	22	31
TCGA-BR-6801-01	41	20
TCGA-BR-6802-01	524	0
TCGA-BR-6803-01	12	7
TCGA-BR-6852-01	1089	83
TCGA-BR-7196-01	52	34
TCGA-BR-7197-01	80	144
TCGA-BR-7703-01	694	83
TCGA-BR-7704-01	68	381
TCGA-BR-7707-01	1387	141
TCGA-BR-7715-01	92	75
TCGA-BR-7716-01	31	164
TCGA-BR-7717-01	96	82
TCGA-BR-7722-01	42	16
TCGA-BR-7723-01	57	151
TCGA-BR-7851-01	1495	76
TCGA-BR-7901-01	63	166
TCGA-BR-7957-01	36	25
TCGA-BR-7958-01	65	143
TCGA-BR-7959-01	60	65
TCGA-BR-8058-01	18	42
TCGA-BR-8059-01	569	267
TCGA-BR-8060-01	50	231
TCGA-BR-8077-01	82	59
TCGA-BR-8078-01	1503	101
TCGA-BR-8080-01	99	124
TCGA-BR-8081-01	966	56
TCGA-BR-8284-01	342	59
TCGA-BR-8285-01	66	54
TCGA-BR-8286-01	80	88
TCGA-BR-8289-01	61	178
TCGA-BR-8291-01	12	20
TCGA-BR-8295-01	20	37
TCGA-BR-8296-01	69	21
TCGA-BR-8297-01	75	216
TCGA-BR-8360-01	975	25
TCGA-BR-8361-01	1589	151
TCGA-BR-8363-01	1117	213
TCGA-BR-8364-01	13	12
TCGA-BR-8365-01	16	13
TCGA-BR-8366-01	54	156
TCGA-BR-8367-01	54	21
TCGA-BR-8368-01	1031	42
TCGA-BR-8369-01	111	145
TCGA-BR-8370-01	104	38
TCGA-BR-8371-01	14	11
TCGA-BR-8372-01	1269	175
TCGA-BR-8373-01	60	53
TCGA-BR-8380-01	60	31
TCGA-BR-8381-01	112	51
TCGA-BR-8382-01	963	62
TCGA-BR-8384-01	32	30
TCGA-BR-8483-01	103	51
TCGA-BR-8484-01	45	55
TCGA-BR-8485-01	0	388
TCGA-BR-8486-01	55	13
TCGA-BR-8487-01	3143	50
TCGA-BR-8588-01	92	59
TCGA-BR-8589-01	0	1389
TCGA-BR-8590-01	37	118
TCGA-BR-8591-01	1484	143
TCGA-BR-8592-01	35	8
TCGA-BR-8676-01	47	52
TCGA-BR-8677-01	46	38
TCGA-BR-8678-01	65	71
TCGA-BR-8679-01	136	64
TCGA-BR-8680-01	1724	6088
TCGA-BR-8682-01	58	26
TCGA-BR-8683-01	128	59
TCGA-BR-8686-01	82	56
TCGA-BR-8687-01	1	232
TCGA-BR-8690-01	107	86
TCGA-BR-A44T-01	15	8
TCGA-BR-A44U-01	74	37
TCGA-BR-A452-01	16	115
TCGA-BR-A453-01	73	13
TCGA-BR-A4CQ-01	126	98
TCGA-BR-A4CR-01	59	26
TCGA-BR-A4CS-01	107	87
TCGA-BR-A4IU-01	17	11
TCGA-BR-A4IV-01	17	23
TCGA-BR-A4IY-01	120	67
TCGA-BR-A4IZ-01	14	6
TCGA-BR-A4J1-01	51	36
TCGA-BR-A4J2-01	53	17
TCGA-BR-A4J4-01	79	22
TCGA-BR-A4J5-01	76	39
TCGA-BR-A4J6-01	15	24
TCGA-BR-A4J7-01	58	10
TCGA-BR-A4J8-01	75	40
TCGA-BR-A4J9-01	32	16
TCGA-BR-A4PD-01	12	181
TCGA-BR-A4PE-01	150	105
TCGA-BR-A4PF-01	81	38
TCGA-BR-A4QI-01	70	80
TCGA-BR-A4QL-01	1847	105
TCGA-BR-A4QM-01	65	58
TCGA-CD-5798-01	65	55
TCGA-CD-5799-01	43	14
TCGA-CD-5800-01	120	83
TCGA-CD-5801-01	49	496
TCGA-CD-5802-01	36	28
TCGA-CD-5803-01	28	17
TCGA-CD-5804-01	67	22
TCGA-CD-5813-01	124	99
TCGA-CD-8524-01	133	57
TCGA-CD-8525-01	35	64
TCGA-CD-8526-01	43	14
TCGA-CD-8527-01	228	80
TCGA-CD-8528-01	106	29
TCGA-CD-8529-01	153	352
TCGA-CD-8530-01	35	80
TCGA-CD-8531-01	212	113
TCGA-CD-8532-01	31	19
TCGA-CD-8533-01	119	36
TCGA-CD-8534-01	56	16
TCGA-CD-8535-01	58	276
TCGA-CD-8536-01	943	20
TCGA-CD-A486-01	82	30
TCGA-CD-A487-01	42	173
TCGA-CD-A489-01	41	55
TCGA-CD-A48A-01	79	212
TCGA-CD-A48C-01	75	197
TCGA-CD-A4MG-01	2571	27
TCGA-CD-A4MH-01	78	21
TCGA-CD-A4MI-01	1003	108
TCGA-CD-A4MJ-01	701	19
TCGA-CG-4300-01	92	71
TCGA-CG-4301-01	37	27
TCGA-CG-4304-01	42	41
TCGA-CG-4305-01	1194	117
TCGA-CG-4306-01	1134	58
TCGA-CG-4436-01	71	149
TCGA-CG-4437-01	309	340
TCGA-CG-4438-01	97	74
TCGA-CG-4440-01	57	96
TCGA-CG-4441-01	59	76
TCGA-CG-4442-01	1449	131
TCGA-CG-4443-01	55	62
TCGA-CG-4444-01	25	205
TCGA-CG-4449-01	55	56
TCGA-CG-4455-01	15	39
TCGA-CG-4460-01	2070	131
TCGA-CG-4462-01	57	40
TCGA-CG-4465-01	586	101
TCGA-CG-4466-01	40	208
TCGA-CG-4469-01	88	297
TCGA-CG-4474-01	84	23
TCGA-CG-4475-01	37	36
TCGA-CG-4476-01	77	69
TCGA-CG-4477-01	36	35
TCGA-CG-5716-01	15	9
TCGA-CG-5717-01	42	122
TCGA-CG-5718-01	58	49
TCGA-CG-5719-01	62	28
TCGA-CG-5720-01	63	40
TCGA-CG-5721-01	4371	593
TCGA-CG-5722-01	64	40
TCGA-CG-5723-01	1780	93
TCGA-CG-5724-01	65	78
TCGA-CG-5725-01	25	25
TCGA-CG-5726-01	1350	78
TCGA-CG-5727-01	113	90
TCGA-CG-5728-01	1430	105
TCGA-CG-5730-01	124	78
TCGA-CG-5732-01	40	39
TCGA-CG-5733-01	1048	145
TCGA-CG-5734-01	68	44
TCGA-D7-5577-01	63	81
TCGA-D7-5578-01	124	169
TCGA-D7-5579-01	45	129
TCGA-D7-6518-01	59	45
TCGA-D7-6519-01	30	37
TCGA-D7-6520-01	43	33
TCGA-D7-6521-01	51	37
TCGA-D7-6522-01	39	27
TCGA-D7-6524-01	84	40
TCGA-D7-6525-01	59	142
TCGA-D7-6526-01	74	194
TCGA-D7-6527-01	37	230
TCGA-D7-6528-01	40	382
TCGA-D7-6815-01	138	33
TCGA-D7-6817-01	75	30
TCGA-D7-6818-01	18	174
TCGA-D7-6820-01	62	59
TCGA-D7-6822-01	36	271
TCGA-D7-8570-01	97	57
TCGA-D7-8572-01	99	123
TCGA-D7-8573-01	69	36
TCGA-D7-8574-01	40	9
TCGA-D7-8575-01	34	23
TCGA-D7-8576-01	61	10
TCGA-D7-8578-01	62	5
TCGA-D7-8579-01	52	91
TCGA-D7-A4YT-01	131	233
TCGA-D7-A4YU-01	114	171
TCGA-D7-A4YV-01	958	42
TCGA-D7-A4YX-01	81	19
TCGA-D7-A4YY-01	404	146
TCGA-D7-A4Z0-01	0	366
TCGA-D7-A6ET-01	21	13
TCGA-D7-A6EV-01	121	83
TCGA-D7-A6EX-01	74	79
TCGA-D7-A6EY-01	1337	224
TCGA-D7-A6EZ-01	111	203
TCGA-D7-A6F0-01	86	71
TCGA-D7-A6F2-01	63	27
TCGA-D7-A747-01	14	112
TCGA-D7-A748-01	34	17
TCGA-D7-A74A-01	88	107
TCGA-D7-A74B-01	20	22
TCGA-EQ-5647-01	43	67
TCGA-EQ-8122-01	131	97
TCGA-EQ-A4SO-01	76	129
TCGA-F1-6177-01	1372	23
TCGA-F1-6874-01	894	97
TCGA-F1-6875-01	69	46
TCGA-F1-A448-01	643	25
TCGA-F1-A72C-01	43	18
TCGA-FP-7735-01	30	41
TCGA-FP-7829-01	167	139
TCGA-FP-7916-01	99	26
TCGA-FP-7998-01	48	33
TCGA-FP-8099-01	113	60
TCGA-FP-8209-01	1	0
TCGA-FP-8210-01	3	2
TCGA-FP-8211-01	37	79
TCGA-FP-8631-01	36	84
TCGA-FP-A4BE-01	1597	44
TCGA-FP-A4BF-01	85	37
TCGA-FP-A8CX-01	55	59
TCGA-FP-A9TM-01	159	49
TCGA-HF-7131-01	13	102
TCGA-HF-7132-01	1333	47
TCGA-HF-7133-01	68	21
TCGA-HF-7134-01	115	240
TCGA-HF-7136-01	68	28
TCGA-HF-A5NB-01	1505	51
TCGA-HJ-7597-01	863	13
TCGA-HU-8238-01	70	132
TCGA-HU-8243-01	116	45
TCGA-HU-8244-01	125	40
TCGA-HU-8245-01	54	23
TCGA-HU-8249-01	130	45
TCGA-HU-8602-01	1684	77
TCGA-HU-8604-01	133	125
