Samples	SBS96A	SBS96B
TCGA-3M-AB46-01	9.39E-01	9.39E-01
TCGA-3M-AB47-01	8.17E-01	8.19E-01
TCGA-B7-5816-01	1.96E+00	1.96E+00
TCGA-B7-5818-01	1.47E+00	1.47E+00
TCGA-B7-A5TI-01	1.11E+00	1.11E+00
TCGA-B7-A5TJ-01	1.51E+00	1.51E+00
TCGA-B7-A5TK-01	6.22E-01	6.22E-01
TCGA-B7-A5TN-01	7.35E-01	7.35E-01
TCGA-BR-4183-01	5.19E-01	5.18E-01
TCGA-BR-4184-01	8.90E-01	8.90E-01
TCGA-BR-4187-01	5.30E-01	5.30E-01
TCGA-BR-4188-01	6.22E-01	6.24E-01
TCGA-BR-4191-01	1.02E+00	1.02E+00
TCGA-BR-4201-01	1.13E+00	1.13E+00
TCGA-BR-4253-01	8.32E-01	8.32E-01
TCGA-BR-4255-01	6.90E-01	6.90E-01
TCGA-BR-4256-01	1.75E+00	1.75E+00
TCGA-BR-4257-01	1.87E+00	1.87E+00
TCGA-BR-4267-01	6.29E-01	6.29E-01
TCGA-BR-4279-01	6.64E-01	6.62E-01
TCGA-BR-4280-01	1.66E+00	1.66E+00
TCGA-BR-4292-01	1.45E+00	1.45E+00
TCGA-BR-4294-01	3.83E-01	3.83E-01
TCGA-BR-4357-01	1.10E+00	1.10E+00
TCGA-BR-4361-01	2.47E+00	2.47E+00
TCGA-BR-4362-01	2.27E+00	2.27E+00
TCGA-BR-4363-01	1.04E+00	1.04E+00
TCGA-BR-4366-01	1.04E+00	1.04E+00
TCGA-BR-4368-01	1.43E+00	1.43E+00
TCGA-BR-4369-01	9.15E-01	9.17E-01
TCGA-BR-4370-01	1.25E+00	1.25E+00
TCGA-BR-4371-01	9.96E-01	9.96E-01
TCGA-BR-6452-01	5.28E+00	5.28E+00
TCGA-BR-6453-01	1.05E+00	1.05E+00
TCGA-BR-6454-01	9.55E-01	9.54E-01
TCGA-BR-6455-01	6.79E-01	6.79E-01
TCGA-BR-6456-01	4.49E-01	4.50E-01
TCGA-BR-6457-01	8.11E-01	8.11E-01
TCGA-BR-6458-01	1.33E+00	1.33E+00
TCGA-BR-6563-01	6.58E-01	6.60E-01
TCGA-BR-6564-01	4.95E-01	4.95E-01
TCGA-BR-6565-01	1.02E+00	1.02E+00
TCGA-BR-6566-01	1.74E+00	1.74E+00
