Samples	SBS96A	SBS96B	SBS96C
TCGA-3M-AB46-01	67	66	65
TCGA-3M-AB47-01	80	44	17
TCGA-B7-5816-01	912	52	443
TCGA-B7-5818-01	101	338	55
TCGA-B7-A5TI-01	634	22	37
TCGA-B7-A5TJ-01	191	121	0
TCGA-B7-A5TK-01	57	13	0
TCGA-B7-A5TN-01	43	36	21
TCGA-BR-4183-01	49	21	0
TCGA-BR-4184-01	4137	0	0
TCGA-BR-4187-01	24	6	8
TCGA-BR-4188-01	87	16	0
TCGA-BR-4191-01	54	88	112
TCGA-BR-4201-01	1266	0	231
TCGA-BR-4253-01	42	51	11
TCGA-BR-4255-01	41	17	16
TCGA-BR-4256-01	834	102	201
TCGA-BR-4257-01	824	27	382
TCGA-BR-4267-01	25	63	19
TCGA-BR-4279-01	24	8	29
TCGA-BR-4280-01	537	94	141
TCGA-BR-4292-01	1430	66	0
TCGA-BR-4294-01	18	4	17
TCGA-BR-4357-01	48	248	23
TCGA-BR-4361-01	1094	0	1847
TCGA-BR-4362-01	1320	286	103
TCGA-BR-4363-01	454	18	114
TCGA-BR-4366-01	97	82	0
TCGA-BR-4368-01	1246	5	183
TCGA-BR-4369-01	57	176	0
TCGA-BR-4370-01	1126	96	0
TCGA-BR-4371-01	142	61	0
TCGA-BR-6452-01	2517	0	3610
TCGA-BR-6453-01	38	188	0
TCGA-BR-6454-01	55	89	35
TCGA-BR-6455-01	101	14	0
TCGA-BR-6456-01	16	16	15
TCGA-BR-6457-01	56	85	0
TCGA-BR-6458-01	21	354	0
TCGA-BR-6563-01	56	30	0
TCGA-BR-6564-01	14	9	18
TCGA-BR-6565-01	59	50	67
TCGA-BR-6566-01	793	54	201
TCGA-BR-6705-01	50	66	0
TCGA-BR-6706-01	16	227	0
TCGA-BR-6707-01	70	20	0
TCGA-BR-6709-01	17	23	13
TCGA-BR-6801-01	41	13	7
TCGA-BR-6802-01	465	0	59
TCGA-BR-6803-01	13	6	0
TCGA-BR-6852-01	950	51	171
TCGA-BR-7196-01	53	33	0
TCGA-BR-7197-01	80	144	0
TCGA-BR-7703-01	663	71	43
TCGA-BR-7704-01	78	371	0
TCGA-BR-7707-01	1205	84	239
TCGA-BR-7715-01	89	66	12
TCGA-BR-7716-01	23	117	55
TCGA-BR-7717-01	95	83	0
TCGA-BR-7722-01	40	9	9
TCGA-BR-7723-01	55	153	0
TCGA-BR-7851-01	1411	42	118
TCGA-BR-7901-01	66	163	0
TCGA-BR-7957-01	35	18	8
TCGA-BR-7958-01	68	140	0
TCGA-BR-7959-01	60	61	4
TCGA-BR-8058-01	10	26	24
TCGA-BR-8059-01	516	235	85
TCGA-BR-8060-01	51	230	0
TCGA-BR-8077-01	77	44	20
TCGA-BR-8078-01	1358	55	191
TCGA-BR-8080-01	97	126	0
TCGA-BR-8081-01	925	57	40
TCGA-BR-8284-01	344	57	0
TCGA-BR-8285-01	67	53	0
TCGA-BR-8286-01	80	88	0
TCGA-BR-8289-01	61	178	0
